t	Pre-Clamp(Aorta)	Post-Clamp	Pre-Clamp(Right-Iliac-Artery)	Post-Clamp
0.00	55.49	60.91	52.59	55.66
0.01	55.63	61.12	52.79	55.82
0.02	56.27	61.77	53.30	56.39
0.03	57.52	63.00	54.32	57.56
0.04	59.23	64.74	56.14	59.61
0.05	61.77	67.01	58.60	62.25
0.06	64.81	69.96	61.54	65.53
0.07	68.03	73.39	64.65	68.98
0.08	71.33	76.93	67.78	72.60
0.09	74.47	80.64	70.86	76.05
0.10	77.38	84.32	73.70	79.33
0.11	80.15	87.98	76.42	82.50
0.12	82.67	91.34	78.89	85.44
0.13	85.04	94.44	81.02	88.09
0.14	87.21	97.38	82.95	90.43
0.15	89.01	100.01	84.59	92.41
0.16	90.52	102.34	86.02	93.97
0.17	92.00	104.27	87.04	95.31
0.18	93.01	105.97	87.73	96.27
0.19	93.75	107.68	88.24	96.97
0.20	94.23	108.94	88.51	97.25
0.21	94.49	109.63	88.55	97.33
0.22	94.40	109.95	88.42	97.18
0.23	94.14	110.06	88.01	96.85
0.24	93.90	110.00	87.59	96.35
0.25	93.54	109.72	86.94	95.67
0.26	93.07	109.48	86.24	94.95
0.27	92.41	109.05	85.41	94.08
0.28	91.65	108.57	84.50	93.19
0.29	90.70	107.98	83.48	92.04
0.30	89.57	107.04	82.26	90.83
0.31	88.18	105.62	80.88	89.42
0.32	86.49	104.29	79.30	87.84
0.33	84.67	102.80	77.64	86.01
0.34	82.78	101.16	75.86	84.06
0.35	80.99	98.82	74.23	82.04
0.36	79.25	96.33	72.58	80.08
0.37	77.73	93.97	71.22	78.26
0.38	76.39	91.81	70.06	76.71
0.39	75.27	89.63	69.13	75.40
0.40	74.23	87.67	68.26	74.37
0.41	73.41	86.03	67.61	73.54
0.42	72.61	84.77	66.98	72.78
0.43	71.90	83.52	66.41	72.08
0.44	71.18	82.51	65.91	71.46
0.45	70.60	81.55	65.41	70.87
0.46	70.03	80.90	65.02	70.35
0.47	69.36	80.21	64.57	69.91
0.48	68.98	79.62	64.20	69.48
0.49	68.61	79.07	63.85	69.09
0.50	68.16	78.54	63.48	68.75
0.51	67.79	77.99	63.19	68.39
0.52	67.41	77.53	62.90	68.11
0.53	67.15	76.95	62.64	67.74
0.54	66.86	76.58	62.35	67.46
0.55	66.49	76.08	62.06	67.11
0.56	66.08	75.63	61.82	66.83
0.57	65.76	75.18	61.52	66.45
0.58	65.41	74.84	61.22	66.16
0.59	65.08	74.31	60.93	65.76
0.60	64.67	73.89	60.56	65.37
0.61	64.27	73.39	60.22	64.95
0.62	63.85	72.92	59.89	64.57
0.63	63.39	72.38	59.53	64.18
0.64	62.96	71.90	59.20	63.83
0.65	62.61	71.38	58.87	63.45
0.66	62.26	70.92	58.62	63.12
0.67	62.07	70.42	58.31	62.81
0.68	61.75	69.96	58.09	62.46
0.69	61.54	69.55	57.78	62.17
0.70	61.22	69.11	57.54	61.84
0.71	61.01	68.69	57.25	61.51
0.72	60.68	68.22	57.02	61.20
0.73	60.36	67.90	56.74	60.85
0.74	60.03	67.50	56.52	60.60
0.75	59.73	67.11	56.29	60.28
0.76	59.41	66.79	56.08	60.02
0.77	59.10	66.42	55.84	59.74
0.78	58.81	66.05	55.70	59.55
0.79	58.63	65.70	55.48	59.30
0.80	58.45	65.46	55.36	59.05
0.81	58.35	65.21	55.23	58.93
0.82	58.16	64.94	55.10	58.72
0.83	58.06	64.66	54.97	58.54
0.84	57.95	64.43	54.86	58.40
0.85	57.71	64.21	54.69	58.25
0.86	57.44	63.94	54.53	58.10
0.87	57.17	63.85	54.35	57.94
0.88	57.00	63.54	54.10	57.72
0.89	56.76	63.46	53.94	57.55
0.90	56.53	63.26	53.71	57.31
0.91	56.25	63.05	53.46	57.13
0.92	56.07	62.90	53.28	56.87
0.93	55.88	62.65	53.09	56.71
0.94	55.59	62.32	52.83	56.48
0.95	55.40	62.07	52.70	56.24
0.96	55.48	61.83			56.02
0.97			61.56			55.87
0.98			61.30			55.78
0.99			61.17		
1.00			61.06		
1.01			61.14		
1.02			60.85		
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
