296.82819751197331470394, 	1453.65045349429419729859, 	0.00126668443696631200, 	0.32424965996069143870, 	
301.70941290964293557408, 	1428.81592949521382251987, 	0.00135510087451087098, 	0.32508704637919705327, 	
319.74138970207604870666, 	1436.77961710321073951491, 	0.00127930490365007251, 	0.31632725835131253467, 	
297.82586325607041999319, 	1467.40346374126534101379, 	0.00127955968477398967, 	0.31453169635822497696, 	
287.13063539821359881898, 	1410.38723876136373291956, 	0.00133525692810944623, 	0.31210919628616573540, 	
290.62984986229730566265, 	1468.63354995805707403633, 	0.00133853997574024807, 	0.31205874633606950352, 	
300.27133985492736201195, 	1418.09851849077222141204, 	0.00128012580515140043, 	0.32476418305633308892, 	
292.37469734064876547563, 	1382.93148677764065723750, 	0.00131440352451310917, 	0.32630566442354430601, 	
280.97170202477633438320, 	1439.22070899776963415206, 	0.00137104591486655555, 	0.29546576249577211071, 	
280.33994394204256650482, 	1442.62328851939969354135, 	0.00133522289924442486, 	0.31696081083552246627, 	
289.70092161184282986142, 	1472.59523849634092584893, 	0.00135779287400718675, 	0.30899019186948872839, 	
302.09163120345311881465, 	1376.13152653275528791710, 	0.00139880622659493211, 	0.30325766927558822639, 	
281.56591611543916542360, 	1442.99472988005572915426, 	0.00135095312505584893, 	0.29792276718273491554, 	
266.78254269452827429632, 	1387.37353154375864505710, 	0.00130142732807661142, 	0.33875126814556461019, 	
