221.60201565061819906077, 	1322.27202085358408112370, 	0.00144922112131946131, 	0.32369901589254085339, 	
215.19261289283565474761, 	1242.09464445030289425631, 	0.00149806753608322887, 	0.33935749341703619342, 	
217.04877989888987599443, 	1270.26215666466214315733, 	0.00150654855717995400, 	0.33648773404058002212, 	
233.49363516223635883762, 	1331.52044050724225598969, 	0.00152248218676371010, 	0.30114009133604113799, 	
239.66782837947019402236, 	1345.47424141059104840679, 	0.00146159328255018373, 	0.31026941456005363573, 	
215.90513052388496362255, 	1365.29359653157712273241, 	0.00149891717772505863, 	0.28807545148821145364, 	
211.24497070911229457124, 	1333.63160215665743635327, 	0.00149711958703774295, 	0.30024168909118958970, 	
215.46890782149901610865, 	1379.10606892985833837884, 	0.00146913787491872723, 	0.31115214235100835394, 	
223.41652177154838909701, 	1357.68993571674150189210, 	0.00145072674762146479, 	0.32808929672182612913, 	
227.58307116773934808407, 	1311.66846284275561629329, 	0.00148260818457956090, 	0.31119854554254106072, 	
206.41354374987420783327, 	1360.79893468423279045965, 	0.00139471501685326221, 	0.31414707935341079637, 	
204.70910719143554956645, 	1328.63588877344477623410, 	0.00143568413601795450, 	0.31456365838797206713, 	
214.00051267328257154077, 	1373.68901789785718392523, 	0.00141147729222991319, 	0.31973181599655758900, 	
221.91999264237298916669, 	1352.92058153428229161364, 	0.00142538554655685353, 	0.34164661809981111684, 	
151.06575380995241175697, 	2160.93475650068376126001, 	0.00054460855852662472, 	0.20427930574709846079, 	
219.76141636736926443518, 	1345.14314190625032097159, 	0.00138307686232504883, 	0.32348904689550456171, 	
