t	Pre-Clamp(Aorta)	Post-Clamp	Pre-Clamp(Left-Iliac-Artery)	Post-Clamp
0.00	59.30	57.70	56.61	58.48
0.01	59.51	58.00	56.86	58.80
0.02	60.15	58.60	57.85	59.86
0.03	62.52	60.84	60.04	62.14
0.04	66.88	64.58	64.23	66.34
0.05	72.86	70.52	70.17	72.87
0.06	80.78	78.26	77.92	81.08
0.07	90.51	87.57	87.15	90.35
0.08	101.16	97.75	97.09	100.09
0.09	111.85	108.09	106.89	109.42
0.10	121.30	117.94	115.64	117.66
0.11	127.63	126.38	121.90	124.17
0.12	131.18	132.97	126.17	128.80
0.13	133.58	137.70	129.17	132.19
0.14	134.05	140.57	129.59	133.77
0.15	133.88	142.32	128.88	134.02
0.16	132.82	142.68	127.60	133.75
0.17	131.15	142.30	125.99	132.98
0.18	129.60	141.56	124.36	132.26
0.19	127.94	140.68	122.77	131.42
0.20	126.69	140.11	121.31	130.59
0.21	125.34	139.51	119.93	129.78
0.22	124.26	138.98	118.59	128.93
0.23	123.17	138.39	117.33	128.05
0.24	122.21	137.97	116.08	127.13
0.25	121.21	137.54	114.86	126.23
0.26	120.32	137.01	113.72	125.34
0.27	119.35	136.50	112.51	124.43
0.28	118.52	135.96	111.41	123.46
0.29	117.61	135.34	110.17	122.39
0.30	116.65	134.45	108.90	121.13
0.31	115.45	133.39	107.31	119.70
0.32	113.98	132.10	105.48	118.08
0.33	111.95	130.45	103.20	115.89
0.34	109.42	127.79	100.30	113.04
0.35	106.16	124.40	96.90	109.52
0.36	102.34	120.57	93.05	105.34
0.37	97.99	116.88	88.98	100.83
0.38	93.64	112.49	85.23	96.35
0.39	89.68	107.68	82.20	92.39
0.40	86.55	102.80	80.02	89.24
0.41	84.37	98.33	78.74	87.09
0.42	83.24	94.47	78.27	85.76
0.43	82.83	91.63	78.25	84.90
0.44	82.61	90.64	78.60	84.67
0.45	83.27	89.13	78.93	84.78
0.46	83.93	88.82	79.23	84.78
0.47	84.17	88.80	79.35	84.68
0.48	84.21	88.64	79.23	84.46
0.49	84.04	88.49	79.04	84.11
0.50	83.87	88.38	78.65	83.65
0.51	83.44	88.25	78.21	83.21
0.52	82.95	87.89	77.73	82.73
0.53	82.53	87.39	77.29	82.26
0.54	82.11	86.87	76.79	81.73
0.55	81.45	86.43	76.25	81.24
0.56	80.73	85.80	75.78	80.67
0.57	80.05	85.22	75.19	80.02
0.58	79.23	84.56	74.55	79.41
0.59	78.47	83.83	73.89	78.77
0.60	77.61	83.10	73.28	78.01
0.61	76.85	82.25	72.55	77.34
0.62	76.12	81.37	71.91	76.55
0.63	75.44	80.65	71.23	75.86
0.64	74.79	79.69	70.65	75.17
0.65	74.16	78.89	70.06	74.49
0.66	73.61	77.98	69.54	73.97
0.67	73.14	77.40	69.11	73.34
0.68	72.69	76.76	68.63	72.84
0.69	72.42	76.05	68.21	72.31
0.70	71.98	75.46	67.80	71.84
0.71	71.67	74.89	67.44	71.44
0.72	71.20	74.37	67.09	70.99
0.73	70.73	73.83	66.72	70.55
0.74	70.33	73.35	66.45	70.09
0.75	69.86	72.87	66.05	69.68
0.76	69.51	72.40	65.69	69.32
0.77	69.16	72.02	65.34	68.94
0.78	68.79	71.62	65.11	68.56
0.79	68.49	71.28	64.73	68.20
0.80	68.28	70.77	64.44	67.82
0.81	68.10	70.45	64.13	67.49
0.82	67.87	69.96	63.88	67.11
0.83	67.63	69.62	63.70	66.78
0.84	67.33	69.24	63.52	66.46
0.85	67.00	68.89	63.30	66.09
0.86	66.62	68.48	62.97	65.80
0.87	66.29	68.14	62.57	65.51
0.88	65.85	67.75	62.13	65.22
0.89	65.49	67.44	61.85	64.97
0.90	65.13	67.05	61.59	64.65
0.91	64.96	66.75	61.37	64.31
0.92	64.70	66.45	61.22	64.03
0.93	64.53	66.13	61.04	63.78
0.94	64.41	65.82	60.95	63.48
0.95	64.12	65.50	60.75	63.28
0.96	63.98	65.13	60.56	63.08
0.97	63.93	64.75	60.42	62.90
0.98	63.59	64.45	60.30	62.69
0.99	63.37	64.17	60.13	62.48
1.00	63.23	63.81	59.89	62.25
1.01	63.01	63.54	59.69	62.12
1.02	62.74	63.18	59.44	61.98
1.03	62.54	62.90	59.18	61.92
1.04	62.42	62.63	58.91	61.77
1.05	62.26	62.42	58.52	61.52
1.06	61.98	62.11	58.21	61.33
1.07	61.77	61.95	57.83	61.08
1.08	61.46	61.74	57.55	60.82
1.09	61.18	61.58	57.84	60.58
1.10	60.87	61.28	58.21	60.23
1.11	60.62	61.22		59.94
1.12	60.38	61.00		59.63
1.13	60.43	60.86		59.45
1.14		60.75		59.30
1.15		60.75		59.04
1.16		60.56		58.77
1.17		60.49		58.86
1.18		60.34		59.00
1.19		60.31		
1.20		60.09		
1.21		59.89		
1.22		59.63		
