t	Pre-Clamp(Aorta raw)	Post-Clamp
0.00	66.9253	141.725
0.01	67.2087	144.186
0.02	68.2752	145.424
0.03	70.5798	145.767
0.04	74.0032	145.185
0.05	78.6199	143.932
0.06	83.8631	142.269
0.07	89.4792	140.33
0.08	94.8268	138.078
0.09	99.7493	135.84
0.10	103.986	133.468
0.11	107.827	131.015
0.12	110.952	128.456
0.13	113.599	125.652
0.14	115.598	122.527
0.15	117.09	119.007
0.16	117.821	115.024
0.17	118.112	110.743
0.18	117.813	106.253
0.19	117.269	101.882
0.20	116.337	97.5939
0.21	115.233	93.7528
0.22	113.831	90.24
0.23	112.361	87.376
0.24	110.43	84.9147
0.25	108.528	82.901
0.26	106.007	81.3198
0.27	103.247	80.1861
0.28	100.055	79.2837
0.29	96.9599	78.7392
0.30	93.8349	78.2843
0.31	91.217	77.9636
0.32	88.7707	77.6056
0.33	86.8763	77.3221
0.34	85.2131	77.0089
0.35	83.8407	76.7106
0.36	82.446	76.2705
0.37	81.3347	75.8529
0.38	80.2085	75.2562
0.39	79.4179	74.7863
0.40	78.6423	74.3314
0.41	78.0009	73.7645
0.42	77.3893	73.0933
0.43	76.9343	72.4444
0.44	76.3899	71.8105
0.45	75.7559	71.1392
0.46	75.1965	70.5649
0.47	74.7341	69.8116
0.48	74.13	69.215
0.49	73.5706	68.7451
0.50	72.9963	68.9166
0.51	72.4593	70.0354
0.52	71.7881	72.5563
0.53	71.3033	76.7702
0.54	70.7887	82.4609
0.55	70.289	89.509
0.56	69.6252	97.3104
0.57	69.1329	105.574
0.58	68.842	113.711
0.59	69.4312	121.192
0.60	70.8856	127.852
0.61	73.5632	133.371
0.62	77.5011	137.697
0.63	82.4982	140.919
0.64	87.913	143.142
0.65	93.5142	144.246
0.66	98.6977	144.619
0.67	103.396	144.149
0.68	107.379	143.06
0.69	110.877	141.576
0.70	113.622	139.726
0.71	116.068	137.638
0.72	117.679	135.348
0.73	118.835	132.782
0.74	119.178	129.896
0.75	119.066	126.913
0.76	118.432	123.571
0.77	117.634	119.946
0.78	116.448	115.919
0.79	115.076	111.623
0.80	113.48	107.327
0.81	111.675	102.904
0.82	109.564	98.7499
0.83	107.155	94.8343
0.84	104.359	91.4631
0.85	101.323	88.45
0.86	98.0637	85.8843
0.87	94.9387	83.878
0.88	91.9852	82.0283
0.89	89.6135	80.6784
0.90	87.5773	79.6342
0.91	85.8321	78.8586
0.92	84.1763	78.2022
0.93	82.8338	77.6801
0.94	81.5585	77.1655
0.95	80.3875	76.5689
0.96	79.3806	75.9946
0.97	78.5826	75.4128
0.98	77.7846	74.846
0.99	77.1954	74.2568
1.00	76.5316	73.675
1.01	75.8752	73.0485
1.02	75.1369	72.3474
1.03	74.5253	71.6464
1.04	73.8242	70.9975
1.05	73.2723	70.3262
1.06	72.5563	69.6326
1.07	71.9894	68.9837
1.08	71.3406	68.4095
1.09	70.7365	67.7531
1.10	70.0503	67.231
1.11	69.394	66.7537
1.12	68.7227	66.5822
1.13	68.2305	66.8059
1.14	67.6412	67.9023
1.15	67.1043	70.1696
1.16	66.8805	73.9062
1.17	67.246	79.1047
1.18	68.2827	85.7351
1.19	70.5052	93.2531
1.20	73.8466	101.166
1.21	78.3216	108.908
1.22	83.259	116.202
1.23	88.5022	122.661
1.24	93.4097	128.121
1.25	97.8624	132.476
1.26	101.606	135.683
1.27	104.851	137.809
1.28	107.364	138.853
1.29	109.438	138.92
1.30	110.825	138.279
1.31	111.72	136.899
1.32	111.936	135.139
1.33	111.705	132.976
1.34	111.011	130.597
1.35	110.019	128.009
1.36	108.737	125.145
1.37	107.275	122.191
1.38	105.507	118.865
1.39	103.471	115.352
1.40	101.047	111.295
1.41	98.2651	107.111
1.42	95.1848	102.77
1.43	92.1195	98.5485
1.44	89.0019	94.521
1.45	86.4511	90.762
1.46	84.0868	87.5251
1.47	82.1999	84.6238
1.48	80.574	82.1104
1.49	79.2539	80.0668
1.50	77.9934	78.426
1.51	77.0238	77.0835
1.52	75.9871	76.1363
1.53	75.1965	75.4128
1.54	74.488	74.8087
1.55	74.0629	74.3687
1.56	73.5632	73.9286
