t	Pre-Clamp(Aorta)	Post-Clamp	Pre-Clamp(Left-Iliac-Artery)	Post-Clamp
0.00	76.16	88.34	88.96	82.23
0.01	75.45	88.47	85.41	81.72
0.02	74.86	88.52	82.47	81.26
0.03	74.32	88.49	80.43	80.79
0.04	73.84	88.23	79.20	80.22
0.05	73.47	87.80	78.72	79.57
0.06	72.99	87.33	78.62	78.99
0.07	72.61	86.85	78.86	78.26
0.08	72.27	86.26	79.08	77.60
0.09	71.91	85.61	79.22	76.85
0.10	71.55	84.93	79.28	76.14
0.11	71.27	84.31	79.10	75.46
0.12	70.80	83.57	78.86	74.83
0.13	70.33	82.74	78.51	74.25
0.14	69.91	81.89	78.19	73.76
0.15	69.42	81.03	77.81	73.22
0.16	69.01	80.27	77.34	72.76
0.17	68.60	79.33	76.83	72.35
0.18	68.22	78.64	76.31	71.95
0.19	67.98	77.82	75.72	71.57
0.20	67.69	77.06	75.15	71.16
0.21	67.59	76.35	74.47	70.77
0.22	67.21	75.70	73.75	70.46
0.23	66.91	75.17	72.97	70.11
0.24	66.59	74.65	72.26	69.79
0.25	66.33	74.12	71.65	69.45
0.26	65.96	73.78	70.94	69.09
0.27	65.65	73.31	70.24	68.74
0.28	65.27	72.86	69.68	68.40
0.29	64.94	72.37	69.12	68.09
0.30	64.47	71.97	68.58	67.80
0.31	64.19	71.54	68.16	67.51
0.32	63.92	71.13	67.69	67.23
0.33	63.59	70.62	67.34	66.90
0.34	63.32	70.25	66.99	66.64
0.35	63.19	69.74	66.72	66.36
0.36	62.93	69.36	66.34	66.15
0.37	62.87	68.91	66.05	65.83
0.38	62.79	68.55	65.68	65.51
0.39	62.72	68.18	65.24	65.25
0.40	62.63	67.83	64.90	65.03
0.41	62.58	67.44	64.54	64.77
0.42	62.51	67.14	64.13	64.49
0.43	62.41	66.86	63.73	64.28
0.44	62.16	66.51	63.33	64.11
0.45	62.06	66.18	63.14	63.93
0.46	61.83	65.92	62.85	63.86
0.47	61.60	65.59	62.54	63.81
0.48	61.31	65.27	62.27	63.78
0.49	61.17	65.07	62.01	63.69
0.50	60.81	64.81	61.76	63.59
0.51	60.52	64.60	61.47	63.43
0.52	60.33	64.50	61.21	63.25
0.53	60.04	64.32	60.87	63.02
0.54	59.71	64.17	60.64	62.79
0.55	59.44	64.07	60.31	62.52
0.56	59.10	63.92	60.11	62.19
0.57	58.93	63.82	59.93	61.84
0.58	59.02	63.56	59.83	61.51
0.59	59.98	63.21	59.64	61.15
0.60	62.13	62.94	59.49	60.89
0.61	66.09	62.59	59.46	60.66
0.62	72.28	62.27	59.40	60.78
0.63	80.43	61.79	59.27	61.52
0.64	90.01	61.49	59.10	63.60
0.65	100.44	61.11	59.02	67.41
0.66	110.55	60.78	58.83	73.35
0.67	119.46	60.40	58.58	81.26
0.68	126.36	60.18	58.30	90.81
0.69	131.18	60.12	58.00	101.32
0.70	133.77	60.56	57.67	111.77
0.71	134.53	61.76	57.38	121.27
0.72	134.06	64.46	57.00	129.22
0.73	132.82	69.02	56.70	135.06
0.74	131.15	75.79	56.34	138.80
0.75	129.60	84.62	56.16	140.70
0.76	127.94	94.99	55.82	141.17
0.77	126.69	106.21	55.88	140.77
0.78	125.34	117.23	56.43	139.85
0.79	124.26	127.06	57.88	138.73
0.80	123.17	135.08	60.82	137.63
0.81	122.22	140.64	65.63	136.63
0.82	121.21	144.06	72.31	135.77
0.83	120.32	145.43	80.82	134.86
0.84	119.35	145.46	90.23	134.15
0.85	118.51	144.60	99.89	133.40
0.86	117.61	143.45	108.77	132.62
0.87	116.43	142.10	116.30	131.88
0.88	114.99	140.90	121.79	131.10
0.89	113.26	139.92	125.15	130.41
0.90	110.81	139.08	126.61	129.39
0.91	107.82	138.42	126.61	128.30
0.92	104.13	137.78	125.57	126.94
0.93	99.86	137.28	124.07	125.37
0.94	95.43	136.79	122.24	123.59
0.95	91.29	136.32	120.39	121.37
0.96	87.89	135.88	118.60	118.63
0.97	85.41	135.14	116.99	115.35
0.98	83.90	134.34	115.38	111.39
0.99	83.32	133.22	113.91	106.77
1.00	83.36	131.81	112.47	101.94
1.01	83.74	129.89	111.00	97.38
1.02	84.08	127.47	109.74	93.44
1.03	84.42	124.46	108.58	90.49
1.04	84.40	120.72	107.41	88.55
1.05	84.21	116.07	106.15	87.50
1.06	83.76	111.02	104.82	87.11
1.07	83.21	105.80	103.36	87.01
1.08	82.69	100.87	101.57	87.06
1.09	82.14	96.59	99.36	87.06
1.10	81.56	93.43	96.49	87.01
1.11	81.10	91.25	93.04	86.88
1.12	80.47	90.01	89.29	86.57
1.13	80.03	89.46	85.56	86.15
1.14	79.39	89.27	82.16	85.77
1.15	78.83	89.33	79.50	85.26
1.16	78.17	89.38	77.54	84.63
1.17	77.51	89.25	76.54	84.03
1.18	76.77	89.13	76.14	83.43
1.19	76.10	88.93	76.30	82.77
1.20	75.37	88.60	76.69	82.01
1.21	74.79	88.15	77.23	81.24
1.22	74.12	87.76	77.50	80.41
1.23	73.61	87.21	77.59	79.55
1.24	73.03	86.70	77.49	78.75
1.25	72.64	86.01	77.20	77.98
1.26	72.14	85.25	76.74	77.16
1.27	71.79	84.42	76.25	76.38
1.28	71.35	83.56	75.75	75.72
1.29	70.96	82.61	75.29	75.01
1.30	70.54	81.59	74.88	74.49
1.31	70.14	80.72	74.45	73.88
1.32	69.86	79.78	73.95	73.39
1.33	69.46	79.02	73.54	72.95
1.34	69.16	78.26	72.90	72.47
1.35	68.79	77.65	72.36	72.01
1.36	68.49	77.09	71.67	71.62
1.37	68.15	76.50	71.04	71.18
1.38	67.76	75.97	70.38	70.85
1.39	67.44	75.36	69.80	70.39
1.40	67.11	74.81	69.25	70.02
1.41	66.85	74.24	68.73	69.70
1.42	66.51	73.62	68.15	69.34
1.43	66.26	73.16	67.71	68.95
1.44	65.96	72.73	67.21	68.62
1.45	65.68	72.32	66.89	68.32
1.46	65.35	71.95	66.41	67.94
1.47	65.06	71.71	66.11	67.56
1.48	64.79	71.37	65.75	67.27
1.49	64.47	71.02	65.35	66.89
1.50	64.15	70.63	65.04	66.68
1.51	63.99	70.28	64.66	66.24
1.52	63.78	69.96	64.45	66.04
