t	Pre-Clamp(Right-Femoral)	Post-Clamp	Pre-Clamp(Right-Popliteal)	Post-Clamp
0.00	86.20	143.47	119.75	114.60
0.01	85.69	153.92	122.09	113.60
0.02	85.09	165.68	123.75	112.67
0.03	84.46	177.91	124.90	111.99
0.04	83.84	189.56	125.63	111.49
0.05	83.26	199.72	126.14	111.12
0.06	82.68	207.89	126.37	110.86
0.07	82.34	214.14	126.09	110.57
0.08	82.45	218.38	125.61	110.13
0.09	83.50	221.00	124.77	109.63
0.10	85.94	222.39	123.68	109.18
0.11	90.11	223.14	122.24	109.44
0.12	95.85	223.35	120.69	110.92
0.13	102.89	223.39	119.06	114.22
0.14	110.35	223.52	117.39	119.74
0.15	117.44	223.77	115.59	127.38
0.16	123.67	224.12	113.76	136.53
0.17	128.61	224.67	111.62	146.68
0.18	132.43	225.13	109.24	156.94
0.19	135.24	225.65	106.49	166.61
0.20	137.42	225.92	103.61	175.05
0.21	139.08	225.82	100.52	181.93
0.22	140.41	225.23	97.64	187.11
0.23	141.31	224.15	95.09	190.61
0.24	141.89	222.52	92.91	192.69
0.25	141.89	220.15	91.32	193.45
0.26	141.44	217.23	90.15	193.34
0.27	140.56	213.76	89.44	192.76
0.28	139.36	209.57	88.88	191.87
0.29	137.92	204.77	88.45	190.92
0.30	136.29	199.30	87.92	190.04
0.31	134.80	193.19	87.40	189.34
0.32	133.28	186.42	86.77	188.70
0.33	131.63	179.53	86.14	188.21
0.34	129.91	172.82	85.53	187.66
0.35	128.04	167.04	84.91	187.09
0.36	125.66	162.26	84.32	186.00
0.37	122.79	158.88	83.82	184.52
0.38	119.34	156.55	83.26	182.23
0.39	115.69	155.25	82.77	179.13
0.40	112.06	154.25	82.37	174.88
0.41	108.87	153.68	81.84	169.56
0.42	106.32	153.00	81.45	163.39
0.43	104.49	152.24	80.93	157.00
0.44	103.34	151.25	80.42	150.70
0.45	102.54	149.96	79.94	145.21
0.46	101.98	148.58	79.39	140.68
0.47	101.38	146.96	78.90	137.37
0.48	100.71	145.34	78.32	134.99
0.49	100.07	143.66	77.79	133.52
0.50	99.29	141.98	77.34	132.50
0.51	98.52	140.52	76.86	132.02
0.52	97.81	139.02	76.38	131.51
0.53	97.20	137.70	75.85	130.98
0.54	96.66	136.51	75.43	130.46
0.55	96.16	135.39	74.87	129.83
0.56	95.60	134.40	74.34	129.07
0.57	95.03	133.37	73.77	128.12
0.58	94.41	132.48	73.27	127.10
0.59	93.71	131.50	72.79	125.97
0.60	92.98	130.54	72.42	124.81
0.61	92.30	129.60	72.46	123.44
0.62	91.65	128.70	73.07	122.15
0.63	91.13	127.78	74.75	120.79
0.64	90.57	126.89	77.89	119.46
0.65	90.21	126.20	82.23	118.24
0.66	89.69	125.74	87.77	117.08
0.67	89.18	126.20	93.90	116.04
0.68	88.55	128.05	100.16	115.20
0.69	87.89	132.27	105.78	114.31
0.70	87.17	139.21	110.65	113.55
0.71	86.40	148.73	114.39	112.83
0.72	85.67	160.20	117.10	112.08
0.73	85.08	172.50	118.96	111.43
0.74	84.57	184.67	120.21	110.64
0.75	84.34	195.71	120.99	109.83
0.76	84.71	205.03	121.37	109.07
0.77	86.18	212.24	121.45	108.45
0.78	89.03	217.36	121.28	107.93
0.79	93.71	220.67	120.80	108.07
0.80	99.87	222.42	120.05	109.16
0.81	107.12	223.27	118.92	111.91
0.82	114.65	223.65	117.67	116.52
0.83	121.80	223.70	116.10	123.22
0.84	127.91	223.74	114.43	131.77
0.85	132.81	224.05	112.56	141.50
0.86	136.69	224.44	110.67	151.66
0.87	139.70	225.16	108.60	161.61
0.88	142.04	225.78	106.44	170.65
0.89	143.81	226.30	103.99	178.29
0.90	145.13	226.59	101.30	184.34
0.91	145.94	226.59	98.45	188.75
0.92	146.19	226.05	95.72	191.55
0.93	146.06	225.21	93.20	192.93
0.94	145.46	223.84	91.05	193.22
0.95	144.41	222.06	89.36	192.77
0.96	143.17	219.52	88.14	191.88
0.97	141.84	216.67	87.30	190.89
0.98	140.35	212.97	86.65	190.02
0.99	138.83	208.75	86.24	189.38
1.00	137.39	203.72	85.74	188.97
1.01	135.79	198.05	85.28	188.72
1.02	134.27	191.58	84.77	188.39
1.03	132.43	184.69	84.17	187.98
1.04	130.22	177.61	83.65	187.19
1.05	127.58	171.18	83.06	186.05
1.06	124.35	165.60	82.49	184.30
1.07	120.66	161.42	81.97	181.82
1.08	116.88	158.34	81.55	178.48
1.09	113.23	156.55	81.14	174.18
1.10	110.13	155.29	80.67	168.87
1.11	107.85	154.50	80.29	162.78
1.12	106.14	153.78	79.82	156.29
1.13	105.07	152.97	79.40	150.05
1.14	104.34	152.07	78.94	144.51
1.15	103.77	151.06	78.46	140.19
1.16	103.24	149.72	77.98	136.83
1.17	102.57	148.22	77.43	134.59
1.18	101.87	146.54	76.94	133.12
1.19	101.07	144.78	76.49	132.22
1.20	100.32	143.02	75.98	131.48
1.21	99.58	141.39	75.60	130.94
1.22	98.93	139.82	75.22	130.41
1.23	98.40	138.43	74.84	129.80
1.24	97.76	137.14	74.38	129.10
1.25	97.23	136.14	73.98	128.32
1.26	96.58	135.12	73.52	127.38
1.27	95.89	134.35	72.96	126.42
1.28	95.17	133.56	72.36	125.34
1.29	94.38	132.84	71.84	124.17
1.30	93.61	132.07	71.35	123.01
1.31	93.02	131.30	70.94	121.75
1.32	92.28	130.50	70.99	120.60
1.33	91.77	129.87	71.47	119.45
1.34	91.20	129.01	73.08	118.34
1.35	90.74	128.15	76.02	117.21
1.36	90.19	127.48	80.36	116.18
1.37	89.72	127.24	85.81	115.24
1.38	89.07	128.07	92.05	114.27
1.39	88.37	130.81	98.27	113.43
1.40	87.67	136.06	104.23	112.66
1.41	86.90	144.13	109.25	111.88
1.42	86.27	154.63	113.27	111.21
1.43	86.01	166.67	116.19	110.47
1.44	86.54	179.27	118.26	109.77
1.45	88.39	191.35	119.66	108.95
1.46	92.02	201.83	120.49	108.24
1.47	97.45	210.46	120.94	107.78
1.48	104.41	216.79	121.27	107.99
1.49	112.22	221.01	121.19	109.43
1.50	119.92	223.43	120.85	112.57
1.51	126.91	224.76	120.17	117.93
1.52	132.81	225.12	119.19	125.27
1.53	137.58	225.32	117.93	134.31
1.54	141.28	225.37	116.52	144.53
1.55	144.29	225.46	114.91	154.74
1.56	146.59	225.95	113.20	164.67
1.57	148.50	226.59	111.43	173.37
1.58	149.80	227.29	109.53	180.62
1.59	150.59	227.83	107.49	186.16
1.60	150.75	228.17	105.24	190.07
1.61	150.36	228.30	102.61	192.48
1.62	149.57	228.03	99.83	193.56
1.63	148.41	227.45	96.97	193.76
1.64	147.07	226.43	94.39	193.21
1.65	145.68	225.15	91.97	192.32
1.66	144.28	223.24	90.13	191.40
1.67	142.87	220.70	88.64	190.69
1.68	141.44	217.39	87.73	190.09
1.69	139.90	213.48	87.02	189.70
1.70	138.34	208.75	86.46	189.43
1.71	136.45	203.41	86.04	189.27
1.72	134.16	197.31	85.56	188.91
1.73	131.44	190.86	84.99	188.36
1.74	128.12	184.03	84.52	187.29
1.75	124.39	177.37	83.85	185.74
1.76	120.38	171.34	83.28	183.42
1.77	116.59	166.53	82.66	180.15
1.78	113.18	162.84	82.23	175.91
1.79	110.61	160.26	81.70	170.53
1.80	108.61	158.63	81.23	164.31
1.81	107.24	157.45	80.76	157.69
1.82	106.34	156.57	80.39	151.25
1.83	105.44	155.73	79.98	145.57
1.84	104.77	154.75	79.63	140.90
1.85	103.99	153.71	79.12	137.53
1.86	103.14	152.46	78.63	135.14
1.87	102.37	151.19	78.14	133.72
1.88	101.53	149.59	77.69	132.73
1.89	100.97	147.98	77.09	132.17
1.90	100.26	146.23	76.67	131.71
1.91	99.67	144.49	76.24	131.18
1.92	99.14	142.86	75.83	130.67
1.93	98.47	141.30	75.37	130.06
1.94	97.59	140.00	74.97	129.37
1.95	96.89	138.86	74.57	128.47
1.96	96.10	137.87	74.16	127.49
1.97	95.28	136.94	73.62	126.43
1.98	94.50	136.04	73.17	125.19
1.99	93.77	135.13	72.57	123.86
2.00	93.05	134.15	72.07	122.60
2.01	92.47	133.43	71.57	121.33
2.02	91.86	132.52	71.20	120.15
2.03	91.29	131.76	71.13	119.06
2.04	90.63	131.08	71.75	117.99
2.05	90.04	130.37	73.29	117.02
2.06	89.33	129.69	76.27	116.12
2.07	88.61	129.27	80.56	115.17
2.08	87.85	129.23	86.21	114.30
2.09	87.13	130.49	92.35	113.46
2.10	86.59	133.93	98.83	112.60
2.11	86.39	140.04	104.85	111.77
2.12	87.15	148.98	110.10	111.06
2.13	89.24	160.48	114.24	110.28
2.14	93.04	173.08	117.45	109.65
2.15	98.65	185.84	119.62	109.11
2.16	105.57	197.58	121.20	108.62
2.17	113.25	207.54	122.19	108.78
2.18	120.71	215.22	122.91	110.00
2.19	127.38	220.78	123.18	112.91
2.20	133.00	224.20	123.38	117.83
2.21	137.48	226.11	123.09	125.02
2.22	140.94	226.98	122.55	133.94
2.23	143.65	227.21	121.65	144.17
2.24	145.77	227.24	120.57	154.81
2.25	147.25	227.40	119.16	165.03
2.26	148.34	227.45	117.68	174.18
2.27	148.79	227.91	116.00	181.92
2.28	148.71	228.44	114.44	187.88
2.29	148.11	229.06	112.61	192.02
2.30	147.21	229.65	110.76	194.62
2.31	145.92	230.10	108.71	195.95
2.32	144.45	230.23	106.35	196.11
2.33	142.82	230.10	103.61	195.61
2.34	141.27	229.42	100.71	194.79
2.35	139.68	228.28	97.72	193.90
2.36	138.15	226.53	94.90	193.03
2.37	136.55	224.28	92.53	192.54
2.38	134.67	221.15	90.58	192.11
2.39	132.50	217.53	89.24	191.97
2.40	129.76	213.03	88.24	191.79
2.41	126.53	208.10	87.68	191.67
2.42	122.89	202.39	87.24	191.21
2.43	118.95	196.11	86.84	190.32
2.44	115.27	189.38	86.59	188.94
2.45	112.03	182.66	86.00	186.79
2.46	109.47	176.32	85.50	183.84
2.47	107.63	170.85	84.92	179.84
2.48	106.35	166.56	84.37	175.03
2.49	105.42	163.33	83.70	169.21
2.50	104.77	161.12	83.16	162.88
2.51	104.11	159.61	82.66	156.41
2.52	103.36	158.47	82.28	150.31
2.53	102.51	157.50	81.84	145.21
2.54	101.68	156.54	81.48	141.08
2.55	100.88	155.48	81.05	138.09
2.56	100.15	154.30	80.57	136.01
2.57	99.46	152.80	80.12	134.73
2.58	98.89	151.15	79.68	133.85
2.59	98.21	149.46	79.10	133.24
2.60	97.59	147.69	78.63	132.72
2.61	96.92	146.02	78.14	132.27
2.62	96.18	144.45	77.68	131.61
2.63	95.47	142.99	77.17	130.92
2.64	94.64	141.58	76.74	130.13
2.65	93.96	140.26	76.30	129.04
2.66	93.30	138.91	75.91	127.85
2.67	92.64	137.77	75.51	126.56
2.68	91.99	136.54	75.06	125.23
2.69	91.46	135.58	74.48	123.81
2.70	90.81	134.75	74.04	122.48
2.71	90.23	133.93	73.43	121.16
2.72	89.64	133.16	72.98	119.85
2.73	88.99	132.49	72.51	118.69
2.74	88.26	131.62	72.30	117.52
2.75	87.56	130.73	72.59	116.59
2.76	86.82	129.83	73.77	115.68
2.77	86.12	129.01	76.30	114.81
2.78	85.81	128.33	80.29	114.00
2.79	86.13	128.61	85.57	113.26
2.80	87.66	130.10	91.91	112.46
2.81	90.68	134.00	98.69	111.72
2.82	95.53	140.65	105.12	110.95
2.83	101.86	149.92	110.87	110.14
2.84	109.09	161.21	115.61	109.44
2.85	116.52	173.46	119.18	108.79
2.86	123.26	185.56	121.88	108.50
2.87	129.14	196.62	123.65	108.96
2.88	133.74	205.95	124.95	110.69
2.89	137.36	213.20	125.69	114.43
2.90	139.99	218.34	126.27	120.18
2.91	142.07	221.64	126.45	128.05
2.92	143.62	223.54	126.45	137.49
2.93	144.54	224.35	125.93	147.78
2.94	145.06	224.61	125.27	158.27
2.95	145.09	224.61	124.28	168.05
2.96	144.59	224.62	122.99	176.56
2.97	143.61	224.72	121.63	183.44
2.98	142.19	224.95	120.12	188.61
2.99	140.66	225.26	118.57	192.04
3.00	138.91	225.51	116.95	193.96
3.01	137.22	225.56	115.21	194.67
3.02	135.53	225.36	113.40	194.54
3.03	133.84	224.71	111.36	193.79
3.04	131.99	223.87	108.95	192.83
3.05	129.97	222.72	106.22	191.90
3.06	127.49	221.11	103.30	191.13
3.07	124.47	219.21	100.38	190.68
3.08	120.96	216.85	97.66	190.33
3.09	117.19	214.01	95.20	190.13
3.10	113.44	210.58	93.40	189.89
3.11	110.26	206.53	91.88	189.43
3.12	107.67	201.82	90.95	188.66
3.13	105.92	196.40	90.19	187.37
3.14	104.64	190.29	89.72	185.37
3.15	103.86	183.65	89.14	182.69
3.16	103.22	176.60	88.64	179.02
3.17	102.55	169.81	88.11	174.32
3.18	101.95	163.80	87.48	168.53
3.19	101.24	158.95	86.85	162.26
3.20	100.45	155.25	86.27	155.53
3.21	99.75	152.75	85.58	149.27
3.22	99.11	151.03	85.03	143.78
3.23	98.43	149.88	84.52	139.59
3.24	97.80	149.04	83.98	136.41
3.25	97.37	148.24	83.50	134.41
3.26	96.75	147.41	83.01	133.08
3.27	96.10	146.42	82.51	132.34
3.28	95.45	145.35	82.02	131.91
3.29	94.82	144.24	81.53	131.44
3.30	94.05	142.97	81.05	130.98
3.31	93.46	141.67	80.52	130.47
3.32	92.75	140.32	79.96	129.77
3.33	92.19	138.97	79.40	129.08
3.34	91.62	137.57	78.89	128.14
3.35	91.15	136.32	78.44	127.18
3.36	90.59	135.14	77.92	126.06
3.37	90.02	134.07	77.51	124.88
3.38	89.34	133.03	77.09	123.59
3.39	88.69	132.13	76.57	122.30
3.40	88.00	131.36	76.12	120.95
3.41	87.17	130.63	75.66	119.63
3.42	86.48	129.86	75.16	118.37
3.43	85.88	129.04	74.63	117.22
3.44	85.27	128.22	74.08	116.07
3.45	85.23	127.36	73.80	115.14
3.46	85.98	126.46	73.71	114.14
3.47	88.06	125.72	74.39	113.40
3.48	91.74	124.93	76.27	112.56
3.49	97.17	124.85	79.52	111.80
3.50	103.93	125.92	84.38	111.09
3.51	111.30	129.13	90.32	110.39
3.52	118.60	134.92	97.10	109.67
3.53	125.16	143.57	103.78	109.07
3.54	130.52	154.49	109.95	108.45
3.55	134.80	166.78	115.20	108.03
3.56	138.14	179.20	119.29	107.99
3.57	140.67	190.80	122.32	108.79
3.58	142.55	200.68	124.52	110.92
3.59	144.03	208.54	126.01	115.06
3.60	144.90	214.15	127.09	121.13
3.61	145.38	217.90	127.69	129.07
3.62	145.12	220.15	128.14	138.52
3.63	144.53	221.15	128.16	148.72
3.64	143.44	221.52	127.91	158.74
3.65	142.01	221.62	127.30	168.00
3.66	140.44	221.40	126.38	176.01
3.67	138.81	221.49	125.17	182.46
3.68	137.13	221.65	123.75	187.26
3.69	135.57	222.04	122.20	190.52
3.70	133.90	222.62	120.58	192.24
3.71	132.15	223.28	118.91	192.84
3.72	130.04	223.77	117.22	192.52
3.73	127.43	224.19	115.36	191.73
3.74	124.26	224.44	113.41	190.73
3.75	120.40	224.28	111.05	189.88
3.76	116.24	223.83	108.42	189.10
3.77	112.19	222.79	105.41	188.64
3.78	108.72	221.04	102.44	188.28
3.79	106.09	218.54	99.36	188.06
3.80	104.32	215.20	96.66	187.75
3.81	103.24	210.95	94.40	187.20
3.82	102.66	205.86	92.69	186.19
3.83	102.25	199.98	91.37	184.71
3.84	101.90	193.28	90.53	182.31
3.85	101.38	186.09	89.84	178.96
3.86	100.74	178.86	89.39	174.55
3.87	99.98	172.09	88.87	168.91
3.88	99.25	166.42	88.28	162.49
3.89	98.55	162.06	87.64	155.62
3.90	97.94	159.00	87.04	149.04
3.91	97.42	156.95	86.34	143.32
3.92	96.90	155.68	85.70	138.70
3.93	96.42	154.68	85.12	135.59
3.94	95.88	153.89	84.51	133.47
3.95	95.31	153.00	84.12	132.25
3.96	94.55	151.99	83.58	131.57
3.97	93.91	150.72	83.10	131.18
3.98	93.21	149.45	82.69	130.92
3.99	92.47	148.00	82.13	130.66
4.00	91.91	146.39	81.67	130.26
4.01	91.43	144.80	81.08	129.81
4.02	90.82	143.12	80.58	129.09
4.03	90.25	141.52	79.91	128.33
4.04	89.70	139.98	79.40	127.39
4.05	89.14	138.52	78.81	126.23
4.06	88.39	137.31	78.31	125.01
4.07	87.66	136.21	77.76	123.76
4.08	86.90	135.18	77.37	122.40
4.09	86.15	134.30	76.89	121.08
4.10	85.49	133.54	76.45	119.70
4.11	85.08	132.69	75.93	118.35
4.12	85.15	131.77	75.48	117.08
4.13	86.23	130.86	74.93	116.01
4.14	88.72	129.88	74.33	114.81
4.15	92.95	129.02	73.82	114.02
4.16	98.89	128.11	73.26	113.09
4.17	106.09	127.27	72.98	112.25
4.18	113.76	126.69	73.14	111.60
4.19	121.31	126.81	74.02	110.89
4.20	128.04	128.12	76.11	110.25
4.21	133.62	131.46	79.58	109.48
4.22	138.05	137.46	84.54	108.90
4.23	141.60	146.11	90.44	108.28
4.24	144.28	156.94	96.89	107.82
4.25	146.34	169.06	103.13	107.69
4.26	147.83	181.35	108.78	108.17
4.27	148.81	192.85	113.44	109.91
4.28	149.21	202.78	117.06	113.37
4.29	149.06	210.74	119.63	118.88
4.30	148.42	216.61	121.44	126.43
4.31	147.44	220.54	122.65	135.54
4.32	145.97	222.72	123.53	145.63
4.33	144.51	223.80	123.98	155.81
4.34	142.97	224.06	124.17	165.41
4.35	141.35	224.09	124.06	173.98
4.36	139.86	224.02	123.50	180.83
4.37	138.26	224.05	122.71	186.21
4.38	136.63	224.30	121.58	189.79
4.39	134.73	224.80	120.15	191.86
4.40	132.45	225.51	118.58	192.70
4.41	129.73	226.13	116.91	192.56
4.42	126.37	226.53	115.10	191.82
4.43	122.57	226.58	113.26	190.81
4.44	118.62	226.33	111.36	189.79
4.45	114.90	225.60	109.15	188.95
4.46	111.80	224.31	106.79	188.16
4.47	109.35	222.70	104.00	187.86
4.48	107.79	220.44	101.12	187.49
4.49	106.61	217.58	98.13	187.33
4.50	105.79	213.93	95.39	186.81
4.51	105.19	209.49	92.92	186.01
4.52	104.48	204.20	91.05	184.67
4.53	103.85	198.15	89.58	182.70
4.54	103.04	191.44	88.59	179.80
4.55	102.32	184.34	87.90	175.73
4.56	101.64	177.24	87.45	170.64
4.57	100.98	170.55	86.91	164.58
4.58	100.43	164.78	86.46	157.95
4.59	99.92	160.23	85.97	151.42
4.60	99.35	157.03	85.41	145.58
4.61	98.80	155.17	84.83	140.82
4.62	98.15	154.09	84.23	137.31
4.63	97.50	153.58	83.65	134.86
4.64	96.78	153.11	83.11	133.37
4.65	96.11	152.51	82.52	132.43
4.66	95.38	151.60	82.12	131.91
4.67	94.65	150.52	81.56	131.47
4.68	94.08	149.15	81.22	131.05
4.69	93.42	147.61	80.77	130.68
4.70	92.73	145.93	80.40	130.06
4.71	92.15	144.31	79.85	129.48
4.72	91.46	142.74	79.31	128.76
4.73	90.80	141.22	78.78	127.99
4.74	90.16	139.80	78.24	127.00
4.75	89.58	138.43	77.75	125.97
4.76	88.85	137.15	77.27	124.85
4.77	88.29	135.95	76.83	123.59
4.78	87.88	134.91	76.33	122.30
4.79	88.08	133.86	75.95	120.99
4.80	89.33	132.88	75.48	119.59
4.81	92.19	132.07	75.05	118.32
4.82	96.85	131.12	74.54	117.04
4.83	103.16	130.20	74.08	116.04
4.84	110.50	129.28	73.61	115.00
4.85	118.27	128.25	73.02	114.06
4.86	125.59	127.31	72.50	113.21
4.87	132.12	126.48	71.94	112.38
4.88	137.56	125.94	71.63	111.52
4.89	141.98	126.14	71.41	110.73
4.90	145.32	128.00	71.91	109.94
4.91	148.05	132.31	73.16	109.18
4.92	150.10	139.23	75.85	108.42
4.93	151.65	148.98	79.93	107.91
4.94	152.52	160.76	85.27	107.72
4.95	152.89	173.48	91.26	108.30
4.96	152.58	186.02	97.59	110.10
4.97	151.85	197.36	103.52	113.82
4.98	150.71	206.74	108.69	119.55
4.99	149.38	213.95	112.75	127.24
5.00	147.88	219.02	115.75	136.45
5.01	146.45	222.25	117.89	146.49
5.02	144.93	223.96	119.26	156.63
5.03	143.43	224.70	120.10	166.22
5.04	141.95	224.83	120.54	174.52
5.05	140.33	224.84	120.73	181.37
5.06	138.46	224.75	120.69	186.57
5.07	136.27	224.81	120.27	190.13
5.08	133.47	225.12	119.64	192.24
5.09	130.24	225.52	118.66	193.13
5.10	126.44	226.01	117.42	193.18
5.11	122.54	226.56	115.98	192.52
5.12	118.72	226.84	114.35	191.63
5.13	115.48	226.91	112.58	190.73
5.14	112.80	226.53	110.74	189.93
5.15	110.88	225.76	108.71	189.45
5.16	109.57	224.36	106.62	189.06
5.17	108.64	222.46	104.22	188.87
5.18	107.86	219.85	101.61	188.61
5.19	107.14	216.60	98.76	188.26
5.20	106.45	212.64	96.02	187.49
5.21	105.74	208.07	93.46	186.33
5.22	105.02	202.79	91.21	184.54
5.23	104.27	196.74	89.44	181.83
5.24	103.55	190.15	88.11	178.20
5.25	102.82	182.86	87.24	173.41
5.26	102.21	175.45	86.50	167.70
5.27	101.58	168.41	86.01	161.27
5.28	100.81	162.35	85.58	154.72
5.29	100.15	157.83	85.09	148.73
5.30	99.32	154.93	84.66	143.58
5.31	98.62	153.44	84.01	139.54
5.32	97.85	152.83	83.54	136.77
5.33	97.11	152.64	82.89	134.89
5.34	96.41	152.58	82.44	133.78
5.35	95.67	152.36	81.87	133.07
5.36	94.97	151.65	81.35	132.56
5.37	94.27	150.73	80.93	132.16
5.38	93.57	149.41	80.49	131.63
5.39	92.92	147.97	80.07	131.12
5.40	92.16	146.56	79.73	130.42
5.41	91.51	145.18	79.20	129.72
5.42	90.87	143.78	78.83	128.78
5.43	90.29	142.39	78.36	127.78
5.44	89.71	141.12	77.89	126.70
5.45	89.31	139.97	77.38	125.48
5.46	89.44	139.05	76.89	124.24
5.47	90.45	138.23	76.43	122.97
5.48	93.06	137.34	75.94	121.66
5.49	97.45	136.58	75.46	120.40
5.50	103.54	135.53	75.12	119.08
5.51	110.83	134.30	74.67	117.98
5.52	118.58	132.94	74.25	116.83
5.53	126.18	131.44	73.77	115.84
5.54	133.03	130.17	73.33	114.90
5.55	138.71	129.15	72.84	114.15
5.56	143.35	128.26	72.31	113.29
5.57	147.10	127.91	71.73	112.62
5.58	149.92	127.88	71.31	111.92
5.59	152.19	128.73	70.89	111.30
5.60	153.74	131.17	70.70	110.67
5.61	154.69	135.76	70.98	110.04
5.62	155.00	143.07	72.20	109.67
5.63	154.75	152.78	74.65	109.52
5.64	154.00	164.00	78.52	110.11
5.65	152.82	175.90	83.70	111.91
5.66	151.44	187.23	89.70	115.67
5.67	149.99	197.49	96.02	121.35
5.68	148.36	205.97	102.15	129.07
5.69	146.79	212.35	107.54	138.33
5.70	145.31	216.86	111.99	148.35
5.71	143.72	219.80	115.26	158.49
5.72	142.12	221.63	117.66	167.97
5.73	140.15	222.90	119.28	176.19
5.74	137.91	224.04	120.39	182.96
5.75	135.20	225.08	121.01	188.11
5.76	131.72	226.10	121.42	191.54
5.77	127.77	227.19	121.45	193.55
5.78	123.46	227.90	121.25	194.35
5.79	119.27	228.47	120.69	194.36
5.80	115.51	228.80	119.79	193.59
5.81	112.57	228.80	118.57	192.81
5.82	110.34	228.64	117.15	191.87
5.83	108.81	228.41	115.60	191.14
5.84	107.82	227.84	113.95	190.73
5.85	107.14	226.92	112.11	190.48
5.86	106.45	225.48	110.33	190.39
5.87	105.80	223.65	108.33	190.21
5.88	105.05	221.21	106.05	190.14
5.89	104.31	218.31	103.64	189.65
5.90	103.54	214.60	100.88	188.81
5.91	102.85	210.20	97.97	187.33
5.92	102.09	204.84	95.16	185.12
5.93	101.52	198.79	92.53	182.01
5.94	100.87	192.00	90.50	177.84
5.95	100.23	185.06	88.74	172.55
5.96	99.51	178.15	87.60	166.33
5.97	98.78	172.17	86.71	159.60
5.98	97.95	167.28	86.18	152.96
5.99	97.16	163.77	85.69	147.02
6.00	96.37	161.35	85.37	142.24
6.01	95.57	159.72	84.91	138.80
6.02	94.87	158.55	84.40	136.44
6.03	94.23	157.58	83.79	135.00
6.04	93.46	156.51	83.22	134.25
6.05	92.88	155.37	82.65	133.85
6.06	92.27	154.05	82.12	133.47
6.07	91.63	152.61	81.64	133.25
6.08	90.92	150.96	81.15	132.78
6.09	90.28	149.32	80.74	132.22
6.10	89.55	147.55	80.36	131.45
6.11	88.96	145.85	79.96	130.59
6.12	88.28	144.27	79.49	129.57
6.13	87.94	142.85	79.05	128.39
6.14	87.92	141.62	78.63	127.15
6.15	89.24	140.59	78.19	125.84
6.16	91.85	139.75	77.72	124.39
6.17	96.35	138.85	77.26	123.00
6.18	102.56	137.94	76.79	121.67
6.19	109.75	137.01	76.36	120.43
6.20	117.28	135.89	75.94	119.24
6.21	124.51	134.64	75.54	118.17
6.22	130.92	133.26	75.19	117.23
6.23	136.14	132.01	74.77	116.38
6.24	140.35	131.01	74.41	115.52
6.25	143.55	130.16	73.92	114.78
6.26	146.00	129.58	73.48	114.00
6.27	147.90	129.13	72.89	113.29
6.28	149.20	129.04	72.39	112.58
6.29	149.90	129.78	71.87	111.85
6.30	150.02	132.10	71.45	111.09
6.31	149.63	136.91	71.18	110.50
6.32	148.75	144.44	71.50	110.14
6.33	147.45	154.57	72.66	110.58
6.34	145.84	166.37	75.04	112.33
6.35	144.17	178.66	78.94	116.00
6.36	142.57	190.27	84.09	121.81
6.37	140.88	200.62	90.22	129.75
6.38	139.22	209.10	96.78	139.25
6.39	137.61	215.72	103.10	149.66
6.40	135.77	220.39	108.79	160.15
6.41	133.54	223.65	113.34	170.05
6.42	130.83	225.49	116.93	178.61
6.43	127.52	226.64	119.45	185.63
6.44	123.75	227.25	121.28	190.92
6.45	119.79	227.63	122.40	194.55
6.46	115.90	227.96	123.23	196.51
6.47	112.59	228.38	123.60	197.36
6.48	109.97	228.92	123.80	197.27
6.49	108.20	229.43	123.65	196.61
6.50	106.93	229.88	123.14	195.73
6.51	106.08	230.22	122.34	194.90
6.52	105.39	230.10	121.27	194.21
6.53	104.80	229.67	119.94	193.84
6.54	104.12	228.96	118.44	193.61
6.55	103.33	227.77	116.89	193.39
6.56	102.63	226.24	115.28	193.30
6.57	101.80	224.33	113.48	192.97
6.58	101.18	221.66	111.80	192.30
6.59	100.61	218.40	109.86	191.19
6.60	99.90	214.40	107.65	189.47
6.61	99.34	209.80	105.07	187.09
6.62	98.70	204.34	102.28	183.84
6.63	98.00	198.20	99.34	179.59
6.64	97.26	191.59	96.58	174.29
6.65	96.53	184.68	93.96	168.26
6.66	95.77	178.14	91.93	161.52
6.67	95.08	172.31	90.36	154.80
6.68	94.27	167.72	89.19	148.63
6.69	93.60	164.52	88.44	143.46
6.70	92.95	162.38	87.87	139.56
6.71	92.32	161.02	87.41	136.86
6.72	91.71	159.98	87.02	135.17
6.73	91.21	158.92	86.57	134.28
6.74	90.55	157.59	85.99	133.75
6.75	89.95	156.12	85.44	133.49
6.76	89.34	154.49	84.83	133.26
6.77	88.62	152.93	84.29	133.03
6.78	87.89	151.49	83.75	132.60
6.79	87.22	150.13	83.23	132.03
6.80	86.60	148.81	82.74	131.27
6.81	86.45	147.44	82.25	130.45
6.82	86.97	145.86	81.90	129.32
6.83	88.96	144.14	81.43	128.15
6.84	92.55	142.51	80.97	126.79
6.85	97.86	140.90	80.46	125.54
6.86	104.55	139.50	80.01	124.03
6.87	111.95	138.31	79.53	122.76
6.88	119.28	137.25	79.00	121.43
6.89	125.98	136.38	78.51	120.29
6.90	131.67	135.48	78.04	119.20
6.91	136.29	134.69	77.51	118.32
6.92	139.75	133.92	77.03	117.34
6.93	142.49	133.28	76.61	116.52
6.94	144.47	132.56	76.24	115.75
6.95	146.00	131.83	75.85	114.95
