250, 	 0.28, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -4.91129474168099466880, 	 0.67022853988512975931, 	 0.65500082354213606806,  	 0.65532687653000010197
250, 	 0.30, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -4.49274250667065278009, 	 0.64293855846509362362, 	 0.63121421033030034042,  	 0.63171287749002669187
250, 	 0.32, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -4.09528985932390998670, 	 0.61884981915737080627, 	 0.60752741006887367448,  	 0.60844394376392296753
250, 	 0.34, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -3.71881869261740582999, 	 0.59855168554282622839, 	 0.58393386223898913201,  	 0.58555413221887886444
250, 	 0.36, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -3.36344675464983300373, 	 0.58341790766975032412, 	 0.56044177095234293251,  	 0.56309719249808964925
250, 	 0.38, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -3.02897929356235362519, 	 0.57109374263522372228, 	 0.53705215217473101230,  	 0.54111351846400412846
250, 	 0.40, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -2.71502898234611977912, 	 0.56078508032990737053, 	 0.51375875502283807617,  	 0.51963586328448063689
250, 	 0.42, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -2.42132856980489075127, 	 0.55130373373403673831, 	 0.49056364538747904147,  	 0.49870989934891113426
250, 	 0.44, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -2.14752089230560327948, 	 0.54241062127897188283, 	 0.46746606274717378282,  	 0.47838032759759890888
250, 	 0.50, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -1.44099629272207208075, 	 0.51771960529486593661, 	 0.39871822201255741058,  	 0.42142915276520515055
300, 	 0.28, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -3.77998540607482080844, 	 0.60823534556516523075, 	 0.58874029898801305549,  	 0.58933487629388991991
300, 	 0.30, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -3.33517034283823221585, 	 0.57574395119890819927, 	 0.56055489012509374103,  	 0.56126237072720130961
300, 	 0.32, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -2.91866175679557482425, 	 0.54579005467650598682, 	 0.53251735701817903834,  	 0.53364138355244217227
300, 	 0.34, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -2.53024637993803080960, 	 0.52137392539766314048, 	 0.50462081459485574886,  	 0.50653057640226151204
300, 	 0.36, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -2.16956368189870829610, 	 0.50314660251886800246, 	 0.47685620137916912009,  	 0.47998948239795180548
300, 	 0.38, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -1.83635062202967969114, 	 0.48931703761596295754, 	 0.44922711881664756373,  	 0.45409652018521606820
300, 	 0.40, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -1.53024652381610426488, 	 0.47691481404215907425, 	 0.42173658313399275954,  	 0.42893812193672059552
300, 	 0.42, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -1.25070847179157818019, 	 0.46559566125270868131, 	 0.39438039092591592460,  	 0.40460186117496393932
300, 	 0.44, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -0.99711616866412144944, 	 0.45578327981139660219, 	 0.36714899864342365188,  	 0.38118535656968444147
300, 	 0.50, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -0.38696022106214633673, 	 0.42768310030229883534, 	 0.28622950844236760837,  	 0.31786615142461721595
350, 	 0.28, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -2.78297468098179701101, 	 0.54712685328646037952, 	 0.52330620908776503963,  	 0.52433669168652530246
350, 	 0.30, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -2.32905396591615510005, 	 0.50953365191689126146, 	 0.49084552813069293187,  	 0.49189957336514816832
350, 	 0.32, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -1.91081923804860620564, 	 0.47380830398153733762, 	 0.45856107360700726350,  	 0.45999403503309671537
350, 	 0.34, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -1.52841952759061783240, 	 0.44527336964260716412, 	 0.42647284509308025502,  	 0.42875147795725598865
350, 	 0.36, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -1.18111734412898705671, 	 0.42473181281945510124, 	 0.39455762070916666762,  	 0.39826033367119351158
350, 	 0.38, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -0.86851138644344993978, 	 0.40855279006548550491, 	 0.36282201719828993669,  	 0.36866764003288532425
350, 	 0.40, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -0.58993204167306201313, 	 0.39492801072527999873, 	 0.33126158494427443424,  	 0.34013595258506340580
350, 	 0.42, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -0.34469549941965249573, 	 0.38301363630690493656, 	 0.29987366772327528341,  	 0.31287524344795097919
350, 	 0.44, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -0.13198838981473626220, 	 0.37165014247075350839, 	 0.26864487558122596145,  	 0.28714376781966288732
350, 	 0.50, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.31772502141701419731, 	 0.33920499553313371299, 	 0.17633613053647656521,  	 0.22318069364108580888
450, 	 0.28, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -1.17359243770823606923, 	 0.42729446592562236873, 	 0.39483566587721929952,  	 0.39758511486424163994
450, 	 0.30, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -0.74785638793962228021, 	 0.37986458540977674492, 	 0.35410443600859348168,  	 0.35657514309172622102
450, 	 0.32, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -0.37498426349498203969, 	 0.33407111298485570039, 	 0.31365724714087656055,  	 0.31631664749743765297
450, 	 0.34, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 -0.05438849715390747797, 	 0.29622513958482504792, 	 0.27349410423310799301,  	 0.27705996212456629468
450, 	 0.36, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.21471539672507800045, 	 0.27102834876237152928, 	 0.23361984816299075085,  	 0.23917908103452328872
450, 	 0.38, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.43360300383697547577, 	 0.25240014450918463185, 	 0.19400543851411233831,  	 0.20321504511261920256
450, 	 0.40, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.60329342080936965154, 	 0.23619584684261396568, 	 0.15465873006561142722,  	 0.17016753165774062273
450, 	 0.42, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.72499420095665578767, 	 0.22112208265841790111, 	 0.11557427154537842917,  	 0.14177544361201377399
450, 	 0.44, 	 1750.00000000000000000000, 	 0.00000100000000000000, 	 0.79992906452478507173, 	 0.20680444459907318389, 	 0.08825934338512787802,  	 0.12098232891461534189
