700, 	 200.000, 	 500.00000000000000000000, 	 0.00000100000000000000, 	 -0.42357926962749004041, 	 0.32510985216654220142, 	 0.32242971184247853911,  	 0.32060055735806602950
700, 	 200.000, 	 750.00000000000000000000, 	 0.00000100000000000000, 	 0.74323122035590016843, 	 0.15270769629659575184, 	 0.13460599851633658908,  	 0.13607393911025086886
700, 	 200.000, 	 1000.00000000000000000000, 	 0.00000100000000000000, 	 0.98254284256789548024, 	 0.06295227595383251495, 	 0.03047262033196510705,  	 0.03557209561232995559
700, 	 200.000, 	 1500.00000000000000000000, 	 0.00000100000000000000, 	 -0.12375600876700620923, 	 0.25760447104932132634, 	 0.29237539920601390842,  	 0.28421170426885311588
700, 	 200.000, 	 2000.00000000000000000000, 	 0.00000100000000000000, 	 -2.18521614351377246876, 	 0.39878542559487745178, 	 0.49324196397690739380,  	 0.47836405550987115554
700, 	 200.000, 	 3000.00000000000000000000, 	 0.00000100000000000000, 	 -6.77938901647773661807, 	 0.58826600667522821464, 	 0.77205594791165454982,  	 0.74749099711365041276
700, 	 500.000, 	 750.00000000000000000000, 	 0.00000100000000000000, 	 0.94949647413516591321, 	 0.08596631410369318105, 	 0.05820420583519180652,  	 0.06035185239651716382
700, 	 500.000, 	 1000.00000000000000000000, 	 0.00000100000000000000, 	 0.49453764273164579901, 	 0.18774931341563355636, 	 0.19554314286431173642,  	 0.19065973917069614640
700, 	 500.000, 	 1500.00000000000000000000, 	 0.00000100000000000000, 	 -1.30338388553575823536, 	 0.34774137765987550575, 	 0.41919371661829479825,  	 0.40682214463969879059
700, 	 500.000, 	 2000.00000000000000000000, 	 0.00000100000000000000, 	 -3.56929156587016382929, 	 0.46549262067880925464, 	 0.59114712248629508462,  	 0.57291246265724204978
700, 	 500.000, 	 3000.00000000000000000000, 	 0.00000100000000000000, 	 -8.07498124924315163753, 	 0.62987497847790718808, 	 0.83409353442190337091,  	 0.80733756220824759442
700, 	 750.000, 	 1000.00000000000000000000, 	 0.00000100000000000000, 	 -0.30333236960760134870, 	 0.27438086367522995790, 	 0.31496420444758543855,  	 0.30606588529350226002
700, 	 750.000, 	 1500.00000000000000000000, 	 0.00000100000000000000, 	 -2.41249981505918276170, 	 0.41101282958563445380, 	 0.51059626040118577528,  	 0.49513400808277036047
700, 	 750.000, 	 2000.00000000000000000000, 	 0.00000100000000000000, 	 -4.73475243814698121270, 	 0.51397420573985108661, 	 0.66252685465347660454,  	 0.64181247685051734386
700, 	 750.000, 	 3000.00000000000000000000, 	 0.00000100000000000000, 	 -9.10439319561545268300, 	 0.66061861313103276139, 	 0.88029044494960984046,  	 0.85189921835449811116
700, 	 1000.000, 	 1500.00000000000000000000, 	 0.00000100000000000000, 	 -3.56931328223796029420, 	 0.46567881971266344987, 	 0.59114759589462417821,  	 0.57291802462481788982
700, 	 1000.000, 	 2000.00000000000000000000, 	 0.00000100000000000000, 	 -5.88317971727402078130, 	 0.55722305506132363551, 	 0.72607236351325321611,  	 0.70313391012900305910
700, 	 1000.000, 	 3000.00000000000000000000, 	 0.00000100000000000000, 	 -10.08584621134385450603, 	 0.68854944763389624995, 	 0.92219442111117511107,  	 0.89231702970818838061
700, 	 1500.000, 	 2000.00000000000000000000, 	 0.00000100000000000000, 	 -8.07501637484215528673, 	 0.62979943336888732919, 	 0.83409938393656612998,  	 0.80735100677431059779
700, 	 1500.000, 	 3000.00000000000000000000, 	 0.00000100000000000000, 	 -11.90477412066233142696, 	 0.74560774260090012522, 	 0.99522244347913924045,  	 0.96275200734195787167
700, 	 200.000, 	 1000.00000000000000000000, 	 0.00000100000000000000, 	 0.98254284256789548024, 	 0.06295227595383251495, 	 0.03047262033196510705,  	 0.03557209561232995559
700, 	 200.000, 	 1000.00000000000000000000, 	 0.00000100000000000000, 	 0.98254284256789548024, 	 0.06295227595383251495, 	 0.03047262033196510705,  	 0.03557209561232995559
700, 	 200.000, 	 1000.00000000000000000000, 	 0.00000100000000000000, 	 0.98254284256789548024, 	 0.06295227595383251495, 	 0.03047262033196510705,  	 0.03557209561232995559
700, 	 200.000, 	 1000.00000000000000000000, 	 0.00000100000000000000, 	 0.98254284256789548024, 	 0.06295227595383251495, 	 0.03047262033196510705,  	 0.03557209561232995559
700, 	 200.000, 	 1000.00000000000000000000, 	 0.00010000000000000000, 	 0.80477015204999868825, 	 0.16567433134825113039, 	 0.10209276062929253936,  	 0.11938168398859538843
700, 	 200.000, 	 1000.00000000000000000000, 	 0.00000100000000000000, 	 0.98254284256789548024, 	 0.06295227595383251495, 	 0.03047262033196510705,  	 0.03557209561232995559
700, 	 200.000, 	 1000.00000000000000000000, 	 0.00000100000000000000, 	 0.98254284256789548024, 	 0.06295227595383251495, 	 0.03047262033196510705,  	 0.03557209561232995559
