50000, 	 500, 	 0.30, 	 1700, 	 0.00001000000000000000, 	 -0.28669716543642564943, 	 0.32745978720072443924, 	 0.30428706362764734727, 	 0.30594702418008640210
50000, 	 500, 	 0.30, 	 1700, 	 0.00000100000000000000, 	 -0.29331583512966163951, 	 0.32960393119269132400, 	 0.30430522480610966429, 	 0.30675294209101566789
50000, 	 500, 	 0.30, 	 1750, 	 0.00001000000000000000, 	 -0.15521725206958225662, 	 0.31455627888716131135, 	 0.28699884569763367548, 	 0.28997315422006236796
50000, 	 500, 	 0.30, 	 1750, 	 0.00000100000000000000, 	 -0.16225238762986760044, 	 0.31683049832283555203, 	 0.28701633746782795331, 	 0.29087417172531726539
50000, 	 500, 	 0.30, 	 1800, 	 0.00001000000000000000, 	 -0.03276257164651585896, 	 0.30185875172488130236, 	 0.26986503403256834055, 	 0.27425277795394342739
50000, 	 500, 	 0.30, 	 1800, 	 0.00000100000000000000, 	 -0.04021272156259292352, 	 0.30425854637685173509, 	 0.26988318846370051851, 	 0.27525868353857196880
50000, 	 500, 	 0.36, 	 1700, 	 0.00001000000000000000, 	 0.55386159321838990266, 	 0.21145246757018906769, 	 0.17506856163097703205, 	 0.18032822433597556211
50000, 	 500, 	 0.36, 	 1700, 	 0.00000100000000000000, 	 0.55262680858619006585, 	 0.21097499676021314041, 	 0.17508432939320622834, 	 0.18059598847354962903
50000, 	 500, 	 0.36, 	 1750, 	 0.00001000000000000000, 	 0.64008916626112877246, 	 0.19651896020086065398, 	 0.15486131553411972006, 	 0.16205466119537526026
50000, 	 500, 	 0.36, 	 1750, 	 0.00000100000000000000, 	 0.63863223142250369335, 	 0.19608278347360680316, 	 0.15487904528497900558, 	 0.16239816597754805350
50000, 	 500, 	 0.36, 	 1800, 	 0.00001000000000000000, 	 0.71484737611771975718, 	 0.18185086351609172639, 	 0.13484707316602070892, 	 0.14432479463119510243
50000, 	 500, 	 0.36, 	 1800, 	 0.00000100000000000000, 	 0.71316587348145477065, 	 0.18145940397719850790, 	 0.13486752199702278787, 	 0.14476186684023276130
50000, 	 500, 	 0.40, 	 1700, 	 0.00001000000000000000, 	 0.82882788885740144025, 	 0.17542018527452968302, 	 0.09110140564152657827, 	 0.11186502450463925440
50000, 	 500, 	 0.40, 	 1700, 	 0.00000100000000000000, 	 0.83124389198994430572, 	 0.17456570225268802643, 	 0.09053574001758578349, 	 0.11108101915856916087
50000, 	 500, 	 0.40, 	 1750, 	 0.00001000000000000000, 	 0.87493849921010091730, 	 0.15929806777759983327, 	 0.07368325113932124026, 	 0.09565267929847759421
50000, 	 500, 	 0.40, 	 1750, 	 0.00000100000000000000, 	 0.87725722965931740571, 	 0.15848307117207166561, 	 0.07267067102420095293, 	 0.09476142736386028442
50000, 	 500, 	 0.40, 	 1800, 	 0.00001000000000000000, 	 0.90794892000977855950, 	 0.14346157680511431587, 	 0.06187439649754571114, 	 0.08201466522049266628
50000, 	 500, 	 0.40, 	 1800, 	 0.00000100000000000000, 	 0.91015535652286794210, 	 0.14269193596382526157, 	 0.06079546309872902593, 	 0.08101091042338695591
50000, 	 500, 	 0.45, 	 1700, 	 0.00001000000000000000, 	 0.87095770815438988688, 	 0.13926984145885329403, 	 0.08050918462045433821, 	 0.09691475781447732307
50000, 	 500, 	 0.45, 	 1700, 	 0.00000100000000000000, 	 0.87784485790547772677, 	 0.13800092247145659408, 	 0.07834188220044269180, 	 0.09424773578301406940
50000, 	 500, 	 0.45, 	 1750, 	 0.00001000000000000000, 	 0.85686867810534639300, 	 0.12309056136015529559, 	 0.08826142930708909262, 	 0.10182289932915979114
50000, 	 500, 	 0.45, 	 1750, 	 0.00000100000000000000, 	 0.86378358374467201219, 	 0.12037266421408802930, 	 0.08716970635797366418, 	 0.09926241502071343759
50000, 	 500, 	 0.45, 	 1800, 	 0.00001000000000000000, 	 0.82765671711818000755, 	 0.13772666931838517534, 	 0.10117007034284006273, 	 0.11148772671418900881
50000, 	 500, 	 0.45, 	 1800, 	 0.00000100000000000000, 	 0.83457143239847009220, 	 0.13224109030068109671, 	 0.10041976805472674350, 	 0.10913994385399511389
50000, 	 600, 	 0.30, 	 1700, 	 0.00001000000000000000, 	 0.54592986514000119147, 	 0.20548075677893729019, 	 0.17543598654190331598, 	 0.18194845298874440243
50000, 	 600, 	 0.30, 	 1700, 	 0.00000100000000000000, 	 0.53985114509738230115, 	 0.20781743463461732624, 	 0.17544873162917354326, 	 0.18317776104752347965
50000, 	 600, 	 0.30, 	 1750, 	 0.00001000000000000000, 	 0.63023762936051253014, 	 0.19056688788944614599, 	 0.15523518730577606783, 	 0.16427934100434155029
50000, 	 600, 	 0.30, 	 1750, 	 0.00000100000000000000, 	 0.62380813015325853321, 	 0.19303443156213576093, 	 0.15524856567278275121, 	 0.16571390681325015581
50000, 	 600, 	 0.30, 	 1800, 	 0.00001000000000000000, 	 0.70318651105774088172, 	 0.17590352422344213146, 	 0.13568921827337118713, 	 0.14726305782448106951
50000, 	 600, 	 0.30, 	 1800, 	 0.00000100000000000000, 	 0.69642028362206764847, 	 0.17849552958704761885, 	 0.13649363150761401053, 	 0.14894078219958511999
50000, 	 600, 	 0.36, 	 1700, 	 0.00001000000000000000, 	 0.96941397452327204842, 	 0.06822313656904212265, 	 0.04063301926852874030, 	 0.04716343848924579862
50000, 	 600, 	 0.36, 	 1700, 	 0.00000100000000000000, 	 0.96976645613161316373, 	 0.06782715468582688201, 	 0.04019743066581385471, 	 0.04686644410386248821
50000, 	 600, 	 0.36, 	 1750, 	 0.00001000000000000000, 	 0.97590757640177239196, 	 0.06007404400558911256, 	 0.03605804453938542958, 	 0.04142752213581334109
50000, 	 600, 	 0.36, 	 1750, 	 0.00000100000000000000, 	 0.97615205171947294627, 	 0.06301570742421763738, 	 0.03518664337912212614, 	 0.04116318519823355254
