0.00000000000000000000,	 1.75000000000000000000,	 0.60000000000000008882,	 1.13097335529232556617, 532845.71779510332271456718,	 0.60000000000000008882,	 0.00000000000000000000,	 1.13097335529232556617,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
1.20010000000000016662,	 1.75000000000000000000,	 0.60000000000000008882,	 1.13097335529232556617, 532845.71779510332271456718,	 0.69307702170720431045,	 0.09307702170720422163,	 1.50908212050056600440,	 249.62062181050538356430,	 165.41221873843792877778,	 88033.86736819165525957942,	 101714.46842217807716224343,	 0.00000000000000000000,	 0.00000000000000000000,	 -2625.29899150442952304729,	 0.00000000000000000000,	 0.00000000000000000000,	 -26.25298991504429579891,	 0.01000000000000000021,	 0.28913697064389565217,	 0.00000000000000000000,	 0.00000000000000000000
1.20120000000000004547,	 1.75000000000000000000,	 0.60000000000000008882,	 1.13097335529232556617, 532845.71779510332271456718,	 0.69320136487120054269,	 0.09320136487120045388,	 1.50962365014902677451,	 249.53602835168328510917,	 165.29684622193724408135,	 88258.06724359409417957067,	 101919.59092905347642954439,	 0.00000000000000000000,	 0.00000000000000000000,	 -2622.99730004015555095975,	 0.00000000000000000000,	 0.00000000000000000000,	 -26.22997300040155721490,	 0.01000000000000000021,	 0.28890938690508966014,	 0.00000000000000000000,	 0.00000000000000000000
1.20230000000000014637,	 1.75000000000000000000,	 0.60000000000000008882,	 1.13097335529232556617, 532845.71779510332271456718,	 0.69345542246789249052,	 0.09345542246789240171,	 1.51073040399526004052,	 249.80206693882669810591,	 165.35184985898413856376,	 88685.90013783842732664198,	 102356.51726373244309797883,	 0.00000000000000000000,	 0.00000000000000000000,	 -2622.90882660599618247943,	 0.00000000000000000000,	 0.00000000000000000000,	 -26.22908826605996424064,	 0.01000000000000000021,	 0.28895257788363931661,	 0.00000000000000000000,	 0.00000000000000000000
1.20340000000000002522,	 1.75000000000000000000,	 0.60000000000000008882,	 1.13097335529232556617, 532845.71779510332271456718,	 0.69386338345851439335,	 0.09386338345851430454,	 1.51250845732925975895,	 250.41390550453704122447,	 165.56198697011592457784,	 89269.61873236001702025533,	 102975.00449710643442813307,	 0.00000000000000000000,	 0.00000000000000000000,	 -2624.69803146797994486406,	 0.00000000000000000000,	 0.00000000000000000000,	 -26.24698031467979930653,	 0.01000000000000000021,	 0.28923472663663185589,	 0.00000000000000000000,	 0.00000000000000000000
1.20450000000000012612,	 1.75000000000000000000,	 0.60000000000000008882,	 1.13097335529232556617, 532845.71779510332271456718,	 0.69440083242510186601,	 0.09440083242510177719,	 1.51485246610989254812,	 251.24786257006806522440,	 165.85632475172118915907,	 89924.87484086594486143440,	 103679.03507094015367329121,	 0.00000000000000000000,	 0.00000000000000000000,	 -2627.32918377616579164169,	 0.00000000000000000000,	 0.00000000000000000000,	 -26.27329183776165777431,	 0.01000000000000000021,	 0.28963678013428456604,	 0.00000000000000000000,	 0.00000000000000000000
1.20560000000000000497,	 1.75000000000000000000,	 0.60000000000000008882,	 1.13097335529232556617, 532845.71779510332271456718,	 0.69503495469386156191,	 0.09503495469386147310,	 1.51762043597783113924,	 252.16376469377132707450,	 166.15733335937684955752,	 90632.62606758833862841129,	 104436.75578213788685388863,	 0.00000000000000000000,	 0.00000000000000000000,	 -2629.69603846499558130745,	 0.00000000000000000000,	 0.00000000000000000000,	 -26.29696038464995666573,	 0.01000000000000000021,	 0.29003003833638002495,	 0.00000000000000000000,	 0.00000000000000000000
1.20670000000000010587,	 1.75000000000000000000,	 0.60000000000000008882,	 1.13097335529232556617, 532845.71779510332271456718,	 0.69575135493510420481,	 0.09575135493510411600,	 1.52075059212748953108,	 253.05060786246195903004,	 166.39849372568772878367,	 91418.02547229337505996227,	 105262.25482938224740792066,	 0.00000000000000000000,	 0.00000000000000000000,	 -2630.80110157067883847049,	 0.00000000000000000000,	 0.00000000000000000000,	 -26.30801101570678923736,	 0.01000000000000000021,	 0.29030141317006774582,	 0.00000000000000000000,	 0.00000000000000000000
1.20779999999999998472,	 1.75000000000000000000,	 0.60000000000000008882,	 1.13097335529232556617, 532845.71779510332271456718,	 0.69654447119569073976,	 0.09654447119569065094,	 1.52421970354118063717,	 253.84226525241308536351,	 166.53915748672440599876,	 92257.75440365873510017991,	 106125.39989185273589100689,	 0.00000000000000000000,	 0.00000000000000000000,	 -2630.02695177419172978261,	 0.00000000000000000000,	 0.00000000000000000000,	 -26.30026951774191701361,	 0.01000000000000000021,	 0.29038135554100641400,	 0.00000000000000000000,	 0.00000000000000000000
1.20890000000000008562,	 1.75000000000000000000,	 0.60000000000000008882,	 1.13097335529232556617, 532845.71779510332271456718,	 0.69740769141256442332,	 0.09740769141256433450,	 1.52799994330232791206,	 254.45843682611823055595,	 166.53039677225396530957,	 93160.00692414239165373147,	 107026.19344870455097407103,	 0.00000000000000000000,	 0.00000000000000000000,	 -2626.63344131537269277032,	 0.00000000000000000000,	 0.00000000000000000000,	 -26.26633441315372863301,	 0.01000000000000000021,	 0.29018632341601546809,	 0.00000000000000000000,	 0.00000000000000000000
1.20999999999999996447,	 1.75000000000000000000,	 0.60000000000000008882,	 1.13097335529232556617, 532845.71779510332271456718,	 0.69833702816283449444,	 0.09833702816283440562,	 1.53207495610651056595,	 254.80837155823419948319,	 166.31586499252182420605,	 94124.06107491633156314492,	 107954.54454902170982677490,	 0.00000000000000000000,	 0.00000000000000000000,	 -2619.75871411354273732286,	 0.00000000000000000000,	 0.00000000000000000000,	 -26.19758714113542552582,	 0.00999999999999999847,	 0.28961958931166409403,	 0.00000000000000000000,	 0.00000000000000000000
1.21110000000000006537,	 1.75000000000000000000,	 0.60000000000000008882,	 1.13097335529232556617, 532845.71779510332271456718,	 0.69933475307654269226,	 0.09933475307654260344,	 1.53645588179514724914,	 254.83862672150789308034,	 165.86133695147978528439,	 95153.19516839587595313787,	 108908.18671606203133706003,	 0.00000000000000000000,	 0.00000000000000000000,	 -2608.87178627970615707454,	 0.00000000000000000000,	 0.00000000000000000000,	 -26.08871786279706483924,	 0.01000000000000000194,	 0.28862197624111868288,	 0.00000000000000000000,	 0.00000000000000000000
