#t [s],	 res[A],	 res[Q] 
 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 
1.20010000000000016662 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.20120000000000004547 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.20230000000000014637 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.20340000000000002522 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.20450000000000012612 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.20560000000000000497 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.20670000000000010587 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.20779999999999998472 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.20890000000000008562 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.20999999999999996447 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.21110000000000006537 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.21220000000000016627 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.21330000000000004512 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.21440000000000014602 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.21550000000000002487 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.21660000000000012577 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.21770000000000000462 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.21880000000000010552 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.21989999999999998437 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.22100000000000008527 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.22209999999999996412 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.22320000000000006501 ,	 0.00010613302429181955 ,	 0.00052472159776423407 
1.22430000000000016591 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.22540000000000004476 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.22650000000000014566 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.22760000000000002451 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.22870000000000012541 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.22980000000000000426 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.23090000000000010516 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.23199999999999998401 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.23310000000000008491 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.23419999999999996376 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.23530000000000006466 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.23640000000000016556 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.23750000000000004441 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.23860000000000014531 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.23970000000000002416 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.24080000000000012506 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.24190000000000000391 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.24300000000000010481 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.24409999999999998366 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.24520000000000008455 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.24629999999999996341 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.24740000000000006430 ,	 0.00013911528630665041 ,	 0.00174002159156086368 
1.24850000000000016520 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.24960000000000004405 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.25070000000000014495 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
1.25180000000000002380 ,	 0.00006865457012857588 ,	 0.00448459339238044003 
