#t [s],	 x [cm],	 K [g/cm^2/s^2],	 A0 [cm^2],	 A [cm^2],	 Q [cm^3/s],	 P [g/cm/s^2],	 gamma [s^-1],	 H [cm^{-3}],	 f,	 taust [g/cm/s^2],	 tau [g/cm/s^2],	 C [cm^{-3}],	 O [cm^{-3}] 
 0.00000000000000000000 ,	 0.20000000000000001110,	 634130.44101235433481633663 ,	 0.95033177771091259523 ,	 0.95033177771091259523 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 -0.00000000000000000000,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 
0.00000000000000000000 ,	 0.60000000000000008882,	 634130.44101235433481633663 ,	 0.95033177771091259523 ,	 0.95033177771091259523 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 -0.00000000000000000000,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 
0.00000000000000000000 ,	 1.00000000000000000000,	 634130.44101235433481633663 ,	 0.95033177771091259523 ,	 0.95033177771091259523 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 -0.00000000000000000000,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 
0.00000000000000000000 ,	 1.40000000000000013323,	 634130.44101235433481633663 ,	 0.95033177771091259523 ,	 0.95033177771091259523 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 -0.00000000000000000000,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 
0.00000000000000000000 ,	 1.80000000000000004441,	 634130.44101235433481633663 ,	 0.95033177771091259523 ,	 0.95033177771091259523 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 -0.00000000000000000000,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 


1.20010000000000016662 ,	 0.20000000000000001110,	 634130.44101235433481633663 ,	 0.95033177771091259523 ,	 1.23919887907228898349 ,	 208.09007214359161253014 ,	 88112.13129759741915592031 ,	 -2941.08424304591926556895,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 -29.41084243045919421888 ,	 0.00000000000000000000 ,	 0.00000000000000000000 
1.20010000000000016662 ,	 0.60000000000000008882,	 634130.44101235433481633663 ,	 0.95033177771091259523 ,	 1.23859482755215477567 ,	 207.89486910619805826173 ,	 87944.81803563438888460269 ,	 -2940.47505453476287584635,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 -29.40475054534763188485 ,	 0.00000000000000000000 ,	 0.00000000000000000000 
1.20010000000000016662 ,	 1.00000000000000000000,	 634130.44101235433481633663 ,	 0.95033177771091259523 ,	 1.23913571755316609391 ,	 207.50713401262555635185 ,	 88173.58310581283712537015 ,	 -2933.06940930358314290061,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 -29.33069409303583086057 ,	 0.00000000000000000000 ,	 0.00000000000000000000 
1.20010000000000016662 ,	 1.40000000000000013323,	 634130.44101235433481633663 ,	 0.95033177771091259523 ,	 1.24000372364048927487 ,	 207.07490205717681419628 ,	 88522.58120399557301993809 ,	 -2923.88711979275967678404,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 -29.23887119792759747838 ,	 0.00000000000000000000 ,	 0.00000000000000000000 
1.20010000000000016662 ,	 1.80000000000000004441,	 634130.44101235433481633663 ,	 0.95033177771091259523 ,	 1.24262809371049143259 ,	 206.81934626799443321943 ,	 89450.62936594434839321366 ,	 -2911.03234153054063426680,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 ,	 -29.11032341530540534791 ,	 0.00000000000000000000 ,	 0.00000000000000000000 


