#t [s],	 res[A],	 res[Q] 
 0.00000000000000000000 ,	 0.00000000000000000000 ,	 0.00000000000000000000 
5.70020000000000059970 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.70130000000000070060 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.70239999999999991331 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.70350000000000001421 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.70460000000000011511 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.70570000000000021600 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.70680000000000031690 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.70790000000000041780 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.70900000000000051870 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.71010000000000061959 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.71119999999999983231 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.71229999999999993321 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.71340000000000003411 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.71450000000000013500 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.71560000000000023590 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.71670000000000033680 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.71780000000000043769 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.71890000000000053859 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.72000000000000063949 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.72109999999999985221 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.72219999999999995310 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.72330000000000005400 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.72440000000000015490 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.72550000000000025580 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.72660000000000035669 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.72770000000000045759 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.72880000000000055849 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.72990000000000065938 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.73099999999999987210 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.73209999999999997300 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.73320000000000007390 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.73430000000000017479 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.73540000000000027569 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.73650000000000037659 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.73760000000000047748 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.73870000000000057838 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.73980000000000067928 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.74089999999999989200 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.74199999999999999289 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.74310000000000009379 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.74420000000000019469 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.74530000000000029559 ,	 0.00002572619078954670 ,	 0.00014689253901347814 
5.74640000000000039648 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.74750000000000049738 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.74860000000000059828 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.74970000000000069917 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.75079999999999991189 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.75190000000000001279 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.75300000000000011369 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.75410000000000021458 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.75520000000000031548 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.75630000000000041638 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.75740000000000051728 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.75850000000000061817 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.75960000000000071907 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.76069999999999993179 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.76180000000000003268 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.76290000000000013358 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.76400000000000023448 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.76510000000000033538 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.76620000000000043627 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.76730000000000053717 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.76840000000000063807 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.76949999999999985079 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
5.77059999999999995168 ,	 0.00004056616979064337 ,	 0.00379478039787425805 
