0.00000000000000000000,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.39999999999999996669,	 0.00000000000000000000,	 0.50265482457436694297,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.59235798771866221557,	 0.19235798771866224888,	 1.10234711783818650765,	 -25.23440092085253283472,	 -22.89151984207998680176,	 574370.77957979729399085045,	 574632.79042013746220618486,	 0.00000000000000000000,	 0.00000000000000000000,	 154.57895608189022595980,	 0.00000000000000000000,	 0.00000000000000000000,	 7.72894780409451076508,	 0.04999999999999999584,	 0.02428493099405679492,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.59218068455889361079,	 0.19218068455889364410,	 1.10168731285386489738,	 -25.53840178104857727703,	 -23.18117081233571497023,	 573805.41377422283403575420,	 574074.09711433819029480219,	 0.00000000000000000000,	 0.00000000000000000000,	 156.58174213907713578919,	 0.00000000000000000000,	 0.00000000000000000000,	 7.82908710695385678946,	 0.05000000000000000278,	 0.02459589434105840383,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.59200130686400198599,	 0.19200130686400201929,	 1.10101998882412654979,	 -25.82825800726556764175,	 -23.45848237946140812937,	 573235.26310560724232345819,	 573510.41330338094849139452,	 0.00000000000000000000,	 0.00000000000000000000,	 158.50290941908633612911,	 0.00000000000000000000,	 0.00000000000000000000,	 7.92514547095431787227,	 0.05000000000000000971,	 0.02489390055047288261,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.59181995112663565717,	 0.19181995112663569047,	 1.10034551157264459675,	 -26.10387746842219058863,	 -23.72334616161954201630,	 572660.64267805346753448248,	 572942.04125460551586002111,	 0.00000000000000000000,	 0.00000000000000000000,	 160.34164523489204157158,	 0.00000000000000000000,	 0.00000000000000000000,	 8.01708226174460314439,	 0.05000000000000000971,	 0.02517882825586786541,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.59163671536714068644,	 0.19163671536714071975,	 1.09966425223849628701,	 -26.36517670058339390948,	 -23.97566043173083727424,	 572081.87092303088866174221,	 572369.28706959972623735666,	 0.00000000000000000000,	 0.00000000000000000000,	 162.09717760232456384983,	 0.00000000000000000000,	 0.00000000000000000000,	 8.10485888011622890303,	 0.05000000000000000278,	 0.02545056282002194220,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.59145169904459349297,	 0.19145169904459352628,	 1.09897658692496502653,	 -26.61208073072015523053,	 -24.21533001461217793349,	 571499.26928694674279540777,	 571792.46039080503396689892,	 0.00000000000000000000,	 0.00000000000000000000,	 163.76877471975220146305,	 0.00000000000000000000,	 0.00000000000000000000,	 8.18843873598761184951,	 0.05000000000000000971,	 0.02570899623973249559,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.59126500296519257649,	 0.19126500296519260980,	 1.09828289633949705006,	 -26.84452290586030898112,	 -24.44226619146241574754,	 570913.16191290051210671663,	 571211.87410118768457323313,	 0.00000000000000000000,	 0.00000000000000000000,	 165.35574450633478704731,	 0.00000000000000000000,	 0.00000000000000000000,	 8.26778722531673970764,	 0.05000000000000000278,	 0.02595402705911385374,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.59107672918820841623,	 0.19107672918820844954,	 1.09758356542562762748,	 -27.06244472699772529722,	 -24.65638661098509132330,	 570323.87531906063668429852,	 570627.84401941578835248947,	 0.00000000000000000000,	 0.00000000000000000000,	 166.85743419368552054038,	 0.00000000000000000000,	 0.00000000000000000000,	 8.34287170968427638229,	 0.05000000000000000278,	 0.02618556029060200088,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.59088698093015901147,	 0.19088698093015904478,	 1.09687898298943142805,	 -27.26579568223989724629,	 -24.85761520193391049816,	 569731.73809071932919323444,	 570040.68860748305451124907,	 0.00000000000000000000,	 0.00000000000000000000,	 168.27322993513038795754,	 0.00000000000000000000,	 0.00000000000000000000,	 8.41366149675651975315,	 0.05000000000000000278,	 0.02640350733808553146,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 1692568.75064326846040785313,	 0.59069586247044936211,	 0.19069586247044939542,	 1.09616954133256916393,	 -27.45453304789328186075,	 -25.04588205809651668687,	 569137.08066517533734440804,	 569450.72876920935232192278,	 0.00000000000000000000,	 0.00000000000000000000,	 169.60255623493199550467,	 0.00000000000000000000,	 0.00000000000000000000,	 8.48012781174660013050,	 0.05000000000000000278,	 0.02660778589126307561,	 0.00000000000000000000,	 0.00000000000000000000
