0.00000000000000000000,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.49999999999999994449,	 0.00000000000000000000,	 0.78539816339744827900,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.52275656848364082663,	 0.02275656848364088214,	 0.85851694136513279076,	 34.24804801514621743763,	 39.89210505349864632763,	 57251.15207706236105877906,	 58046.84209986204950837418,	 0.00000000000000000000,	 0.00000000000000000000,	 -305.24421850280032231240,	 0.00000000000000000000,	 0.00000000000000000000,	 -15.26221092514001753671,	 0.05000000000000000278,	 0.04876769396741830603,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.52268468994958339202,	 0.02268468994958344753,	 0.85828086706030892739,	 34.12765706389558317824,	 39.76280769346048060697,	 57077.39106019863538676873,	 57867.93149803219421301037,	 0.00000000000000000000,	 0.00000000000000000000,	 -304.29670857430994601600,	 0.00000000000000000000,	 0.00000000000000000000,	 -15.21483542871549765607,	 0.05000000000000000278,	 0.04861297148940739443,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.52261355785929475282,	 0.02261355785929480833,	 0.85804727629681376566,	 34.00835536518125223893,	 39.63459392582135620842,	 56905.54175443431449821219,	 57690.99227226668881485239,	 0.00000000000000000000,	 0.00000000000000000000,	 -303.35679838212183767610,	 0.00000000000000000000,	 0.00000000000000000000,	 -15.16783991910609330489,	 0.05000000000000000278,	 0.04845951821840064483,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.52254317111184067635,	 0.02254317111184073186,	 0.85781616445918285052,	 33.89017773619434592547,	 39.50750655014840617696,	 56735.57949813732557231560,	 57516.00103504233265994117,	 0.00000000000000000000,	 0.00000000000000000000,	 -302.42482332004334466546,	 0.00000000000000000000,	 0.00000000000000000000,	 -15.12124116600216972017,	 0.05000000000000000971,	 0.04830738711675135189,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.52247352705192839917,	 0.02247352705192845468,	 0.85758752184173603350,	 33.77315482935647850127,	 39.38158376748066302753,	 56567.47594534967356594279,	 57342.93051536722487071529,	 0.00000000000000000000,	 0.00000000000000000000,	 -301.50108457890570434756,	 0.00000000000000000000,	 0.00000000000000000000,	 -15.07505422894528734901,	 0.05000000000000000971,	 0.04815662560352070715,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.52240462149440380912,	 0.02240462149440386463,	 0.85736133373229983512,	 33.65731312428904686840,	 39.25685915618642951586,	 56401.19918734003294957802,	 57171.74968274436105275527,	 0.00000000000000000000,	 0.00000000000000000000,	 -300.58584890682834611653,	 0.00000000000000000000,	 0.00000000000000000000,	 -15.02929244534141872691,	 0.05000000000000000278,	 0.04800727552054873115,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.52233644875298423926,	 0.02233644875298429477,	 0.85713758050965804802,	 33.54267493320188009420,	 39.13336166319675868408,	 56236.71388859851140296087,	 57002.42388612979266326874,	 0.00000000000000000000,	 0.00000000000000000000,	 -299.67934848600344821534,	 0.00000000000000000000,	 0.00000000000000000000,	 -14.98396742430017525294,	 0.05000000000000000971,	 0.04785937311723378190,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.52226900167508616413,	 0.02226900167508621964,	 0.85691623776082781472,	 33.42925844051279682390,	 39.01111563466856324567,	 56073.98149943922908278182,	 56834.91507096996792824939,	 0.00000000000000000000,	 0.00000000000000000000,	 -298.78178110933072275657,	 0.00000000000000000000,	 0.00000000000000000000,	 -14.93908905546653542729,	 0.04999999999999999584,	 0.04771294908336830287,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.52220227169569022330,	 0.02220227169569027881,	 0.85669727646060778170,	 33.31707789047995760257,	 38.89014101705496528893,	 55912.96084603569761384279,	 56669.18238019890850409865,	 0.00000000000000000000,	 0.00000000000000000000,	 -297.89331165313598148714,	 0.00000000000000000000,	 0.00000000000000000000,	 -14.89466558265679907436,	 0.05000000000000000278,	 0.04756802878967289483,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.52213624895740251564,	 0.02213624895740257115,	 0.85648066336806605303,	 33.20614426982741917982,	 38.77045412706221583221,	 55753.60988688761426601559,	 56505.18394349692971445620,	 0.00000000000000000000,	 0.00000000000000000000,	 -297.01407787318919417885,	 0.00000000000000000000,	 0.00000000000000000000,	 -14.85070389365945864313,	 0.04999999999999999584,	 0.04742463322142155546,	 0.00000000000000000000,	 0.00000000000000000000
5.71119999999999983231,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.52207092260601883904,	 0.02207092260601889455,	 0.85626636199833872087,	 33.09646715691762608458,	 38.65206975978561132479,	 55595.88990245485911145806,	 56342.88115081252908566967,	 0.00000000000000000000,	 0.00000000000000000000,	 -296.14420636067046643802,	 0.00000000000000000000,	 0.00000000000000000000,	 -14.80721031803352261136,	 0.04999999999999999584,	 0.04728278154163790409,	 0.00000000000000000000,	 0.00000000000000000000
