0.00000000000000000000,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.39999999999999996669,	 0.00000000000000000000,	 0.50265482457436694297,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.40725324906993998209,	 0.00725324906994001539,	 0.52104950577079645058,	 14.31811565188604618015,	 27.47937670664333609238,	 28069.79322575516562210396,	 28447.35129784797027241439,	 0.00000000000000000000,	 0.00000000000000000000,	 -269.89964371701438494711,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.49498218585071995790,	 0.05000000000000000278,	 0.03044805819483539788,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.40721127557375003114,	 0.00721127557375006445,	 0.52094210752428937727,	 14.23279062224795588065,	 27.32125204830814979573,	 27913.25271324896675650962,	 28286.47811999255645787343,	 0.00000000000000000000,	 0.00000000000000000000,	 -268.37421935149723140057,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.41871096757486370166,	 0.05000000000000000971,	 0.03027441099792487975,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.40716981475139202296,	 0.00716981475139205626,	 0.52083603193197114400,	 14.14855623911473436749,	 27.16508722837890132951,	 27758.75400556798922480084,	 28127.72498763070689165033,	 0.00000000000000000000,	 0.00000000000000000000,	 -266.86739777078264523880,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.34336988853913297248,	 0.05000000000000000278,	 0.03010289881982672680,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.40712886560410654901,	 0.00712886560410658232,	 0.52073127603828528454,	 14.06541060496844330885,	 27.01088114387491501134,	 27606.27493341367153334431,	 27971.06878349793987581506,	 0.00000000000000000000,	 0.00000000000000000000,	 -265.37918016493955519763,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.26895900824697882570,	 0.05000000000000000278,	 0.02993352112075639559,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.40708842632897401792,	 0.00708842632897405123,	 0.52062783483675389995,	 13.98335007111795746937,	 26.85862939983323016691,	 27455.79042063705855980515,	 27816.48340725585148902610,	 0.00000000000000000000,	 0.00000000000000000000,	 -263.90953574424031558010,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.19547678721201755536,	 0.05000000000000000971,	 0.02976627373311235142,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.40704849433429785011,	 0.00704849433429788341,	 0.52052570131029840539,	 13.90236927119819121401,	 26.70832436554490385561,	 27307.27259180698820273392,	 27663.93988701456692069769,	 0.00000000000000000000,	 0.00000000000000000000,	 -262.45840225228874942331,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.12292011261443747117,	 0.05000000000000000278,	 0.02960114892157226368,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.40700906625698785035,	 0.00700906625698788366,	 0.52042486647661301280,	 13.82246115875599024037,	 26.55995523875903785438,	 27160.69088622958588530309,	 27513.40649737202693358995,	 0.00000000000000000000,	 0.00000000000000000000,	 -261.02568655793947982602,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.05128432789697434657,	 0.05000000000000000278,	 0.02943813545204846879,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.40697013798190639911,	 0.00697013798190643241,	 0.52032531943849524847,	 13.74361704936692696322,	 26.41350811872510462308,	 27016.01218068146408768371,	 27364.84888625044186483137,	 0.00000000000000000000,	 0.00000000000000000000,	 -259.61126533465142074419,	 0.00000000000000000000,	 0.00000000000000000000,	 -12.98056326673257387938,	 0.05000000000000000971,	 0.02927721867047251847,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.40693170466365935489,	 0.00693170466365938820,	 0.52022704744036385449,	 13.66582667234490777730,	 26.26896609775270974296,	 26873.20094787915149936453,	 27218.23023780159201123752,	 0.00000000000000000000,	 0.00000000000000000000,	 -258.21498592216852330239,	 0.00000000000000000000,	 0.00000000000000000000,	 -12.91074929610842580985,	 0.04999999999999999584,	 0.02911838060212385351,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2256758.33419102430343627930,	 0.40689376075433802971,	 0.00689376075433806301,	 0.52013003593992501727,	 13.58907825911594002832,	 26.12630942291030677893,	 26732.21958395309775369242,	 27073.51160598392380052246,	 0.00000000000000000000,	 0.00000000000000000000,	 -256.83666787590834701405,	 0.00000000000000000000,	 0.00000000000000000000,	 -12.84183339379541877179,	 0.05000000000000000278,	 0.02896160012860829469,	 0.00000000000000000000,	 0.00000000000000000000
