0.00000000000000000000,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.49999999999999994449,	 0.00000000000000000000,	 0.78539816339744827900,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.53448629812438297471,	 0.03448629812438303022,	 0.89747637532614710221,	 38.50684934571728490482,	 42.90569691232676063919,	 109439.67474764421058353037,	 110360.12416141043649986386,	 0.00000000000000000000,	 0.00000000000000000000,	 -321.09857306270521348779,	 0.00000000000000000000,	 0.00000000000000000000,	 -16.05492865313525996385,	 0.04999999999999999584,	 0.04639665608709223066,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.53441878748845139668,	 0.03441878748845145219,	 0.89724967026541047055,	 38.38552182625800668347,	 42.78131616911421986060,	 109219.54668278164172079414,	 110134.66718936250254046172,	 0.00000000000000000000,	 0.00000000000000000000,	 -320.20817509181381410599,	 0.00000000000000000000,	 0.00000000000000000000,	 -16.01040875459069212638,	 0.05000000000000000278,	 0.04626507723592988841,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.53435097020956423552,	 0.03435097020956429104,	 0.89702196431008240918,	 38.26463087737215573725,	 42.65740684153954731528,	 108998.08093906658177729696,	 109907.90811828889127355069,	 0.00000000000000000000,	 0.00000000000000000000,	 -319.32126426052877832262,	 0.00000000000000000000,	 0.00000000000000000000,	 -15.96606321302643927140,	 0.05000000000000000278,	 0.04613400501988090124,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.53428282083997535867,	 0.03428282083997541418,	 0.89679317242411671351,	 38.14411296688474095617,	 42.53390206325678946087,	 108775.21163476073706988245,	 109679.77804712409852072597,	 0.00000000000000000000,	 0.00000000000000000000,	 -318.43735493038622053064,	 0.00000000000000000000,	 0.00000000000000000000,	 -15.92186774651931280289,	 0.05000000000000000278,	 0.04600336819851412462,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.53421431513185935192,	 0.03421431513185940743,	 0.89656321364464808266,	 38.02390366003429988950,	 42.41073365642797199371,	 108550.87780127965379506350,	 109450.21296591788996011019,	 0.00000000000000000000,	 0.00000000000000000000,	 -317.55595052491094065772,	 0.00000000000000000000,	 0.00000000000000000000,	 -15.87779752624554774343,	 0.05000000000000000278,	 0.04587309403180592215,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.53414543010757609132,	 0.03414543010757614683,	 0.89633201131575901410,	 37.90393796654794300593,	 42.28783250852253416951,	 108325.02345130615867674351,	 109219.15384044058737345040,	 0.00000000000000000000,	 0.00000000000000000000,	 -316.67654631066170622944,	 0.00000000000000000000,	 0.00000000000000000000,	 -15.83382731553308708783,	 0.05000000000000000278,	 0.04574310868481079595,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.53407614412601156495,	 0.03407614412601162046,	 0.89609949330889959729,	 37.78415071215715670405,	 42.16512897762834199966,	 108097.59774527628906071186,	 108986.54679612630570773035,	 0.00000000000000000000,	 0.00000000000000000000,	 -315.79863239635562877083,	 0.00000000000000000000,	 0.00000000000000000000,	 -15.78993161981778214908,	 0.05000000000000000278,	 0.04561333766350407493,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.53400643694681237950,	 0.03400643694681243501,	 0.89586559223604589342,	 37.66447694108185828554,	 42.04255333333293975784,	 107868.55527784564765170217,	 108752.34342323872260749340,	 0.00000000000000000000,	 0.00000000000000000000,	 -314.92169700209370830635,	 0.00000000000000000000,	 0.00000000000000000000,	 -15.74608485010468683640,	 0.05000000000000000278,	 0.04548370628937192101,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.53393628981823360036,	 0.03393628981823365587,	 0.89563024574188754290,	 37.54485259017525322633,	 41.92003649795826447644,	 107637.85701934350072406232,	 108516.50174933858215808868,	 0.00000000000000000000,	 0.00000000000000000000,	 -314.04523196749926228222,	 0.00000000000000000000,	 0.00000000000000000000,	 -15.70226159837496382465,	 0.05000000000000000278,	 0.04535414049815238852,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.53386568567580827693,	 0.03386568567580833244,	 0.89539339716748833631,	 37.42521607248874460083,	 41.79751178742291983781,	 107405.47304640388756524771,	 108278.98904221376869827509,	 0.00000000000000000000,	 0.00000000000000000000,	 -313.16874568937623735110,	 0.00000000000000000000,	 0.00000000000000000000,	 -15.65843728446881222283,	 0.05000000000000000278,	 0.04522456871581971571,	 0.00000000000000000000,	 0.00000000000000000000
