0.00000000000000000000,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.39999999999999996669,	 0.00000000000000000000,	 0.50265482457436694297,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.40551347972513501761,	 0.00551347972513505091,	 0.51660721006899512631,	 12.25484932831835038769,	 23.72179305565956397572,	 26880.98982628488010959700,	 27162.35155917265001335181,	 0.00000000000000000000,	 0.00000000000000000000,	 -233.99264627887251322136,	 0.00000000000000000000,	 0.00000000000000000000,	 -11.69963231394362601634,	 0.05000000000000000278,	 0.02355997693456757941,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.40548301902277439357,	 0.00548301902277442688,	 0.51652960166273398368,	 12.18613388711207612403,	 23.59232432736539664120,	 26735.05315736538250348531,	 27013.35204094917935435660,	 0.00000000000000000000,	 0.00000000000000000000,	 -232.73304400488655119261,	 0.00000000000000000000,	 0.00000000000000000000,	 -11.63665220024432933599,	 0.05000000000000000971,	 0.02343227145596065916,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.40545283587952130055,	 0.00545283587952133386,	 0.51645270617773675337,	 12.11807918916230519812,	 23.46406368716340651304,	 26590.14744680462536052801,	 26865.42858916225668508559,	 0.00000000000000000000,	 0.00000000000000000000,	 -231.48501241841756836948,	 0.00000000000000000000,	 0.00000000000000000000,	 -11.57425062092088019483,	 0.05000000000000000971,	 0.02330574837676225100,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.40542291435826932622,	 0.00542291435826935952,	 0.51637648285874282461,	 12.05064681036429696803,	 23.33693963685175631895,	 26446.19474042482397635467,	 26718.50111623185512144119,	 0.00000000000000000000,	 0.00000000000000000000,	 -230.24786029956931088236,	 0.00000000000000000000,	 0.00000000000000000000,	 -11.51239301497846589939,	 0.05000000000000000278,	 0.02318033739470874363,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.40539323863132792347,	 0.00539323863132795678,	 0.51630089124252176447,	 11.98379857465833175922,	 23.21088105391084255302,	 26303.11873665236271335743,	 26572.49123630176109145395,	 0.00000000000000000000,	 0.00000000000000000000,	 -229.02089963093092706004,	 0.00000000000000000000,	 0.00000000000000000000,	 -11.45104498154654670827,	 0.05000000000000000278,	 0.02305596855522055663,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.40536379302879343989,	 0.00536379302879347319,	 0.51622589128071572073,	 11.91749667080415342468,	 23.08581741461627245826,	 26160.84499515501011046581,	 26427.32247800550976535305,	 0.00000000000000000000,	 0.00000000000000000000,	 -227.80344778327511789939,	 0.00000000000000000000,	 0.00000000000000000000,	 -11.39017238916375696078,	 0.05000000000000000278,	 0.02293257247223861109,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.40533456208530393994,	 0.00533456208530397324,	 0.51615144345853369856,	 11.85170376489749877180,	 22.96167900933059158319,	 26019.30113282830643584020,	 26282.92048429207352455705,	 0.00000000000000000000,	 0.00000000000000000000,	 -226.59482962618153578660,	 0.00000000000000000000,	 0.00000000000000000000,	 -11.32974148130907821042,	 0.05000000000000000971,	 0.02281008054139734009,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.40530553058511797904,	 0.00530553058511801234,	 0.51607750890914461106,	 11.78638310958333335066,	 22.83839715180907958825,	 25878.41701507700054207817,	 26139.21320730887964600697,	 0.00000000000000000000,	 0.00000000000000000000,	 -225.39437958163071584750,	 0.00000000000000000000,	 0.00000000000000000000,	 -11.26971897908153685819,	 0.05000000000000000278,	 0.02268842514735408197,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.40527668360675556114,	 0.00527668360675559445,	 0.51600404952692402460,	 11.72149866162183151630,	 22.71590440495220875050,	 25738.12500823934533400461,	 25996.13116470681052305736,	 0.00000000000000000000,	 0.00000000000000000000,	 -224.20144384120257541326,	 0.00000000000000000000,	 0.00000000000000000000,	 -11.21007219206012983648,	 0.05000000000000000278,	 0.02256753988752212281,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.40524800657528420311,	 0.00524800657528423642,	 0.51593102810013968806,	 11.65701526900181583812,	 22.59413494072553874048,	 25598.36059987902626744471,	 25853.60806673888509976678,	 0.00000000000000000000,	 0.00000000000000000000,	 -223.01538390445512050064,	 0.00000000000000000000,	 0.00000000000000000000,	 -11.15076919522275744612,	 0.05000000000000000971,	 0.02244735992894257917,	 0.00000000000000000000,	 0.00000000000000000000
