0.00000000000000000000,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.39999999999999996669,	 0.00000000000000000000,	 0.50265482457436694297,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.56782057401416319298,	 0.16782057401416322628,	 1.01291294511540841405,	 -3.78930778959373215642,	 -3.74100045602832054215,	 838555.75425839214585721493,	 838562.75180059811100363731,	 0.00000000000000000000,	 0.00000000000000000000,	 26.35339843064585707566,	 0.00000000000000000000,	 0.00000000000000000000,	 1.31766992153229289819,	 0.05000000000000000278,	 0.00313987381190617646,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.56778677393349530345,	 0.16778677393349533675,	 1.01279235941689971234,	 -3.67887139653528860705,	 -3.63240437423258688554,	 838397.62961452477611601353,	 838404.22679529373999685049,	 0.00000000000000000000,	 0.00000000000000000000,	 25.58991889908339700810,	 0.00000000000000000000,	 0.00000000000000000000,	 1.27949594495417007245,	 0.05000000000000000971,	 0.00304881835053004945,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.56775364710012732328,	 0.16775364710012735658,	 1.01267418257118135827,	 -3.56956842635928461860,	 -3.52489328531724277482,	 838242.63614888431038707495,	 838248.84858522075228393078,	 0.00000000000000000000,	 0.00000000000000000000,	 24.83396313398302623909,	 0.00000000000000000000,	 0.00000000000000000000,	 1.24169815669915140077,	 0.05000000000000000278,	 0.00295866642085235295,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.56772117855037118606,	 0.16772117855037121936,	 1.01255836078092698038,	 -3.46152697299535683229,	 -3.41859502332851583617,	 838090.69431212637573480606,	 838096.53770809317938983440,	 0.00000000000000000000,	 0.00000000000000000000,	 24.08643645852785297734,	 0.00000000000000000000,	 0.00000000000000000000,	 1.20432182292639256005,	 0.04999999999999999584,	 0.00286952560202626255,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.56768935306872769786,	 0.16768935306872773117,	 1.01244483937113005645,	 -3.35487393104132269883,	 -3.31363626005064038083,	 837941.72439093864522874355,	 837947.21448357065673917532,	 0.00000000000000000000,	 0.00000000000000000000,	 23.34823608819362661393,	 0.00000000000000000000,	 0.00000000000000000000,	 1.16741180440968150833,	 0.05000000000000000971,	 0.00278150250242672516,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.56765815525299301303,	 0.16765815525299304634,	 1.01233356302095400814,	 -3.24973469205272458282,	 -3.21014220091155788595,	 837795.64674637455027550459,	 837800.79925284953787922859,	 0.00000000000000000000,	 0.00000000000000000000,	 22.62024897347500385081,	 0.00000000000000000000,	 0.00000000000000000000,	 1.13101244867375028136,	 0.05000000000000000278,	 0.00269470250352202073,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.56762756957445859030,	 0.16762756957445862360,	 1.01222447597800790930,	 -3.14623283595628322473,	 -3.10823627626313170325,	 837652.38203850167337805033,	 837657.21260487625841051340,	 0.00000000000000000000,	 0.00000000000000000000,	 21.90334961068453267785,	 0.00000000000000000000,	 0.00000000000000000000,	 1.09516748053422685594,	 0.05000000000000000971,	 0.00260922949990229211,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.56759758043360764024,	 0.16759758043360767354,	 1.01211752225649664894,	 -3.04448981493206938254,	 -3.00803982539936409779,	 837511.85144121444318443537,	 837516.37559300998691469431,	 0.00000000000000000000,	 0.00000000000000000000,	 21.19839780219934866068,	 0.00000000000000000000,	 0.00000000000000000000,	 1.05991989010996734422,	 0.04999999999999999584,	 0.00252518563324904879,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.56756817221473010449,	 0.16756817221473013779,	 1.01201264583146177678,	 -2.94462458851467800969,	 -2.90967173250626442993,	 837373.97697016189340502024,	 837378.21006495738402009010,	 0.00000000000000000000,	 0.00000000000000000000,	 20.50623607840672590896,	 0.00000000000000000000,	 0.00000000000000000000,	 1.02531180392033638427,	 0.05000000000000000278,	 0.00244267098597908145,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 2820947.91773878084495663643,	 0.56753932935991424635,	 0.16753932935991427966,	 1.01190979090206978341,	 -2.84675299452013730317,	 -2.81324780144917019342,	 837238.68249412835575640202,	 837242.63967572455294430256,	 0.00000000000000000000,	 0.00000000000000000000,	 19.82768527863628094110,	 0.00000000000000000000,	 0.00000000000000000000,	 0.99138426393181411367,	 0.05000000000000000278,	 0.00236178305561602318,	 0.00000000000000000000,	 0.00000000000000000000
