0.00000000000000000000,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.49999999999999994449,	 0.00000000000000000000,	 0.78539816339744827900,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50869143386154525022,	 0.00869143386154530573,	 0.81294042728758986183,	 8.67737886023981452865,	 10.67406487483007460071,	 184129.42966550320852547884,	 184186.39749597923946566880,	 0.00000000000000000000,	 0.00000000000000000000,	 -83.93351383019609102121,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.19667569150980490633,	 0.05000000000000000278,	 0.00458235006862939623,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50868068461180970807,	 0.00868068461180976358,	 0.81290607087124788777,	 8.68322422748549804794,	 10.68170670466156479961,	 183913.23349710711045190692,	 183970.28292616931139491498,	 0.00000000000000000000,	 0.00000000000000000000,	 -83.99537885196575359714,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.19976894259828803513,	 0.05000000000000000278,	 0.00458567913823406271,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50867004702870832755,	 0.00867004702870838306,	 0.81287207207504097450,	 8.68963770927557277446,	 10.69004337557482386956,	 183699.70250887476140633225,	 183756.84102256060577929020,	 0.00000000000000000000,	 0.00000000000000000000,	 -84.06269201828192194625,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.20313460091409663022,	 0.05000000000000000971,	 0.00458930607485102948,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50865952336240538578,	 0.00865952336240544129,	 0.81283843806810718302,	 8.69658450880099032076,	 10.69903206038136289635,	 183488.85905045358231291175,	 183546.09369396811234764755,	 0.00000000000000000000,	 0.00000000000000000000,	 -84.13511646971453217247,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.20675582348572696390,	 0.05000000000000000278,	 0.00459321249027112941,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50864911564917958398,	 0.00864911564917963949,	 0.81280517533566765120,	 8.70402995025621351033,	 10.70863008058686816071,	 183280.72124658353277482092,	 183338.05862568496377207339,	 0.00000000000000000000,	 0.00000000000000000000,	 -84.21231651544023577571,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.21061582577201232169,	 0.05000000000000000971,	 0.00459738006010236826,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50863882571459895221,	 0.00863882571459900772,	 0.81277228968925641084,	 8.71193953813292587540,	 10.71879497942003212074,	 183075.30314970033941790462,	 183132.74943260574946179986,	 0.00000000000000000000,	 0.00000000000000000000,	 -84.29395820785752846405,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.21469791039287677847,	 0.05000000000000000278,	 0.00460179055513098949,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50862865517777944291,	 0.00862865517777949842,	 0.81273978628041254613,	 8.72027902961736245402,	 10.72948461096831351824,	 182872.61498354410286992788,	 182930.17590355261927470565,	 0.00000000000000000000,	 0.00000000000000000000,	 -84.37971004380842998671,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.21898550219042167697,	 0.05000000000000000278,	 0.00460642587959593595,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50861860545690074087,	 0.00861860545690079638,	 0.81270766961838691866,	 8.72901451508446513117,	 10.74065723925460247301,	 182672.66339815483661368489,	 182730.34425712042138911784,	 0.00000000000000000000,	 0.00000000000000000000,	 -84.46924374389401179997,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.22346218719470023473,	 0.04999999999999999584,	 0.00461126811372886657,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50860867777561902248,	 0.00860867777561907799,	 0.81267594359070982613,	 8.73811249774399634305,	 10.75227163626341564395,	 182475.45168559160083532333,	 182533.25735826158779673278,	 0.00000000000000000000,	 0.00000000000000000000,	 -84.56223502350034948449,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.22811175117501747422,	 0.05000000000000000278,	 0.00461629955584241369,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50859887316986651662,	 0.00859887316986657213,	 0.81264461148499012033,	 8.74753996618515117234,	 10.76428717123994793781,	 182280.97994930553250014782,	 182338.91488845800631679595,	 0.00000000000000000000,	 0.00000000000000000000,	 -84.65836429523344008885,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.23291821476167218208,	 0.05000000000000000278,	 0.00462150276067280815,	 0.00000000000000000000,	 0.00000000000000000000
5.71119999999999983231,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50858919249487466452,	 0.00858919249487472003,	 0.81261367601142575623,	 8.75726446312990702836,	 10.77666389533761126529,	 182089.24528798877145163715,	 182147.31353034530184231699,	 0.00000000000000000000,	 0.00000000000000000000,	 -84.75731733482491847553,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.23786586674124610141,	 0.05000000000000000278,	 0.00462686057572690886,	 0.00000000000000000000,	 0.00000000000000000000
5.71229999999999993321,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50857963643198400572,	 0.00857963643198406123,	 0.81258313932462611362,	 8.76725413668392050681,	 10.78936260475546404791,	 181900.24183037370676174760,	 181958.44700308216852135956,	 0.00000000000000000000,	 0.00000000000000000000,	 -84.85878577797443256259,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.24293928889872162813,	 0.05000000000000000278,	 0.00463235616839710335,	 0.00000000000000000000,	 0.00000000000000000000
5.71340000000000003411,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50857020549408060717,	 0.00857020549408066268,	 0.81255300304104205456,	 8.77747776797632361934,	 10.80234487488931627297,	 181713.96070046644308604300,	 181772.30602786445524543524,	 0.00000000000000000000,	 0.00000000000000000000,	 -84.96246738949041343858,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.24812336947452084956,	 0.05000000000000000278,	 0.00463797304063864879,	 0.00000000000000000000,	 0.00000000000000000000
5.71450000000000013500,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50856090003038423308,	 0.00856090003038428859,	 0.81252326825432075186,	 8.78790479922228406906,	 10.81557309503616437496,	 181530.39009374572196975350,	 181588.87840443276218138635,	 0.00000000000000000000,	 0.00000000000000000000,	 -85.06806633691252272911,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.25340331684562666936,	 0.05000000000000000971,	 0.00464369504388812727,	 0.00000000000000000000,	 0.00000000000000000000
5.71560000000000023590,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50855172023119443736,	 0.00855172023119449287,	 0.81249393555052284999,	 8.79850535746081696686,	 10.82901049778199187301,	 181349.51537670849938876927,	 181408.14911088903318159282,	 0.00000000000000000000,	 0.00000000000000000000,	 -85.17529342234043099324,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.25876467111702172730,	 0.05000000000000000278,	 0.00464950639169982045,	 0.00000000000000000000,	 0.00000000000000000000
5.71670000000000033680,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50854266613251786211,	 0.00854266613251791762,	 0.81246500502295437851,	 8.80925027499432644618,	 10.84262118433696819864,	 181171.31916241871658712626,	 181230.10037949224351905286,	 0.00000000000000000000,	 0.00000000000000000000,	 -85.28386628241382538818,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.26419331412069180232,	 0.05000000000000000971,	 0.00465539167064281476,	 0.00000000000000000000,	 0.00000000000000000000
5.71780000000000043769,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50853373762048381668,	 0.00853373762048387219,	 0.81243647628632198465,	 8.82011110770126549596,	 10.85637014726163940281,	 180995.78138077523908577859,	 181054.71176716242916882038,	 0.00000000000000000000,	 0.00000000000000000000,	 -85.39350956780528179024,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.26967547839026373424,	 0.04999999999999999584,	 0.00466133585007883888,	 0.00000000000000000000,	 0.00000000000000000000
