0.00000000000000000000,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.49999999999999994449,	 0.00000000000000000000,	 0.78539816339744827900,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50111728218458839734,	 0.00111728218458845285,	 0.78891213061184584099,	 0.47331739099523445491,	 0.59996211571515589700,	 23835.35327122065427829511,	 23835.53324849079945124686,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.78899560677420499388,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.23944978033871025525,	 0.05000000000000000278,	 0.00025950144221017400,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50110976782865723766,	 0.00110976782865729318,	 0.78888847099238523786,	 0.46526615373181878788,	 0.58977431010816450119,	 23675.04701135530558531173,	 23675.22092822373815579340,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.70774547192481840341,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.23538727359624092572,	 0.05000000000000000278,	 0.00025509682618823698,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50110235880280185050,	 0.00110235880280190601,	 0.78886514336141577708,	 0.45501426019523644184,	 0.57679600122320684452,	 23516.98779310631289263256,	 23517.15413991982495645061,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.60421701148042394891,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.23021085057402121410,	 0.05000000000000000278,	 0.00024948512422708503,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50109506381743706971,	 0.00109506381743712522,	 0.78884217512873433531,	 0.44213935202214316167,	 0.56049152284484360376,	 23361.36143865701524191536,	 23361.51851403060572920367,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.47413325986421117619,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.22370666299321059767,	 0.05000000000000000971,	 0.00024243461252302406,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50108787330393511628,	 0.00108787330393517179,	 0.78881953615252431433,	 0.42629702632684135510,	 0.54042402195831718004,	 23207.96381728339110850357,	 23208.10984634514534263872,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.31400599176362575804,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.21570029958818129345,	 0.05000000000000000278,	 0.00023375630684111250,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50108075409326890970,	 0.00108075409326896521,	 0.78879712198981299931,	 0.40741734068348645081,	 0.51650459836331408248,	 23056.08732307024183683097,	 23056.22071157030586618930,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.12312461928780660259,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.20615623096439034123,	 0.05000000000000000278,	 0.00022341172887150503,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50107369237892929181,	 0.00107369237892934732,	 0.78877488916346250036,	 0.38586291598611283105,	 0.48919269779916657592,	 22905.43741715828946325928,	 22905.55707190607790835202,	 0.00000000000000000000,	 0.00000000000000000000,	 -3.90515571054344734492,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.19525778552717237835,	 0.05000000000000000278,	 0.00021159958079951146,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50106670358426896872,	 0.00106670358426902423,	 0.78875288622308226127,	 0.36232670943537198527,	 0.45936657191881952178,	 22756.34313107286652666517,	 22756.44863989656369085424,	 0.00000000000000000000,	 0.00000000000000000000,	 -3.66710913842682462160,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.18335545692134125328,	 0.05000000000000000278,	 0.00019869971968781180,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50105981585027392633,	 0.00105981585027398184,	 0.78873120175396915776,	 0.33753579133986594263,	 0.42794781110378121713,	 22609.40480584281976916827,	 22609.49637550733314128593,	 0.00000000000000000000,	 0.00000000000000000000,	 -3.41634110392648304710,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.17081705519632414680,	 0.04999999999999999584,	 0.00018511075848806963,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50105306101337521163,	 0.00105306101337526714,	 0.78870993597074645631,	 0.31215597014499762984,	 0.39578044590093208743,	 22465.30161867169590550475,	 22465.37993975237623089924,	 0.00000000000000000000,	 0.00000000000000000000,	 -3.15958908703577057153,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.15797945435178853413,	 0.05000000000000000278,	 0.00017119777335895502,	 0.00000000000000000000,	 0.00000000000000000000
5.71119999999999983231,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50104646473886904623,	 0.00104646473886910174,	 0.78868916965514868078,	 0.28668348127595277841,	 0.36349361992799272825,	 22324.58109587309445487335,	 22324.64715967895972426049,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.90187553856854441037,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.14509377692842723162,	 0.05000000000000000278,	 0.00015723290180007254,	 0.00000000000000000000,	 0.00000000000000000000
5.71229999999999993321,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50104011428125339034,	 0.00104011428125344585,	 0.78866917747575537856,	 0.26210265268338495126,	 0.33233535704068045691,	 22189.10466674002600484528,	 22189.15989013479702407494,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.65316366947918780284,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.13265818347395938459,	 0.04999999999999999584,	 0.00014375598591208688,	 0.00000000000000000000,	 0.00000000000000000000
5.71340000000000003411,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50103409002065790734,	 0.00103409002065796285,	 0.78865021244700594938,	 0.23940847483196869838,	 0.30356737505863029547,	 22060.58710737030924065039,	 22060.63318394590896787122,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.42352671089597127008,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.12117633554479856350,	 0.05000000000000000278,	 0.00013131281015055883,	 0.00000000000000000000,	 0.00000000000000000000
5.71450000000000013500,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50102843055092161073,	 0.00102843055092166624,	 0.78863239602736190381,	 0.21942278949522012188,	 0.27823202622734655165,	 21939.85175299467664444819,	 21939.89045952488595503382,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.22128733031303449152,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.11106436651565174123,	 0.05000000000000000971,	 0.00012035428898407565,	 0.00000000000000000000,	 0.00000000000000000000
5.71560000000000023590,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50102312836657270090,	 0.00102312836657275641,	 0.78861570455052387718,	 0.20281111927906028680,	 0.25717357403458462883,	 21826.73848688376892823726,	 21826.77155600735932239331,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.05318724405412300626,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.10265936220270616142,	 0.05000000000000000278,	 0.00011124566371980436,	 0.00000000000000000000,	 0.00000000000000000000
5.71670000000000033680,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50101813515099935525,	 0.00101813515099941077,	 0.78859998588057589330,	 0.19003397521056275554,	 0.24097638677784752326,	 21720.21655465259755146690,	 21720.24558946209072018974,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.92389352696960469480,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.09619467634848023752,	 0.05000000000000000278,	 0.00010423976013945845,	 0.00000000000000000000,	 0.00000000000000000000
5.71780000000000043769,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50101336507182525626,	 0.00101336507182531177,	 0.78858496979154280027,	 0.18121546833419543976,	 0.22979827827824128583,	 21618.45486560473000281490,	 21618.48126922907977132127,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.83466784959157647172,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.09173339247957883191,	 0.05000000000000000278,	 0.00009940489091124377,	 0.00000000000000000000,	 0.00000000000000000000
5.71890000000000053859,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50100871336340591089,	 0.00100871336340596640,	 0.78857032646835101275,	 0.17621510541755852630,	 0.22346149671487905430,	 21519.21841932703318889253,	 21519.24338684729082160629,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.78409269742813103576,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.08920463487140654901,	 0.04999999999999999584,	 0.00009666420911039670,	 0.00000000000000000000,	 0.00000000000000000000
5.72000000000000063949,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50100407114048206569,	 0.00100407114048212120,	 0.78855571314052153031,	 0.17475751471155287486,	 0.22161720700184805999,	 21420.18433028613799251616,	 21420.20888737935820245184,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.76938448022875483012,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.08846922401143775261,	 0.05000000000000000971,	 0.00009586685672156447,	 0.00000000000000000000,	 0.00000000000000000000
5.72109999999999985221,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50099935715116250545,	 0.00099935715116256096,	 0.78854087403666628386,	 0.17648269339811231693,	 0.22380918885620895709,	 21319.61922479973873123527,	 21319.64427007624544785358,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.78690200425691014807,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.08934510021284551573,	 0.05000000000000000278,	 0.00009681551659336832,	 0.00000000000000000000,	 0.00000000000000000000
5.72219999999999995310,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50099448089179632326,	 0.00099448089179637877,	 0.78852552427201993979,	 0.18081330514864535353,	 0.22930558312056575909,	 21215.59235832309059333056,	 21215.61864884831447852775,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.83080326723272324152,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.09154016336163617318,	 0.05000000000000000278,	 0.00009919363293561196,	 0.00000000000000000000,	 0.00000000000000000000
5.72330000000000005400,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50098937158195455677,	 0.00098937158195461228,	 0.78850944105820519603,	 0.18694325594330368778,	 0.23708435969063323956,	 21106.59374836302959010936,	 21106.62185285983287030831,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.89292925669861022975,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.09464646283493051426,	 0.05000000000000000278,	 0.00010255912023271051,	 0.00000000000000000000,	 0.00000000000000000000
5.72440000000000015490,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50098394878642182881,	 0.00098394878642188432,	 0.78849237122568860414,	 0.19392998055506202593,	 0.24595035745698271001,	 20990.90744366641592932865,	 20990.93768945558258565143,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.96373842357840189266,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.09818692117892009741,	 0.05000000000000000278,	 0.00010639499304233900,	 0.00000000000000000000,	 0.00000000000000000000
5.72550000000000025580,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 12036044.44901880063116550446,	 0.50097813600598795070,	 0.00097813600598800621,	 0.78847407400698810154,	 0.20059515429943619580,	 0.25440932164074980815,	 20866.90146107602049596608,	 20866.93382312748872209340,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.03130079623042858472,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.10156503981152142924,	 0.05000000000000000278,	 0.00011005487171363852,	 0.00000000000000000000,	 0.00000000000000000000
