0.00000000000000000000,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 24072088.89803760126233100891,	 0.49999999999999994449,	 0.00000000000000000000,	 0.78539816339744827900,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 24072088.89803760126233100891,	 0.50844857724071212957,	 0.00844857724071218508,	 0.81216439362752357312,	 12.33844360459761979598,	 15.19205188187097554930,	 360472.62893705064198002219,	 360588.02815724135143682361,	 0.00000000000000000000,	 0.00000000000000000000,	 -119.51691920796689316830,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.97584596039834536896,	 0.05000000000000000278,	 0.00461278865632447962,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 24072088.89803760126233100891,	 0.50843049958973807190,	 0.00843049958973812741,	 0.81210664240510899159,	 12.23789444735255216301,	 15.06931948137894394790,	 359701.31582882435759529471,	 359814.85802364029223099351,	 0.00000000000000000000,	 0.00000000000000000000,	 -118.55559014290963659732,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.92777950714548218514,	 0.05000000000000000278,	 0.00457560455043441901,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 24072088.89803760126233100891,	 0.50841159027318882924,	 0.00841159027318888475,	 0.81204623652457441629,	 12.13345940179260651348,	 14.94183318147232064632,	 358894.51832272444153204560,	 359006.14751213591080158949,	 0.00000000000000000000,	 0.00000000000000000000,	 -117.55698310058987487992,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.87784915502949356636,	 0.04999999999999999584,	 0.00453697934875285300,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 24072088.89803760126233100891,	 0.50839195665939984625,	 0.00839195665939990176,	 0.81198351925123102291,	 12.02451808612378414409,	 14.80882037755171332094,	 358056.81746772938640788198,	 358166.46804821665864437819,	 0.00000000000000000000,	 0.00000000000000000000,	 -116.51498560173301655141,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.82574928008665082757,	 0.05000000000000000278,	 0.00449667780109976132,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 24072088.89803760126233100891,	 0.50837182107526324160,	 0.00837182107526329711,	 0.81191920100827852380,	 11.91183545517098174571,	 14.67120797288488454058,	 357197.69921122933737933636,	 357305.32138292113086208701,	 0.00000000000000000000,	 0.00000000000000000000,	 -115.43683079721957085439,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.77184153986097925326,	 0.05000000000000000278,	 0.00445498020875855806,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 24072088.89803760126233100891,	 0.50835158062825891445,	 0.00835158062825896996,	 0.81185455037371345721,	 11.79838402788716500424,	 14.53263275109577712385,	 356334.10680571658303961158,	 356439.70551305566914379597,	 0.00000000000000000000,	 0.00000000000000000000,	 -114.35103817822508176505,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.71755190891125408825,	 0.05000000000000000278,	 0.00441298905206445689,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 24072088.89803760126233100891,	 0.50833146915178817338,	 0.00833146915178822889,	 0.81179031423741543350,	 11.68587426146871877108,	 14.39518808800554161564,	 355476.01714296301361173391,	 355579.62786300753941759467,	 0.00000000000000000000,	 0.00000000000000000000,	 -113.27402658761720033453,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.66370132938086090491,	 0.05000000000000000971,	 0.00437133898368978653,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 24072088.89803760126233100891,	 0.50831168498798495747,	 0.00831168498798501298,	 0.81172712601875207650,	 11.57602973437026960823,	 14.26098668298396354714,	 354631.89282069331966340542,	 354733.58069127943599596620,	 0.00000000000000000000,	 0.00000000000000000000,	 -112.22237933264156595214,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.61111896663207865288,	 0.05000000000000000278,	 0.00433067076375134516,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 24072088.89803760126233100891,	 0.50829233780441840373,	 0.00829233780441845925,	 0.81166533584038458304,	 11.47002068182181311329,	 14.13146548872380670048,	 353806.41298852191539481282,	 353906.26214695139788091183,	 0.00000000000000000000,	 0.00000000000000000000,	 -111.20738549603188971560,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.56036927480159448578,	 0.05000000000000000278,	 0.00429142039727102662,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 24072088.89803760126233100891,	 0.50827347984548687521,	 0.00827347984548693072,	 0.81160511038942451112,	 11.36875033559605974176,	 14.00773626245540093294,	 353001.80674077488947659731,	 353099.91507837414974346757,	 0.00000000000000000000,	 0.00000000000000000000,	 -110.23778983482431215180,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.51188949174121578523,	 0.05000000000000000278,	 0.00425392541994607052,	 0.00000000000000000000,	 0.00000000000000000000
