0.00000000000000000000,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.49999999999999994449,	 0.00000000000000000000,	 0.78539816339744827900,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.51021615391525099170,	 0.01021615391525104721,	 0.81782104488505635853,	 13.01929759603983605132,	 15.91949446332685269567,	 272430.77107335912296548486,	 272557.48622534307651221752,	 0.00000000000000000000,	 0.00000000000000000000,	 -124.80588347636792434514,	 0.00000000000000000000,	 0.00000000000000000000,	 -6.24029417381839657253,	 0.05000000000000000278,	 0.00610355414542316371,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.51021367556769370299,	 0.01021367556769375851,	 0.81781309986077321827,	 13.07270559028354917075,	 15.98495498850419771486,	 272364.68180516478605568409,	 272492.44119815703015774488,	 0.00000000000000000000,	 0.00000000000000000000,	 -125.31969058429019980849,	 0.00000000000000000000,	 0.00000000000000000000,	 -6.26598452921450999042,	 0.05000000000000000278,	 0.00612866667773742657,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.51021124445093835043,	 0.01021124445093840594,	 0.81780530628530412329,	 13.12263616681977396183,	 16.04616167927105507829,	 272299.85202502401079982519,	 272428.59167734265793114901,	 0.00000000000000000000,	 0.00000000000000000000,	 -125.80014144172037049429,	 0.00000000000000000000,	 0.00000000000000000000,	 -6.29000707208601905762,	 0.05000000000000000278,	 0.00615214811394515851,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.51020888909996908733,	 0.01020888909996914284,	 0.81779775563213574774,	 13.16941704038936755694,	 16.10351330716206419424,	 272237.04266584309516474605,	 272366.70423626009142026305,	 0.00000000000000000000,	 0.00000000000000000000,	 -126.25035471702085487777,	 0.00000000000000000000,	 0.00000000000000000000,	 -6.31251773585104292152,	 0.05000000000000000278,	 0.00617415115707132481,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.51020664384946201597,	 0.01020664384946207148,	 0.81779055796535804479,	 13.21361627322925258454,	 16.15770217022851440447,	 272177.16931898717302829027,	 272307.70498869806760922074,	 0.00000000000000000000,	 0.00000000000000000000,	 -126.67574885595486477996,	 0.00000000000000000000,	 0.00000000000000000000,	 -6.33378744279774341663,	 0.05000000000000000278,	 0.00619494101395220813,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.51020454653670954670,	 0.01020454653670960221,	 0.81778383457568271098,	 13.25595101409002118942,	 16.20960265247605036620,	 272121.24097892234567552805,	 272252.61658799793804064393,	 0.00000000000000000000,	 0.00000000000000000000,	 -127.08316899570989733093,	 0.00000000000000000000,	 0.00000000000000000000,	 -6.35415844978549504418,	 0.05000000000000000278,	 0.00621485268314632064,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.51020260574488751626,	 0.01020260574488757177,	 0.81777761297232598459,	 13.29699365239197206279,	 16.25991399307472917712,	 272069.48653033300070092082,	 272201.67893186409492045641,	 0.00000000000000000000,	 0.00000000000000000000,	 -127.47809446669147348530,	 0.00000000000000000000,	 0.00000000000000000000,	 -6.37390472333457402954,	 0.05000000000000000278,	 0.00623415419087083172,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.51020078469922913733,	 0.01020078469922919284,	 0.81777177526120059525,	 13.33699908861417782191,	 16.30895011551880813272,	 272020.92531277873786166310,	 272153.91623971395893022418,	 0.00000000000000000000,	 0.00000000000000000000,	 -127.86299515500095935749,	 0.00000000000000000000,	 0.00000000000000000000,	 -6.39314975775004867842,	 0.05000000000000000278,	 0.00625296611058064229,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.51019901182820248664,	 0.01019901182820254215,	 0.81776609200311323189,	 13.37587418376751813298,	 16.35660161820037572511,	 271973.64875206566648557782,	 272107.41796031390549615026,	 0.00000000000000000000,	 0.00000000000000000000,	 -128.23703095456465916868,	 0.00000000000000000000,	 0.00000000000000000000,	 -6.41185154772823384661,	 0.05000000000000000971,	 0.00627124692748276969,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.51019711715761584259,	 0.01019711715761589810,	 0.81776001831638167605,	 13.41265882753003779726,	 16.40170530120101588523,	 271923.12420309073058888316,	 272057.63217148446710780263,	 0.00000000000000000000,	 0.00000000000000000000,	 -128.59112487798722668231,	 0.00000000000000000000,	 0.00000000000000000000,	 -6.42955624389936186702,	 0.05000000000000000278,	 0.00628855170319250409,	 0.00000000000000000000,	 0.00000000000000000000
