0.00000000000000000000,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.49999999999999994449,	 0.00000000000000000000,	 0.78539816339744827900,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67796320653663211253,	 0.17796320653663216804,	 1.44398314148509210320,	 -28.43083294764808499622,	 -19.68917235308429525276,	 569482.26091722305864095688,	 569676.09267119783908128738,	 0.00000000000000000000,	 0.00000000000000000000,	 116.16661295627662298102,	 0.00000000000000000000,	 0.00000000000000000000,	 5.80833064781383079378,	 0.04999999999999999584,	 0.01890446567683383428,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67774153798403991011,	 0.17774153798403996563,	 1.44303903914487485771,	 -28.46733363572763764182,	 -19.72734823071521859106,	 568772.92154892755206674337,	 568967.50568303547333925962,	 0.00000000000000000000,	 0.00000000000000000000,	 116.42991981512446386660,	 0.00000000000000000000,	 0.00000000000000000000,	 5.82149599075622337097,	 0.05000000000000000278,	 0.01894421734274740268,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67751932388789870565,	 0.17751932388789876116,	 1.44209292317258452876,	 -28.50590723368943457672,	 -19.76703912461953649427,	 568061.83644127578008919954,	 568257.20435915293637663126,	 0.00000000000000000000,	 0.00000000000000000000,	 116.70243742237623507663,	 0.00000000000000000000,	 0.00000000000000000000,	 5.83512187111881264201,	 0.05000000000000000971,	 0.01898544527421999056,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67729716537217410366,	 0.17729716537217415917,	 1.44114735398545801282,	 -28.54465841416115878815,	 -19.80689784096095351629,	 567350.92919095722027122974,	 567547.08579199831001460552,	 0.00000000000000000000,	 0.00000000000000000000,	 116.97611538106517059532,	 0.00000000000000000000,	 0.00000000000000000000,	 5.84880576905325888504,	 0.05000000000000000278,	 0.01902684767303008950,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67707612204677514178,	 0.17707612204677519729,	 1.44020683913412317345,	 -28.58021398316801153783,	 -19.84452038871786072605,	 566643.59054968087002635002,	 566840.49304441001731902361,	 0.00000000000000000000,	 0.00000000000000000000,	 117.23656908017156297319,	 0.00000000000000000000,	 0.00000000000000000000,	 5.86182845400857832630,	 0.05000000000000000278,	 0.01906610001012429972,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67685642799237633049,	 0.17685642799237638600,	 1.43927236947354519891,	 -28.61299147533788911346,	 -19.88017840278828174405,	 565940.56957560416776686907,	 566138.18032226746436208487,	 0.00000000000000000000,	 0.00000000000000000000,	 117.48534891959215542556,	 0.00000000000000000000,	 0.00000000000000000000,	 5.87426744597960848182,	 0.05000000000000000278,	 0.01910345885008181074,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67663783464388471689,	 0.17663783464388477240,	 1.43834288265621457192,	 -28.64531537748247558284,	 -19.91549839950724276605,	 565241.07086043094750493765,	 565439.38439868134446442127,	 0.00000000000000000000,	 0.00000000000000000000,	 117.73210057039625553443,	 0.00000000000000000000,	 0.00000000000000000000,	 5.88660502851981348726,	 0.05000000000000000278,	 0.01914048988923885974,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67641997864660485806,	 0.17641997864660491357,	 1.43741682986273855427,	 -28.67940823785079018649,	 -19.95204706249991488676,	 564543.93166913592722266912,	 564742.97376012802124023438,	 0.00000000000000000000,	 0.00000000000000000000,	 117.98614879720365422600,	 0.00000000000000000000,	 0.00000000000000000000,	 5.89930743986018235603,	 0.04999999999999999584,	 0.01917870398354043146,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67620234863382822077,	 0.17620234863382827628,	 1.43649203541825154495,	 -28.71742280490959942085,	 -19.99135539693276797379,	 563847.51562825054861605167,	 564047.34277355379890650511,	 0.00000000000000000000,	 0.00000000000000000000,	 118.25664573524471734345,	 0.00000000000000000000,	 0.00000000000000000000,	 5.91283228676223604481,	 0.05000000000000000278,	 0.01921958080701184277,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67598396338940158756,	 0.17598396338940164307,	 1.43556433084142542889,	 -28.76309328093849160268,	 -20.03608801291379037934,	 563148.68284608493559062481,	 563349.40525751549284905195,	 0.00000000000000000000,	 0.00000000000000000000,	 118.55954636824408510165,	 0.00000000000000000000,	 0.00000000000000000000,	 5.92797731841220443272,	 0.05000000000000000278,	 0.01926569776265769571,	 0.00000000000000000000,	 0.00000000000000000000
