0.00000000000000000000,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 112837.91670955122390296310,	 0.39999999999999996669,	 0.00000000000000000000,	 0.50265482457436694297,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 112837.91670955122390296310,	 0.46400348708722055635,	 0.06400348708722058966,	 0.67638249823251694881,	 28.32039851836023913734,	 41.87038930245156365118,	 12745.35673237232003884856,	 13621.92148254174571775366,	 0.00000000000000000000,	 0.00000000000000000000,	 -360.94891928759165011797,	 0.00000000000000000000,	 0.00000000000000000000,	 -18.04744596437958392698,	 0.05000000000000000278,	 0.19437767212871079336,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 112837.91670955122390296310,	 0.46398998011724179591,	 0.06398998011724182922,	 0.67634312031669951981,	 28.32033809185876904735,	 41.87273772903566282366,	 12747.06954705671887495555,	 13623.73262951902142958716,	 0.00000000000000000000,	 0.00000000000000000000,	 -360.97967217701710751498,	 0.00000000000000000000,	 0.00000000000000000000,	 -18.04898360885085750738,	 0.05000000000000000278,	 0.19439140373600316547,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 112837.91670955122390296310,	 0.46397759084207512714,	 0.06397759084207516045,	 0.67630700191107839814,	 28.32084455149396617912,	 41.87572281739827673164,	 12748.94013726975754252635,	 13625.72821800954261561856,	 0.00000000000000000000,	 0.00000000000000000000,	 -361.01504593269544329814,	 0.00000000000000000000,	 0.00000000000000000000,	 -18.05075229663477287545,	 0.05000000000000000278,	 0.19440785732827173260,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 112837.91670955122390296310,	 0.46396630228052004874,	 0.06396630228052008205,	 0.67627409325127285644,	 28.32190476519176058900,	 41.87932828985158550950,	 12750.96434839511675818358,	 13627.90341739969881018624,	 0.00000000000000000000,	 0.00000000000000000000,	 -361.05491354870679288069,	 0.00000000000000000000,	 0.00000000000000000000,	 -18.05274567743534319675,	 0.05000000000000000971,	 0.19442696093372879851,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 112837.91670955122390296310,	 0.46395609730218662081,	 0.06395609730218665412,	 0.67624434416588841135,	 28.32350563181910985122,	 41.88353791964745198584,	 12753.13806523770108469762,	 13630.25343957097356906161,	 0.00000000000000000000,	 0.00000000000000000000,	 -361.09914850298963528985,	 0.00000000000000000000,	 0.00000000000000000000,	 -18.05495742514948176449,	 0.05000000000000000278,	 0.19444864282810883638,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 112837.91670955122390296310,	 0.46394695862648466234,	 0.06394695862648469564,	 0.67621770407244774503,	 28.32563411515661044859,	 41.88833558271034718246,	 12755.45736697164466022514,	 13632.77369591652313829400,	 0.00000000000000000000,	 0.00000000000000000000,	 -361.14762520888854169243,	 0.00000000000000000000,	 0.00000000000000000000,	 -18.05738126044442992679,	 0.05000000000000000971,	 0.19447283177637453289,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 112837.91670955122390296310,	 0.46393886880309775922,	 0.06393886880309779253,	 0.67619412191935435175,	 28.32827715184150818573,	 41.89370512632177678825,	 12757.91830582239526847843,	 13635.45957042799454939086,	 0.00000000000000000000,	 0.00000000000000000000,	 -361.20021790286398299941,	 0.00000000000000000000,	 0.00000000000000000000,	 -18.06001089514319701834,	 0.04999999999999999584,	 0.19449945642845484217,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 112837.91670955122390296310,	 0.46393181025337465462,	 0.06393181025337468792,	 0.67617354630543524685,	 28.33142156421836688196,	 41.89963023401205788332,	 12760.51643686940406041685,	 13638.30594374287284153979,	 0.00000000000000000000,	 0.00000000000000000000,	 -361.25679945187397379414,	 0.00000000000000000000,	 0.00000000000000000000,	 -18.06283997259370011079,	 0.05000000000000000278,	 0.19452844468455104954,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 112837.91670955122390296310,	 0.46392576531285512065,	 0.06392576531285515395,	 0.67615592560278570122,	 28.33505427113487229462,	 41.90609473084847991231,	 12763.24741511421962059103,	 13641.30780290964321466163,	 0.00000000000000000000,	 0.00000000000000000000,	 -361.31724395680839734268,	 0.00000000000000000000,	 0.00000000000000000000,	 -18.06586219784042057768,	 0.05000000000000000278,	 0.19455972510480623594,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 34.54999999999999715783,	 0.39999999999999996669,	 0.50265482457436694297, 112837.91670955122390296310,	 0.46392071636051462891,	 0.06392071636051466221,	 0.67614120833238788855,	 28.33916256148378209900,	 41.91308296587712334258,	 12766.10906700252780865412,	 13644.46232885477729723789,	 0.00000000000000000000,	 0.00000000000000000000,	 -361.38142995370185417414,	 0.00000000000000000000,	 0.00000000000000000000,	 -18.06907149768509412979,	 0.05000000000000000278,	 0.19459322865902103916,	 0.00000000000000000000,	 0.00000000000000000000
