0.00000000000000000000,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.49999999999999994449,	 0.00000000000000000000,	 0.78539816339744827900,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67749602598901925710,	 0.17749602598901931261,	 1.44199374620079812104,	 -30.08169269510214505203,	 -20.86118110730922481366,	 567493.34399546636268496513,	 567710.93843406229279935360,	 0.00000000000000000000,	 0.00000000000000000000,	 123.16636737082403385557,	 0.00000000000000000000,	 0.00000000000000000000,	 6.15831836854120240332,	 0.05000000000000000278,	 0.02003666910337512097,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67726688800406831259,	 0.17726688800406836810,	 1.44101850899431216391,	 -30.03605916966005295876,	 -20.84363176613341295251,	 566763.64084011199884116650,	 566980.86933271307498216629,	 0.00000000000000000000,	 0.00000000000000000000,	 123.10438992557513415704,	 0.00000000000000000000,	 0.00000000000000000000,	 6.15521949627875741839,	 0.05000000000000000278,	 0.02002319971777734645,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67703958294460164780,	 0.17703958294460170331,	 1.44005139887214217431,	 -29.98904300751300411321,	 -20.82498099095672827730,	 566040.23151230323128402233,	 566257.07142894004937261343,	 0.00000000000000000000,	 0.00000000000000000000,	 123.03553006684821014005,	 0.00000000000000000000,	 0.00000000000000000000,	 6.15177650334241032937,	 0.04999999999999999584,	 0.02000864100385130878,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67681431035013239761,	 0.17681431035013245312,	 1.43909325653251429777,	 -29.94034082268879259914,	 -20.80500390560500889592,	 565323.75938104267697781324,	 565540.18347479880321770906,	 0.00000000000000000000,	 0.00000000000000000000,	 122.95841614130220875722,	 0.00000000000000000000,	 0.00000000000000000000,	 6.14792080706511079313,	 0.05000000000000000278,	 0.01999277341334393734,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67659126111402290160,	 0.17659126111402295711,	 1.43814488486086911045,	 -29.88963710129349848899,	 -20.78346724028790859506,	 564614.79366329638287425041,	 564830.76991856039967387915,	 0.00000000000000000000,	 0.00000000000000000000,	 122.87162684346502317112,	 0.00000000000000000000,	 0.00000000000000000000,	 6.14358134217325169146,	 0.05000000000000000278,	 0.01997536933037016849,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67637060274125859749,	 0.17637060274125865300,	 1.43720698636557009387,	 -29.83665039904302318519,	 -20.76016237194503233354,	 563913.82663514313753694296,	 564129.31880599784199148417,	 0.00000000000000000000,	 0.00000000000000000000,	 122.77388927198366275206,	 0.00000000000000000000,	 0.00000000000000000000,	 6.13869446359918313760,	 0.05000000000000000278,	 0.01995622504822109483,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67615248819642670419,	 0.17615248819642675970,	 1.43628020095563102565,	 -29.78105317542741303782,	 -20.73484906051935183768,	 563221.32601458975113928318,	 563436.29299737105611711740,	 0.00000000000000000000,	 0.00000000000000000000,	 122.66374477643418572370,	 0.00000000000000000000,	 0.00000000000000000000,	 6.13318723882170946382,	 0.05000000000000000278,	 0.01993510656925925884,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67593707002681024942,	 0.17593707002681030493,	 1.43536516604646813278,	 -29.72243796842155205695,	 -20.70723093433307226974,	 562537.80442241253331303596,	 562752.19912889646366238594,	 0.00000000000000000000,	 0.00000000000000000000,	 122.53940109254101287206,	 0.00000000000000000000,	 0.00000000000000000000,	 6.12697005462705046597,	 0.04999999999999999584,	 0.01991172580485755725,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67572452792234238839,	 0.17572452792234244390,	 1.43446263359923298353,	 -29.66040065033654116178,	 -20.67701169455711607270,	 561863.91307899379171431065,	 562077.68248530221171677113,	 0.00000000000000000000,	 0.00000000000000000000,	 122.39905961758086050395,	 0.00000000000000000000,	 0.00000000000000000000,	 6.11995298087904338047,	 0.05000000000000000278,	 0.01988579418798250634,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1805406.66735282004810869694,	 0.67551501020951110199,	 0.17551501020951115750,	 1.43357322164627531969,	 -29.59455184650269643498,	 -20.64390670782559666918,	 561199.87196950579527765512,	 561412.95741158653981983662,	 0.00000000000000000000,	 0.00000000000000000000,	 122.24099477181350437149,	 0.00000000000000000000,	 0.00000000000000000000,	 6.11204973859067557385,	 0.05000000000000000278,	 0.01985703469468185975,	 0.00000000000000000000,	 0.00000000000000000000
