0.00000000000000000000,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 6018022.22450940031558275223,	 0.49999999999999994449,	 0.00000000000000000000,	 0.78539816339744827900,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 6018022.22450940031558275223,	 0.51601924766239470888,	 0.01601924766239476439,	 0.83653029803892875460,	 11.21761879525130645163,	 13.40969815623974348284,	 168865.50307428895030170679,	 168955.41307660969323478639,	 0.00000000000000000000,	 0.00000000000000000000,	 -103.94727109104293560904,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.19736355455214749099,	 0.05000000000000000971,	 0.00808326259595167768,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 6018022.22450940031558275223,	 0.51600197212166443173,	 0.01600197212166448724,	 0.83647428744864915640,	 11.13670083343449235258,	 13.31385913535109111194,	 168640.01114849091391079128,	 168728.64057102889637462795,	 0.00000000000000000000,	 0.00000000000000000000,	 -103.20781589735406669206,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.16039079486770368987,	 0.05000000000000000278,	 0.00802562591754323040,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 6018022.22450940031558275223,	 0.51598435094319616834,	 0.01598435094319622385,	 0.83641715816688699814,	 11.05713910137219002650,	 13.21964643289395979764,	 168411.84873018914368003607,	 168499.22825609450228512287,	 0.00000000000000000000,	 0.00000000000000000000,	 -102.48098733017029360326,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.12404936650851539071,	 0.05000000000000000971,	 0.00796897034577339833,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 6018022.22450940031558275223,	 0.51596639284969358918,	 0.01596639284969364470,	 0.83635893858668719503,	 10.97895215771960231166,	 13.12708174826501483778,	 168181.11620490220957435668,	 168267.27634251501876860857,	 0.00000000000000000000,	 0.00000000000000000000,	 -101.76695172539325540129,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.08834758626966277006,	 0.05000000000000000278,	 0.00791330888807043401,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 6018022.22450940031558275223,	 0.51594810662026702186,	 0.01594810662026707737,	 0.83629965728219446408,	 10.90215702181366097534,	 13.03618496896612022340,	 167947.91337600865517742932,	 168032.88443528121570125222,	 0.00000000000000000000,	 0.00000000000000000000,	 -101.06586148254346824160,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.05329307412717376735,	 0.05000000000000000278,	 0.00785865346390031590,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 6018022.22450940031558275223,	 0.51592950108079571603,	 0.01592950108079577154,	 0.83623934297719493269,	 10.82676920517886820505,	 12.94697420792616959773,	 167712.33947459477349184453,	 167796.15154516513575799763,	 0.00000000000000000000,	 0.00000000000000000000,	 -100.37785535275017423373,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.01889276763750924459,	 0.05000000000000000278,	 0.00780501492721286539,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 6018022.22450940031558275223,	 0.51591058509532872201,	 0.01591058509532877752,	 0.83617802451703537869,	 10.75280274135798386226,	 12.85946583871138138022,	 167474.49319360268418677151,	 167557.17612443116377107799,	 0.00000000000000000000,	 0.00000000000000000000,	 -99.70305870995252917055,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.98515293549762628089,	 0.04999999999999999584,	 0.00775240308759867890,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 6018022.22450940031558275223,	 0.51589136755854225758,	 0.01589136755854231309,	 0.83611573084397605715,	 10.68027021507063700767,	 12.77367452982849904686,	 167234.47272677850560285151,	 167316.05610727550811134279,	 0.00000000000000000000,	 0.00000000000000000000,	 -99.04158381466980642927,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.95207919073349067673,	 0.05000000000000000278,	 0.00770082673088371902,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 6018022.22450940031558275223,	 0.51587185738913088340,	 0.01587185738913093891,	 0.83605249097558087534,	 10.60918279144342157849,	 12.68961327902232305576,	 166992.37579782077227719128,	 167072.88894040635204873979,	 0.00000000000000000000,	 0.00000000000000000000,	 -98.39353007737602752059,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.91967650386880173130,	 0.05000000000000000278,	 0.00765029363970680734,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 6018022.22450940031558275223,	 0.51585206352393186968,	 0.01585206352393192519,	 0.83598833398549154960,	 10.53955024578293198090,	 12.60729344814738084324,	 166748.29967144888360053301,	 166827.77159549272619187832,	 0.00000000000000000000,	 0.00000000000000000000,	 -97.75898432603626986293,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.88794921630181367078,	 0.05000000000000000278,	 0.00760081061443195968,	 0.00000000000000000000,	 0.00000000000000000000
