0.00000000000000000000,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.49999999999999994449,	 0.00000000000000000000,	 0.78539816339744827900,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.50368687302149350860,	 0.00368687302149356411,	 0.79702352036808743474,	 3.31090403497844842917,	 4.15408573319063645357,	 97086.76192487725347746164,	 97095.39013901659927796572,	 0.00000000000000000000,	 0.00000000000000000000,	 -32.98943018523630854588,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.64947150926181573816,	 0.05000000000000000971,	 0.00160297138900647603,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.50367674127215011914,	 0.00367674127215017466,	 0.79699145615619626515,	 3.32214284873097964734,	 4.16835440715176019921,	 96836.23904487557592801750,	 96844.92663410738168749958,	 0.00000000000000000000,	 0.00000000000000000000,	 -33.10340991028201074187,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.65517049551410067032,	 0.05000000000000000278,	 0.00160849353778198660,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.50366677229288858708,	 0.00366677229288864259,	 0.79695990769656033237,	 3.33357647723892469571,	 4.18286596985023262363,	 96589.87893136721686460078,	 96598.62711522808240260929,	 0.00000000000000000000,	 0.00000000000000000000,	 -33.21931244984208575488,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.66096562249210433215,	 0.05000000000000000278,	 0.00161410926435604082,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.50365696451510133524,	 0.00365696451510139076,	 0.79692886999462531072,	 3.34517949660416213931,	 4.19758854592220131963,	 96347.62172529088275041431,	 96356.43160009130951948464,	 0.00000000000000000000,	 0.00000000000000000000,	 -33.33688475816831697784,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.66684423790841584889,	 0.05000000000000000278,	 0.00161980627092572272,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.50364731622021785551,	 0.00364731622021791102,	 0.79689833758215633530,	 3.35692537062323870245,	 4.21248886126225130511,	 96109.40348994333180598915,	 96118.27602114646288100630,	 0.00000000000000000000,	 0.00000000000000000000,	 -33.45586266895031712920,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.67279313344751612291,	 0.05000000000000000971,	 0.00162557171963939053,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.50363782553941449649,	 0.00363782553941455200,	 0.79686830451635015660,	 3.36878654013492306873,	 4.22753235514815539631,	 95875.15627913472417276353,	 95884.09229404163488652557,	 0.00000000000000000000,	 0.00000000000000000000,	 -33.57597178583887398418,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.67879858929194392125,	 0.05000000000000000971,	 0.00163139227586540014,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.50362849045394109115,	 0.00362849045394114667,	 0.79683876438089618066,	 3.38073451019691439967,	 4.24268328966597874086,	 95644.80822971693123690784,	 95653.80841046513523906469,	 0.00000000000000000000,	 0.00000000000000000000,	 -33.69692835162580735187,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.68484641758129027878,	 0.04999999999999999584,	 0.00163725415042141457,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.50361930879636807035,	 0.00361930879636812586,	 0.79680971028994485028,	 3.39273994345493390412,	 4.25790486692283920434,	 95418.28371145101846195757,	 95427.34858837889623828232,	 0.00000000000000000000,	 0.00000000000000000000,	 -33.81844017934163559858,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.69092200896708200197,	 0.05000000000000000971,	 0.00164314314481056579,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.50361027825236315270,	 0.00361027825236320821,	 0.79678113489375490541,	 3.40477274912850047528,	 4.27315934077995329687,	 95195.50338808886590413749,	 95204.63333346472063567489,	 0.00000000000000000000,	 0.00000000000000000000,	 -33.94020753991551941908,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.69701037699577605977,	 0.05000000000000000278,	 0.00164904469434503319,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.50360139636220091486,	 0.00360139636220097037,	 0.79675303038348865847,	 3.41680216126640701191,	 4.28840811514937225724,	 94976.38418993628874886781,	 94985.57941201732319314033,	 0.00000000000000000000,	 0.00000000000000000000,	 -34.06192394323749539353,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.70309619716187499172,	 0.05000000000000000971,	 0.00165494390608741872,	 0.00000000000000000000,	 0.00000000000000000000
