0.00000000000000000000,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.49999999999999994449,	 0.00000000000000000000,	 0.78539816339744827900,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60060387726860464674,	 0.10060387726860470226,	 1.13325106459872926301,	 35.28428366670420501805,	 31.13545159491904001925,	 257545.92580762790748849511,	 258030.63398063767817802727,	 0.00000000000000000000,	 0.00000000000000000000,	 -207.36097633278853891170,	 0.00000000000000000000,	 0.00000000000000000000,	 -10.36804881663942623504,	 0.04999999999999999584,	 0.03551044531984098168,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60061530197911827678,	 0.10061530197911833229,	 1.13329417850119318345,	 35.05129881276668157852,	 30.92868513550718745364,	 257575.17306654262938536704,	 258053.46484864829108119011,	 0.00000000000000000000,	 0.00000000000000000000,	 -205.98000106618991367213,	 0.00000000000000000000,	 0.00000000000000000000,	 -10.29900005330949674942,	 0.05000000000000000278,	 0.03527428960678312408,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60062297174452727866,	 0.10062297174452733417,	 1.13332312267214052603,	 34.84251597527315169600,	 30.74367343103503813495,	 257594.80766598990885540843,	 258067.39439400698756799102,	 0.00000000000000000000,	 0.00000000000000000000,	 -204.74523870932958402591,	 0.00000000000000000000,	 0.00000000000000000000,	 -10.23726193546647955657,	 0.05000000000000000278,	 0.03506305914059223289,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60062571518950891303,	 0.10062571518950896854,	 1.13333347597822675645,	 34.65754943411868538305,	 30.58018682824517142649,	 257601.83088514313567429781,	 258069.40479836831218563020,	 0.00000000000000000000,	 0.00000000000000000000,	 -203.65552825920232749013,	 0.00000000000000000000,	 0.00000000000000000000,	 -10.18277641296011815086,	 0.05000000000000000971,	 0.03487652355199030024,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60062324990003390646,	 0.10062324990003396197,	 1.13332417238270810600,	 34.49449561005346254206,	 30.43656568052546873560,	 257595.51974408674868755043,	 258058.71200929922633804381,	 0.00000000000000000000,	 0.00000000000000000000,	 -202.69988340005983218362,	 0.00000000000000000000,	 0.00000000000000000000,	 -10.13499417000299196445,	 0.05000000000000000278,	 0.03471279571618721832,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60061407730265903293,	 0.10061407730265908844,	 1.13328955684975651863,	 34.35024440116504251819,	 30.31020994903507670415,	 257572.03789480731938965619,	 258031.39230838461662642658,	 0.00000000000000000000,	 0.00000000000000000000,	 -201.86146874983265320225,	 0.00000000000000000000,	 0.00000000000000000000,	 -10.09307343749163266011,	 0.05000000000000000278,	 0.03456895141650555281,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60059957555088894221,	 0.10059957555088899772,	 1.13323483124124502197,	 34.21950821459106606426,	 30.19630818893030976824,	 257534.91341027567978017032,	 257990.82192439612117595971,	 0.00000000000000000000,	 0.00000000000000000000,	 -201.10775577044520900927,	 0.00000000000000000000,	 0.00000000000000000000,	 -10.05538778852226045046,	 0.05000000000000000278,	 0.03443946163999141163,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60058020861380090327,	 0.10058020861380095878,	 1.13316174782687117961,	 34.09769524608361734863,	 30.09075739758662848544,	 257485.33405133039923384786,	 257938.06089171060011722147,	 0.00000000000000000000,	 0.00000000000000000000,	 -200.41124876251984687769,	 0.00000000000000000000,	 0.00000000000000000000,	 -10.02056243812599234388,	 0.05000000000000000278,	 0.03431963230250257429,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60055600449930102158,	 0.10055600449930107709,	 1.13307041406787067928,	 33.98094147559211819498,	 29.99014099538271693746,	 257423.37151821068255230784,	 257873.07579667214304208755,	 0.00000000000000000000,	 0.00000000000000000000,	 -199.74917090629219273978,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.98745854531460963699,	 0.05000000000000000278,	 0.03420556480902479241,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60052709642998269857,	 0.10052709642998275408,	 1.13296133484964389737,	 33.86494862902124935999,	 29.89064815130296537404,	 257349.36686075563193298876,	 257796.09228420813451521099,	 0.00000000000000000000,	 0.00000000000000000000,	 -199.09608295110800213479,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.95480414755540188310,	 0.05000000000000000971,	 0.03409290776856756244,	 0.00000000000000000000,	 0.00000000000000000000
5.71119999999999983231,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60049382777902582387,	 0.10049382777902587938,	 1.13283580828683927422,	 33.74466427584152228292,	 29.78778039058703441810,	 257264.19911430610227398574,	 257707.85504460503580048680,	 0.00000000000000000000,	 0.00000000000000000000,	 -198.42189220002148886124,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.92109461000107550888,	 0.05000000000000000278,	 0.03397651920564893901,	 0.00000000000000000000,	 0.00000000000000000000
5.71229999999999993321,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60045657101703242553,	 0.10045657101703248104,	 1.13269524236314067522,	 33.61485996239758122783,	 29.67687927448776008532,	 257168.82180360297206789255,	 257609.18038533921935595572,	 0.00000000000000000000,	 0.00000000000000000000,	 -197.69542516103769003166,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.88477125805188450158,	 0.05000000000000000278,	 0.03385107338131130433,	 0.00000000000000000000,	 0.00000000000000000000
5.71340000000000003411,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60041526591743410446,	 0.10041526591743415997,	 1.13253941267332436382,	 33.47173894688463491320,	 29.55459083571813749813,	 257063.08074863109504804015,	 257499.81766836444148793817,	 0.00000000000000000000,	 0.00000000000000000000,	 -196.89433306169354409576,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.84471665308467791533,	 0.05000000000000000278,	 0.03371274405359254989,	 0.00000000000000000000,	 0.00000000000000000000
5.71450000000000013500,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60036960060357558167,	 0.10036960060357563718,	 1.13236714589749953852,	 33.31450973809723592467,	 29.42023694240315379034,	 256946.17754515376873314381,	 257378.95271602732827886939,	 0.00000000000000000000,	 0.00000000000000000000,	 -196.01416802466883382294,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.80070840123344133588,	 0.04999999999999999584,	 0.03356076365199450739,	 0.00000000000000000000,	 0.00000000000000000000
5.71560000000000023590,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60031950535252542878,	 0.10031950535252548429,	 1.13217818279956583538,	 33.14474107140581082831,	 29.27519852877571437944,	 256817.93370246497215703130,	 257246.45232691458659246564,	 0.00000000000000000000,	 0.00000000000000000000,	 -195.06411680949432252419,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.75320584047471683675,	 0.05000000000000000278,	 0.03339670626489095462,	 0.00000000000000000000,	 0.00000000000000000000
5.71670000000000033680,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60026455165123848712,	 0.10026455165123854263,	 1.13197091139361161183,	 32.96367858771736081280,	 29.12060571162075817142,	 256677.25222717045107856393,	 257101.25706567629822529852,	 0.00000000000000000000,	 0.00000000000000000000,	 -194.05181019944828335611,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.70259050997241345726,	 0.04999999999999999584,	 0.03322186971605521622,	 0.00000000000000000000,	 0.00000000000000000000
5.71780000000000043769,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60020356320507073367,	 0.10020356320507078918,	 1.13174090067708399410,	 32.77060983951168537942,	 28.95592959475626315680,	 256521.12180498102679848671,	 256940.34473432926461100578,	 0.00000000000000000000,	 0.00000000000000000000,	 -192.97405993481535801948,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.64870299674076825625,	 0.05000000000000000278,	 0.03303567937747025479,	 0.00000000000000000000,	 0.00000000000000000000
5.71890000000000053859,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60013584892723281783,	 0.10013584892723287334,	 1.13148555166035236219,	 32.56496573891448775839,	 28.78071725363912491957,	 256347.77325371594633907080,	 256761.93809653291827999055,	 0.00000000000000000000,	 0.00000000000000000000,	 -191.82801564069754363118,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.59140078203487789210,	 0.05000000000000000278,	 0.03283763287314184903,	 0.00000000000000000000,	 0.00000000000000000000
5.72000000000000063949,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.60006215188926625981,	 0.10006215188926631532,	 1.13120767453032056160,	 32.34818978946225342952,	 28.59615481559854188731,	 256159.10883652162738144398,	 256567.97887164045823737979,	 0.00000000000000000000,	 0.00000000000000000000,	 -190.62128631552548085892,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.53106431577627510876,	 0.05000000000000000278,	 0.03262905810078487595,	 0.00000000000000000000,	 0.00000000000000000000
5.72109999999999985221,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.59998360836869635282,	 0.09998360836869640833,	 1.13091156114224533624,	 32.12134788024246745408,	 28.40305907545874219977,	 255958.03742386255180463195,	 256361.40430628455942496657,	 0.00000000000000000000,	 0.00000000000000000000,	 -189.35890033852234637379,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.46794501692611767396,	 0.05000000000000000278,	 0.03241085138733846432,	 0.00000000000000000000,	 0.00000000000000000000
5.72219999999999995310,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.59990060569948233660,	 0.09990060569948239211,	 1.13059867864365459766,	 31.88324615104503223506,	 28.20032143438767135990,	 255745.55059067480033263564,	 256143.17965517617994919419,	 0.00000000000000000000,	 0.00000000000000000000,	 -188.03329195846490051736,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.40166459792324538114,	 0.05000000000000000278,	 0.03218173271630940524,	 0.00000000000000000000,	 0.00000000000000000000
5.72330000000000005400,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.59981327799845751692,	 0.09981327799845757243,	 1.13026953946231500936,	 31.63286500539408763188,	 27.98701009003771034145,	 255521.99167605146067216992,	 255913.62804294138913974166,	 0.00000000000000000000,	 0.00000000000000000000,	 -186.63814968170595420816,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.33190748408529913149,	 0.05000000000000000971,	 0.03194063028424239808,	 0.00000000000000000000,	 0.00000000000000000000
5.72440000000000015490,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.59972205990085070137,	 0.09972205990085075689,	 1.12992578849420288734,	 31.37090007955258030847,	 27.76368182671452444765,	 255288.47334617807064205408,	 255673.88436046559945680201,	 0.00000000000000000000,	 0.00000000000000000000,	 -185.17699236412653363004,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.25884961820632845786,	 0.05000000000000000971,	 0.03168816289255329405,	 0.00000000000000000000,	 0.00000000000000000000
