0.00000000000000000000,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 427948.24707622401183471084,	 1.50000000000000000000,	 0.00000000000000000000,	 7.06858347057703451100,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 427948.24707622401183471084,	 2.14971883931128093792,	 0.64971883931128093792,	 14.51821413244302760859,	 9.51991986130154188572,	 0.65572251342042942035,	 492823.77144796424545347691,	 492823.98643397155683487654,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.22010841870001485177,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.06100542093500074120,	 0.04999999999999999584,	 0.00072620823170478817,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 427948.24707622401183471084,	 2.14934545085206529791,	 0.64934545085206529791,	 14.51317118196913646955,	 9.63780688582830435962,	 0.66407312123501416323,	 492540.54938704782398417592,	 492540.76988360297400504351,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.23586112408641568550,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.06179305620432078150,	 0.04999999999999999584,	 0.00073552035285257694,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 427948.24707622401183471084,	 2.14912237049468624051,	 0.64912237049468624051,	 14.51015869703106808686,	 11.73409192380762178232,	 0.80868115703024956442,	 492371.33880485832924023271,	 492371.66578746517188847065,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.50513747961984467594,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.07525687398099223380,	 0.05000000000000000278,	 0.00089573316633184880,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 427948.24707622401183471084,	 2.14903303369182330229,	 0.64903303369182330229,	 14.50895237740769161405,	 15.40785897843483631675,	 1.06195530715414432343,	 492303.57518550154054537416,	 492304.13906003872398287058,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.97661979226035722235,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.09883098961301786667,	 0.05000000000000000278,	 0.00117629593928719354,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 427948.24707622401183471084,	 2.14903405104338496301,	 0.64903405104338496301,	 14.50896611447792139415,	 19.68076744218146956200,	 1.35645553838207755248,	 492304.34686550096375867724,	 492305.26685131475096568465,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.52477253717501604058,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.12623862685875081313,	 0.05000000000000000278,	 0.00150250462820498694,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 427948.24707622401183471084,	 2.14902869915359229225,	 0.64902869915359229225,	 14.50889384918186486573,	 24.60036512781026019070,	 1.69553691573788989366,	 492300.28735798387788236141,	 492301.72478070016950368881,	 0.00000000000000000000,	 0.00000000000000000000,	 -3.15591302509024185241,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.15779565125451208707,	 0.04999999999999999584,	 0.00187809711655323669,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 427948.24707622401183471084,	 2.14903212656921249746,	 0.64903212656921249746,	 14.50894012873977878542,	 29.59797159064999050315,	 2.03998164773051682275,	 492302.88711620273534208536,	 492304.96787876426242291927,	 0.00000000000000000000,	 0.00000000000000000000,	 -3.79702401375862574895,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.18985120068793129300,	 0.05000000000000000278,	 0.00225962676463813735,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 427948.24707622401183471084,	 2.14905095342491314625,	 0.64905095342491314625,	 14.50919434450073453036,	 34.52784838279321633081,	 2.37972195857173396405,	 492317.16763489699224010110,	 492319.99917319702217355371,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.42934487854595371203,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.22146724392729769115,	 0.05000000000000000278,	 0.00263593541733673315,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 427948.24707622401183471084,	 2.14907069644219905769,	 0.64907069644219905769,	 14.50946093342465559317,	 39.34939292464578386443,	 2.71198172731550135595,	 492332.14307911996729671955,	 492335.82050156459445133805,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.04772920091499166517,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.25238646004574960546,	 0.05000000000000000278,	 0.00300395423258002130,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 427948.24707622401183471084,	 2.14909026006608572246,	 0.64909026006608572246,	 14.50972510242475799203,	 44.05806255534852056144,	 3.03645053537133247090,	 492346.98245012713596224785,	 492351.59246605401858687401,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.65160168801464823929,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.28258008440073245637,	 0.05000000000000000971,	 0.00336334010991067760,	 0.00000000000000000000,	 0.00000000000000000000
