0.00000000000000000000,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.50000000000000000000,	 0.00000000000000000000,	 7.06858347057703451100,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.60583347239560869646,	 0.10583347239560869646,	 8.10122856057699713972,	 6.86630172757760082192,	 0.84756301790954025055,	 100345.81086398458865005523,	 100346.17004551924765110016,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.11121024061139284100,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.10556051203056963927,	 0.04999999999999999584,	 0.00097140121611110448,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.60548202520513960678,	 0.10548202520513960678,	 8.09768293457438481653,	 6.76951405097803160515,	 0.83598161420651351250,	 100012.58686116944591049105,	 100012.93629379909543786198,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.08281774839477629158,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.10414088741973881458,	 0.05000000000000000278,	 0.00095823250652393472,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.60534149709744955459,	 0.10534149709744955459,	 8.09626541355697249003,	 8.59298925954741399380,	 1.06135221866104978439,	 99879.34539610039792023599,	 99879.90863036642258521169,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.64455188028226029218,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.13222759401411302016,	 0.05000000000000000278,	 0.00121661372988516973,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.60537407439864021619,	 0.10537407439864021619,	 8.09659401299026093568,	 12.00452377502564615952,	 1.48266342066373368880,	 99910.23350389600091148168,	 99911.33264930549194104970,	 0.00000000000000000000,	 0.00000000000000000000,	 -3.69425031662885627881,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.18471251583144282504,	 0.05000000000000000278,	 0.00169953983261547366,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.60554632492414639522,	 0.10554632492414639522,	 8.09833157361953581699,	 16.28573775446418636648,	 2.01099913067467817029,	 100073.55252067216497380286,	 100075.57457942394830752164,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.01013044458791956259,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.25050652222939595593,	 0.04999999999999999584,	 0.00230503412712454881,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.60574199598990019489,	 0.10574199598990019489,	 8.10030561286704120505,	 21.12790702601899894830,	 2.60828517290237638093,	 100259.07767931281705386937,	 100262.47925508441403508186,	 0.00000000000000000000,	 0.00000000000000000000,	 -6.49739542072431852660,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.32486977103621594853,	 0.05000000000000000278,	 0.00298946922460121200,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.60596097142780469547,	 0.10596097142780469547,	 8.10251504491497698268,	 25.92424096187797744051,	 3.19953012344576404047,	 100466.69883525178011041135,	 100471.81733175719273276627,	 0.00000000000000000000,	 0.00000000000000000000,	 -7.96913544069797019631,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.39845677203489854312,	 0.05000000000000000278,	 0.00366687079296293883,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.60618339673333299089,	 0.10618339673333299089,	 8.10475959409017043811,	 30.65300391992417772258,	 3.78209909425021528762,	 100677.59097678994294255972,	 100684.74311356930411420763,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.41884744156184083863,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.47094237207809203083,	 0.04999999999999999584,	 0.00433423280272227877,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.60641208431480686514,	 0.10641208431480686514,	 8.10706766155116831385,	 35.29223548998549375710,	 4.35326766265484010887,	 100894.42068366879539098591,	 100903.89615334015979897231,	 0.00000000000000000000,	 0.00000000000000000000,	 -10.83972837395995192367,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.54198641869799768500,	 0.05000000000000000971,	 0.00498842890210742917,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.60664583916639536199,	 0.10664583916639536199,	 8.10942721087919160539,	 39.90809892189240315474,	 4.92119824053093957161,	 101116.05491332297970075160,	 101128.16400938428705558181,	 0.00000000000000000000,	 0.00000000000000000000,	 -12.25210465321789321536,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.61260523266089472738,	 0.05000000000000000278,	 0.00563881284650997322,	 0.00000000000000000000,	 0.00000000000000000000
