0.00000000000000000000,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.49999999999999994449,	 0.00000000000000000000,	 0.78539816339744827900,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.52122187395056152059,	 0.02122187395056157611,	 0.85348351928872456806,	 29.31225544149219430778,	 34.34425478528328312677,	 565916.63868164003361016512,	 566506.40260001830756664276,	 0.00000000000000000000,	 0.00000000000000000000,	 -263.56725610898575951069,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.17836280544928762026,	 0.04999999999999999584,	 0.01302786988310902262,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.52122234040903314689,	 0.02122234040903320240,	 0.85348504690993942656,	 29.27711664319803119838,	 34.30302235428312229715,	 565929.07757421862334012985,	 566517.42624553781934082508,	 0.00000000000000000000,	 0.00000000000000000000,	 -263.25059150276302943894,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.16252957513815147195,	 0.05000000000000000278,	 0.01301222328603297493,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.52122353263430709625,	 0.02122353263430715176,	 0.85348895137653146836,	 29.24798001186351825709,	 34.26872716359308412848,	 565960.87024818873032927513,	 566548.04307889507617801428,	 0.00000000000000000000,	 0.00000000000000000000,	 -262.98679946698558751450,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.14933997334927973100,	 0.05000000000000000278,	 0.01299919916660303640,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.52122520133532113107,	 0.02122520133532118658,	 0.85349441628772315660,	 29.22602949252976856087,	 34.24278933147387249392,	 566005.36894189636223018169,	 566591.65325249626766890287,	 0.00000000000000000000,	 0.00000000000000000000,	 -262.78690472945396550131,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.13934523647269969615,	 0.05000000000000000278,	 0.01298933934356419698,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.52122708648772264617,	 0.02122708648772270168,	 0.85350059008727885423,	 29.21232215233455420389,	 34.22648149469622325114,	 566055.63967260438948869705,	 566641.36569035775028169155,	 0.00000000000000000000,	 0.00000000000000000000,	 -262.66080472011242363806,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.13304023600562153717,	 0.05000000000000000278,	 0.01298312980284531577,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.52122894962072130465,	 0.02122894962072136016,	 0.85350669179610050286,	 29.20722881418032912393,	 34.22026926668528545861,	 566105.32321923528797924519,	 566690.83663357747718691826,	 0.00000000000000000000,	 0.00000000000000000000,	 -262.61219214002665012231,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.13060960700133428247,	 0.05000000000000000971,	 0.01298075011874280475,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.52123059089664447452,	 0.02123059089664453003,	 0.85351206694723136259,	 29.20983242700012638693,	 34.22310422801091078782,	 566149.09057718585245311260,	 566734.70100868644658476114,	 0.00000000000000000000,	 0.00000000000000000000,	 -262.63312112313883517345,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.13165605615694175867,	 0.05000000000000000278,	 0.01298180506366867527,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.52123166722642477744,	 0.02123166722642483295,	 0.85351559191840542518,	 29.21703315476161577635,	 34.23139943945477625675,	 566177.79270465963054448366,	 566763.68705845135264098644,	 0.00000000000000000000,	 0.00000000000000000000,	 -262.69623733037343527030,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.13481186651867282933,	 0.05000000000000000278,	 0.01298493826850301985,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.52123198491811917332,	 0.02123198491811922883,	 0.85351663235748209679,	 29.22684358772663415493,	 34.24285184343710142230,	 566186.26448317908216267824,	 566772.55093436490278691053,	 0.00000000000000000000,	 0.00000000000000000000,	 -262.78396440937018496697,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.13919822046850960362,	 0.05000000000000000278,	 0.01298927853084596434,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 48.45000000000000284217,	 0.49999999999999994449,	 0.78539816339744827900, 15045055.56127350032329559326,	 0.52123145995601305458,	 0.02123145995601311009,	 0.85351491310894678222,	 29.23785232953716572979,	 34.25581894408575323041,	 566172.26549368118867278099,	 566758.99605944612994790077,	 0.00000000000000000000,	 0.00000000000000000000,	 -262.88374034043624760670,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.14418701702181202506,	 0.04999999999999999584,	 0.01299420386108218577,	 0.00000000000000000000,	 0.00000000000000000000
