0.00000000000000000000,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.50000000000000000000,	 0.00000000000000000000,	 7.06858347057703451100,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.52818284780718327553,	 0.02818284780718327553,	 7.33669583540253711362,	 3.94333258287781562856,	 0.53748072311375294507,	 26530.46687187162751797587,	 26530.61131463548736064695,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.40684924944680189718,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.07034246247234009208,	 0.04999999999999999584,	 0.00063146913741864543,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.52798207850324097024,	 0.02798207850324097024,	 7.33476820408594676337,	 4.24293897478663772915,	 0.57846940172193073160,	 26417.62078960011058370583,	 26417.78810302447527647018,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.51433556678512770688,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.07571677833925638534,	 0.05000000000000000278,	 0.00067967009046323841,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.52793868293701162742,	 0.02793868293701162742,	 7.33435158676568654812,	 6.15313656812929554718,	 0.83894758730031304683,	 26492.39375449015642516315,	 26492.74567101727370754816,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.19628600720464417506,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.10981430036023220875,	 0.05000000000000000278,	 0.00098573179176013109,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.52799887029772962777,	 0.02799887029772962777,	 7.33492941618233906809,	 9.50304422511660362716,	 1.29558768543170499399,	 26653.18951195721820113249,	 26654.02878568253800040111,	 0.00000000000000000000,	 0.00000000000000000000,	 -3.39159330707950124051,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.16957966535397508978,	 0.05000000000000000971,	 0.00152223671337639371,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.52820088566267653363,	 0.02820088566267653363,	 7.33686903331598205824,	 14.00830237148742796194,	 1.90930249781986560720,	 26957.84089394051261479035,	 26959.66361195460194721818,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.99751705612166752246,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.24987585280608337612,	 0.05000000000000000278,	 0.00224316600404003003,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.52850028025515372043,	 0.02850028025515372043,	 7.33974409262019378275,	 19.01552222239493517009,	 2.59076092877873609410,	 27291.03163877214683452621,	 27294.38765986718863132410,	 0.00000000000000000000,	 0.00000000000000000000,	 -6.77987688257736742514,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.33899384412886834905,	 0.04999999999999999584,	 0.00304348716617824358,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.52882437542848936829,	 0.02882437542848936829,	 7.34285698419923349434,	 24.02302637483558456211,	 3.27161844858611061682,	 27608.58163611959025729448,	 27613.93337975615577306598,	 0.00000000000000000000,	 0.00000000000000000000,	 -8.55982806440841059725,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.42799140322042056317,	 0.05000000000000000278,	 0.00384291471648479099,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.52915992990691895770,	 0.02915992990691895770,	 7.34608063628533347611,	 28.86044317839670014791,	 3.92868586765070659794,	 27935.48079329494066769257,	 27943.19807961827973485924,	 0.00000000000000000000,	 0.00000000000000000000,	 -10.27671675359646386028,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.51383583767982321522,	 0.05000000000000000278,	 0.00461421415608368867,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.52950516573573724877,	 0.02950516573573724877,	 7.34939803491228804688,	 33.51458217156893226729,	 4.56018057701632084644,	 28270.79425993715267395601,	 28281.19188338465028209612,	 0.00000000000000000000,	 0.00000000000000000000,	 -11.92589781106816460010,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.59629489055340834103,	 0.05000000000000000971,	 0.00535529579482005996,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.52986055917518726233,	 0.02986055917518726233,	 7.35281382108389180985,	 38.03188345645686041507,	 5.17242573821221984787,	 28616.93575664349191356450,	 28630.31275065215231734328,	 0.00000000000000000000,	 0.00000000000000000000,	 -13.52391420823579792909,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.67619571041178994086,	 0.05000000000000000278,	 0.00607358672502138208,	 0.00000000000000000000,	 0.00000000000000000000
5.71119999999999983231,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.53022814603578516390,	 0.03022814603578516390,	 7.35634763655467693866,	 42.48198221083388403940,	 5.77487420520139949076,	 28976.59818642438040114939,	 28993.27277246733137872070,	 0.00000000000000000000,	 0.00000000000000000000,	 -15.09545938012396604222,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.75477296900619827991,	 0.04999999999999999584,	 0.00678018170261520010,	 0.00000000000000000000,	 0.00000000000000000000
