0.00000000000000000000,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.50000000000000000000,	 0.00000000000000000000,	 7.06858347057703451100,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.79580212888473966792,	 0.29580212888473966792,	 10.13133875535652705935,	 6.67340750969439699958,	 0.65868960369784379516,	 279759.78314619360025972128,	 279760.00008219061419367790,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.46717635112040922785,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.07335881755602045862,	 0.04999999999999999584,	 0.00071388534249872430,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.79550228623283891771,	 0.29550228623283891771,	 10.12795580595297018078,	 7.24452911949101174827,	 0.71530023020369526421,	 279607.28507182502653449774,	 279607.54089903470594435930,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.59353788783967265097,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.07967689439198363810,	 0.05000000000000000278,	 0.00077530445741332845,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.79529826934600444943,	 0.29529826934600444943,	 10.12565432559564904125,	 9.46452749934273462884,	 0.93470774282885438211,	 279638.81658913544379174709,	 279639.25342841772362589836,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.08256813653444217138,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.10412840682672212800,	 0.05000000000000000971,	 0.00101317492145532929,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.79518542743640008297,	 0.29518542743640008297,	 10.12438148722544895008,	 13.15516050770622058508,	 1.29935448642516004902,	 279715.73356008942937478423,	 279716.57772113010287284851,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.89519838244385185888,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.14475991912219260405,	 0.05000000000000000278,	 0.00140847742481146248,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.79514741143492262410,	 0.29514741143492262410,	 10.12395269093469529764,	 17.87018792307993564350,	 1.76513941428049769833,	 279815.49981264636153355241,	 279817.05767122231191024184,	 0.00000000000000000000,	 0.00000000000000000000,	 -3.93313530250880383221,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.19665676512544019716,	 0.05000000000000000278,	 0.00191340035941120891,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.79515598836425849250,	 0.29515598836425849250,	 10.12404943244317578888,	 23.03007386437181125416,	 2.27478876096460380651,	 279895.81900828081415966153,	 279898.40634023433085530996,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.06872667491672501683,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.25343633374583623974,	 0.04999999999999999584,	 0.00246585125212542017,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.79519231383491284504,	 0.29519231383491284504,	 10.12445916238733190085,	 28.10961564694407499587,	 2.77640664020574412518,	 279994.03449740441283211112,	 279997.88871432031737640500,	 0.00000000000000000000,	 0.00000000000000000000,	 -6.18631579203845571868,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.30931578960192279704,	 0.05000000000000000278,	 0.00300957022527615584,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.79525982283636809100,	 0.29525982283636809100,	 10.12522064624014461742,	 32.88909374172504840317,	 3.24823476848753323054,	 280120.87726708024274557829,	 280126.15278163587208837271,	 0.00000000000000000000,	 0.00000000000000000000,	 -7.23735857544136340636,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.36186792877206819252,	 0.05000000000000000278,	 0.00352095643919786731,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.79534756351992719203,	 0.29534756351992719203,	 10.12621038096138903484,	 37.37998522861292371999,	 3.69140910788227616379,	 280236.25386625598184764385,	 280243.06711685686605051160,	 0.00000000000000000000,	 0.00000000000000000000,	 -8.22438882117056735410,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.41121944105852842322,	 0.05000000000000000971,	 0.00400124190348223000,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 534935.30884528008755296469,	 1.79545050996092592221,	 0.29545050996092592221,	 10.12737170173103962156,	 41.71133791719928751718,	 4.11867354587861100867,	 280371.36567596846725791693,	 280379.84741185721941292286,	 0.00000000000000000000,	 0.00000000000000000000,	 -9.17579966259998869305,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.45878998312999952347,	 0.05000000000000000971,	 0.00446424014124384861,	 0.00000000000000000000,	 0.00000000000000000000
