0.00000000000000000000,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.49999999999999994449,	 0.00000000000000000000,	 0.78539816339744827900,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69878782310837561642,	 0.19878782310837567193,	 1.53405358400523494922,	 -11.08125483455361859342,	 -7.22351223587754631694,	 508144.39604249637341126800,	 508170.48560700728558003902,	 0.00000000000000000000,	 0.00000000000000000000,	 41.34881574636279566448,	 0.00000000000000000000,	 0.00000000000000000000,	 2.06744078731813996086,	 0.05000000000000000278,	 0.00763784364615209890,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69871361222841321670,	 0.19871361222841327221,	 1.53372777002405924485,	 -11.60095650486476159813,	 -7.56389545237404181677,	 507917.80439737235428765416,	 507946.41065457958029583097,	 0.00000000000000000000,	 0.00000000000000000000,	 43.30183537286726647153,	 0.00000000000000000000,	 0.00000000000000000000,	 2.16509176864336350121,	 0.05000000000000000278,	 0.00799817552018066390,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69863589733742370580,	 0.19863589733742376131,	 1.53338660919455405107,	 -12.11829222010072726334,	 -7.90295946725798881261,	 507682.34486064082011580467,	 507713.57324481138493865728,	 0.00000000000000000000,	 0.00000000000000000000,	 45.24794387106081217098,	 0.00000000000000000000,	 0.00000000000000000000,	 2.26239719355304069737,	 0.05000000000000000278,	 0.00835717163005820184,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69855469140502890468,	 0.19855469140502896019,	 1.53303016357531096681,	 -12.63312198326701718543,	 -8.24062192866722931228,	 507438.08799064438790082932,	 507472.04191552998963743448,	 0.00000000000000000000,	 0.00000000000000000000,	 47.18669578808531639424,	 0.00000000000000000000,	 0.00000000000000000000,	 2.35933478940426599735,	 0.05000000000000000278,	 0.00871474728966837794,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69847001100103889293,	 0.19847001100103894844,	 1.53265851122859264599,	 -13.14530523972327635818,	 -8.57679981771404698065,	 507185.11290155455935746431,	 507221.89364911115262657404,	 0.00000000000000000000,	 0.00000000000000000000,	 49.11764103041091544810,	 0.00000000000000000000,	 0.00000000000000000000,	 2.45588205152054595004,	 0.05000000000000000278,	 0.00907081703093097318,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69838187622719671843,	 0.19838187622719677394,	 1.53227174590801840104,	 -13.65470046032245221568,	 -8.91140915231764552118,	 506923.50705056719016283751,	 506963.21365710720419883728,	 0.00000000000000000000,	 0.00000000000000000000,	 51.04032309921282717369,	 0.00000000000000000000,	 0.00000000000000000000,	 2.55201615496064126987,	 0.04999999999999999584,	 0.00942529428423581096,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69829031064481750235,	 0.19829031064481755786,	 1.53186997672730917941,	 -14.16116475739552349467,	 -9.24436471276072069259,	 506653.36601150559727102518,	 506696.09515097684925422072,	 0.00000000000000000000,	 0.00000000000000000000,	 52.95427745073110514795,	 0.00000000000000000000,	 0.00000000000000000000,	 2.64771387253655543503,	 0.05000000000000000278,	 0.00977809108190904816,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69819534119954329565,	 0.19819534119954335116,	 1.53145332781552334644,	 -14.66455350412768687818,	 -9.57557976973762414730,	 506374.79327853635186329484,	 506420.63914249965455383062,	 0.00000000000000000000,	 0.00000000000000000000,	 54.85902987141781039782,	 0.00000000000000000000,	 0.00000000000000000000,	 2.74295149357089051989,	 0.05000000000000000278,	 0.01012911776436675911,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69809699815554404623,	 0.19809699815554410174,	 1.53102193801292796316,	 -15.16471980356092608133,	 -9.90496571410518633627,	 506087.90033870370825752616,	 506136.95451160252559930086,	 0.00000000000000000000,	 0.00000000000000000000,	 56.75409428933394906380,	 0.00000000000000000000,	 0.00000000000000000000,	 2.83770471446669780846,	 0.05000000000000000971,	 0.01047828258223796986,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69799531508880374719,	 0.19799531508880380271,	 1.53057596082520941394,	 -15.66151330654388296182,	 -10.23243125947175080626,	 505792.80770228651817888021,	 505845.15902702644234523177,	 0.00000000000000000000,	 0.00000000000000000000,	 58.63896813215665559937,	 0.00000000000000000000,	 0.00000000000000000000,	 2.93194840660783295760,	 0.05000000000000000278,	 0.01082549084606927205,	 0.00000000000000000000,	 0.00000000000000000000
5.71119999999999983231,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69789032906170966886,	 0.19789032906170972437,	 1.53011556517173441527,	 -16.15477735045088536481,	 -10.55788054063598302434,	 505489.64808593236375600100,	 505545.38250668754335492849,	 0.00000000000000000000,	 0.00000000000000000000,	 60.51312133716313468312,	 0.00000000000000000000,	 0.00000000000000000000,	 3.02565606685815691179,	 0.05000000000000000278,	 0.01117064290599942278,	 0.00000000000000000000,	 0.00000000000000000000
5.71229999999999993321,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69778208118330631304,	 0.19778208118330636855,	 1.52964093782300136759,	 -16.64434302303194002093,	 -10.88120918541858372919,	 505178.57301379193086177111,	 505237.77337046037428081036,	 0.00000000000000000000,	 0.00000000000000000000,	 62.37597369635007993338,	 0.00000000000000000000,	 0.00000000000000000000,	 3.11879868481750399667,	 0.05000000000000000278,	 0.01151362998266681169,	 0.00000000000000000000,	 0.00000000000000000000
5.71340000000000003411,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69767061779528871668,	 0.19767061779528877219,	 1.52915228857772911297,	 -17.13001894767065635961,	 -11.20229755769018709088,	 504859.76344325748505070806,	 504922.50917854299768805504,	 0.00000000000000000000,	 0.00000000000000000000,	 64.22685589420753160539,	 0.00000000000000000000,	 0.00000000000000000000,	 3.21134279471037675791,	 0.05000000000000000278,	 0.01185432699647745447,	 0.00000000000000000000,	 0.00000000000000000000
5.71450000000000013500,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69755599246942412428,	 0.19755599246942417979,	 1.52864985899009009351,	 -17.61157642096664943665,	 -11.52100091292444261626,	 504533.44386403902899473906,	 504599.81059505685698240995,	 0.00000000000000000000,	 0.00000000000000000000,	 66.06495270516620621493,	 0.00000000000000000000,	 0.00000000000000000000,	 3.30324763525831022193,	 0.04999999999999999584,	 0.01219258211690400079,	 0.00000000000000000000,	 0.00000000000000000000
5.71560000000000023590,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69743826885873161370,	 0.19743826885873166921,	 1.52813393482792303502,	 -18.08873072960043515423,	 -11.83713699260093576981,	 504199.89816657238407060504,	 504269.95707266317913308740,	 0.00000000000000000000,	 0.00000000000000000000,	 67.88923132635606805252,	 0.00000000000000000000,	 0.00000000000000000000,	 3.39446156631780349144,	 0.05000000000000000278,	 0.01252820358490920952,	 0.00000000000000000000,	 0.00000000000000000000
5.71670000000000033680,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69731752425344539770,	 0.19731752425344545321,	 1.52760486160393682553,	 -18.56112060934110630228,	 -12.15047233474533250330,	 503859.48484733112854883075,	 503933.30183630983810871840,	 0.00000000000000000000,	 0.00000000000000000000,	 69.69836215003338963925,	 0.00000000000000000000,	 0.00000000000000000000,	 3.48491810750166974842,	 0.05000000000000000278,	 0.01286094515840072172,	 0.00000000000000000000,	 0.00000000000000000000
5.71780000000000043769,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69719385351133567053,	 0.19719385351133572604,	 1.52706306172760797324,	 -19.02828851997533021745,	 -12.46070905444344312230,	 503512.64903186593437567353,	 503590.28366693569114431739,	 0.00000000000000000000,	 0.00000000000000000000,	 71.49064204560342261630,	 0.00000000000000000000,	 0.00000000000000000000,	 3.57453210228017148609,	 0.05000000000000000278,	 0.01319049203798796158,	 0.00000000000000000000,	 0.00000000000000000000
5.71890000000000053859,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69706737291514164756,	 0.19706737291514170307,	 1.52650905131566960726,	 -19.48966447039954275056,	 -12.76747389974646118560,	 503159.92938064492773264647,	 503241.43357553530950099230,	 0.00000000000000000000,	 0.00000000000000000000,	 73.26393055152060185264,	 0.00000000000000000000,	 0.00000000000000000000,	 3.66319652757603009263,	 0.05000000000000000278,	 0.01351644918808838323,	 0.00000000000000000000,	 0.00000000000000000000
5.72000000000000063949,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69693822349111267389,	 0.19693822349111272940,	 1.52594345461986047319,	 -19.94455554188897039580,	 -13.07031101415059382020,	 502801.95896899420768022537,	 502887.37548399751540273428,	 0.00000000000000000000,	 0.00000000000000000000,	 75.01560725815042474096,	 0.00000000000000000000,	 0.00000000000000000000,	 3.75078036290752159232,	 0.05000000000000000278,	 0.01383833357484884688,	 0.00000000000000000000,	 0.00000000000000000000
5.72109999999999985221,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69680657339919405135,	 0.19680657339919410687,	 1.52536701436906763085,	 -20.39214227399248358097,	 -13.36867919779110813749,	 502439.46030341676669195294,	 502528.82109516346827149391,	 0.00000000000000000000,	 0.00000000000000000000,	 76.74255501107228383262,	 0.00000000000000000000,	 0.00000000000000000000,	 3.83712775055361410281,	 0.04999999999999999584,	 0.01415557116723575350,	 0.00000000000000000000,	 0.00000000000000000000
5.72219999999999995310,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69667261914461464656,	 0.19667261914461470207,	 1.52478059693558165577,	 -20.83148202628089507016,	 -13.66195377101914587570,	 502073.23545015521813184023,	 502166.55994057597126811743,	 0.00000000000000000000,	 0.00000000000000000000,	 78.44116961446539448843,	 0.00000000000000000000,	 0.00000000000000000000,	 3.92205848072327034615,	 0.05000000000000000971,	 0.01446749881886050595,	 0.00000000000000000000,	 0.00000000000000000000
5.72330000000000005400,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69653658552093333789,	 0.19653658552093339340,	 1.52418519193912027632,	 -21.26151855741331075933,	 -13.94943256886237215042,	 501704.15269977052230387926,	 501801.44603426713729277253,	 0.00000000000000000000,	 0.00000000000000000000,	 80.10739340234206906644,	 0.00000000000000000000,	 0.00000000000000000000,	 4.00536967011710398623,	 0.05000000000000000971,	 0.01477337053814346823,	 0.00000000000000000000,	 0.00000000000000000000
5.72440000000000015490,	 36.25000000000000000000,	 0.49999999999999994449,	 0.78539816339744827900, 1444325.33388225594535470009,	 0.69639872434084704178,	 0.19639872434084709729,	 1.52358190654354652693,	 -21.68109649639584901593,	 -14.23034521693840304124,	 501333.13129009929252788424,	 501434.38265259593026712537,	 0.00000000000000000000,	 0.00000000000000000000,	 81.73676785756698848218,	 0.00000000000000000000,	 0.00000000000000000000,	 4.08683839287834960174,	 0.05000000000000000278,	 0.01507236725254828928,	 0.00000000000000000000,	 0.00000000000000000000
