0.00000000000000000000,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 213974.12353811200591735542,	 1.50000000000000000000,	 0.00000000000000000000,	 7.06858347057703451100,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 213974.12353811200591735542,	 1.99067122121135309243,	 0.49067122121135309243,	 12.44941512332109390115,	 7.15543056473862737477,	 0.57476037981371397301,	 185083.57772335590561851859,	 185083.74289810299524106085,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.15490769884936361755,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.05774538494246818365,	 0.05000000000000000278,	 0.00093547881253701391,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 213974.12353811200591735542,	 1.99037133971203239469,	 0.49037133971203239469,	 12.44566456116814734401,	 7.56854937385049630905,	 0.60812737934985083843,	 185042.65130837252945639193,	 185042.83621782728005200624,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.22213853709898168098,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.06110692685494908266,	 0.04999999999999999584,	 0.00098986143324152759,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 213974.12353811200591735542,	 1.99010409966479850929,	 0.49010409966479850929,	 12.44232271571940984245,	 8.84938664924607110152,	 0.71123268954163298972,	 185074.32883007021155208349,	 185074.58175603955169208348,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.42953866516114191931,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.07147693325805709597,	 0.05000000000000000278,	 0.00115776579274696340,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 213974.12353811200591735542,	 1.98988605841832799648,	 0.48988605841832799648,	 12.43959643528428848924,	 11.12151045676464988787,	 0.89404109808731779818,	 185152.25614462120574899018,	 185152.65579936373978853226,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.79717043456840230853,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.08985852172842012653,	 0.05000000000000000278,	 0.00145542650698280850,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 213974.12353811200591735542,	 1.98972011396619619106,	 0.48972011396619619106,	 12.43752174770893503819,	 14.23602645077930617390,	 1.14460314036449162245,	 185288.38889399453182704747,	 185289.04395216898410581052,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.30103346160159993872,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.11505167308008000526,	 0.05000000000000000278,	 0.00186339892065927933,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 213974.12353811200591735542,	 1.98960935843858655048,	 0.48960935843858655048,	 12.43613714498568079136,	 17.96231011879005734500,	 1.44436410674616588778,	 185396.14238783280597999692,	 185397.18548166923574171960,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.90381446110542995598,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.14519072305527150335,	 0.05000000000000000278,	 0.00235147129461129104,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 213974.12353811200591735542,	 1.98954441970968542996,	 0.48954441970968542996,	 12.43532535371035230298,	 22.17679613434265561978,	 1.78337080080705101537,	 185512.82314731754013337195,	 185514.41335302413790486753,	 0.00000000000000000000,	 0.00000000000000000000,	 -3.58548576878174030114,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.17927428843908704836,	 0.05000000000000000971,	 0.00290343249618129143,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 213974.12353811200591735542,	 1.98951898767675960933,	 0.48951898767675960933,	 12.43500743813191000697,	 26.69766090949259407239,	 2.14697586972278786632,	 185604.65970255967113189399,	 185606.96445525225135497749,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.31657276562089453620,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.21582863828104473236,	 0.05000000000000000278,	 0.00349542526309812914,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 213974.12353811200591735542,	 1.98950778059948851784,	 0.48950778059948851784,	 12.43486734427246354073,	 31.30506643751333939463,	 2.51752315250331504259,	 185633.91173579479800537229,	 185637.08069720648927614093,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.06160001393856795460,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.25308000069692843104,	 0.05000000000000000971,	 0.00409871342143682416,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 213974.12353811200591735542,	 1.98951528295306179217,	 0.48951528295306179217,	 12.43496112721541990709,	 35.82374174183732407073,	 2.88088892078904246219,	 185715.34663069125963374972,	 185719.49639117822516709566,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.79214232828190045410,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.28960711641409503381,	 0.05000000000000000278,	 0.00469029085591499920,	 0.00000000000000000000,	 0.00000000000000000000
