0.00000000000000000000,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 374454.71619169606128707528,	 1.50000000000000000000,	 0.00000000000000000000,	 7.06858347057703451100,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.04000000000000000083,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000
5.70020000000000059970,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 374454.71619169606128707528,	 1.75601747023081711241,	 0.25601747023081711241,	 9.68740679947145544304,	 6.34045375569486591161,	 0.65450474899441624110,	 168526.30016936251195147634,	 168526.51435759573359973729,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.49088436781528344000,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.07454421839076418033,	 0.05000000000000000278,	 0.00085738575403966806,	 0.00000000000000000000,	 0.00000000000000000000
5.70130000000000070060,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 374454.71619169606128707528,	 1.75571930439084811226,	 0.25571930439084811226,	 9.68411730080803678788,	 6.88465280318249117641,	 0.71092207883603808494,	 168483.01075448229676112533,	 168483.26345958339516073465,	 0.00000000000000000000,	 0.00000000000000000000,	 -1.61967138382110431571,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.08098356919105521856,	 0.05000000000000000278,	 0.00093137019800257218,	 0.00000000000000000000,	 0.00000000000000000000
5.70239999999999991331,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 374454.71619169606128707528,	 1.75546860908183499639,	 0.25546860908183499639,	 9.68135195050891539381,	 8.63372142021434285653,	 0.89178881878790672300,	 168572.99706393849919550121,	 168573.39470758716925047338,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.03202452991589588294,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.10160122649579478304,	 0.04999999999999999584,	 0.00116840489070912956,	 0.00000000000000000000,	 0.00000000000000000000
5.70350000000000001421,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 374454.71619169606128707528,	 1.75527845596807230422,	 0.25527845596807230422,	 9.67925468769984576056,	 11.60508670799371699900,	 1.19896490819083112456,	 168748.60991793099674396217,	 168749.32867635652655735612,	 0.00000000000000000000,	 0.00000000000000000000,	 -2.73225004070269195111,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.13661250203513458645,	 0.04999999999999999584,	 0.00157094629461422943,	 0.00000000000000000000,	 0.00000000000000000000
5.70460000000000011511,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 374454.71619169606128707528,	 1.75516024383143842691,	 0.25516024383143842691,	 9.67795100070413027993,	 15.42582136084872423964,	 1.59391397618425645355,	 168942.26955102823558263481,	 168943.53983190996223129332,	 0.00000000000000000000,	 0.00000000000000000000,	 -3.63252069270851718485,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.18162603463542587034,	 0.05000000000000000278,	 0.00208849947017954868,	 0.00000000000000000000,	 0.00000000000000000000
5.70570000000000021600,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 374454.71619169606128707528,	 1.75509733009822688210,	 0.25509733009822688210,	 9.67725720067436157024,	 19.86097775771089857244,	 2.05233542375280508807,	 169132.97486493617179803550,	 169135.08090528196771629155,	 0.00000000000000000000,	 0.00000000000000000000,	 -4.67742817120676068754,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.23387140856033805658,	 0.05000000000000000278,	 0.00268921556150739831,	 0.00000000000000000000,	 0.00000000000000000000
5.70680000000000031690,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 374454.71619169606128707528,	 1.75507758491244336696,	 0.25507758491244336696,	 9.67703945985373970018,	 24.61275168828363746343,	 2.54341751838383434148,	 169232.21261555305682122707,	 169235.44710188946919515729,	 0.00000000000000000000,	 0.00000000000000000000,	 -5.79670674447299472121,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.28983533722364979157,	 0.05000000000000000971,	 0.00333270885720700219,	 0.00000000000000000000,	 0.00000000000000000000
5.70790000000000041780,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 374454.71619169606128707528,	 1.75507493024441929563,	 0.25507493024441929563,	 9.67701018558345715803,	 29.35729256134631626196,	 3.03371516597988089003,	 169338.61164511801325716078,	 169343.21335897216340526938,	 0.00000000000000000000,	 0.00000000000000000000,	 -6.91415531884417511321,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.34570776594220881117,	 0.05000000000000000971,	 0.00397516214983104944,	 0.00000000000000000000,	 0.00000000000000000000
5.70900000000000051870,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 374454.71619169606128707528,	 1.75510401028169393811,	 0.25510401028169393811,	 9.67733086721749202752,	 33.90981481308781297912,	 3.50404623737307963083,	 169513.70484852790832519531,	 169519.84401854473981074989,	 0.00000000000000000000,	 0.00000000000000000000,	 -7.98595688197574204992,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.39929784409878710250,	 0.05000000000000000278,	 0.00459141211898914624,	 0.00000000000000000000,	 0.00000000000000000000
5.71010000000000061959,	 2.00000000000000000000,	 1.50000000000000000000,	 7.06858347057703451100, 374454.71619169606128707528,	 1.75516869475845038728,	 0.25516869475845038728,	 9.67804419772670243560,	 38.19340312838946971397,	 3.94639684920645494870,	 169723.80775402465951628983,	 169731.59477807037183083594,	 0.00000000000000000000,	 0.00000000000000000000,	 -8.99377219065444855062,	 0.00000000000000000000,	 0.00000000000000000000,	 -0.44968860953272249414,	 0.05000000000000000971,	 0.00517093645552739196,	 0.00000000000000000000,	 0.00000000000000000000
