50000.00000000000000000000, 	 4000000, 	 0.550, 	 400, 	 0.350, 	 -0.81460199994989923589, 	 0.28837630917792278495, 	 0.25177722524438844731,  	 0.25458238711439651336
50000.00000000000000000000, 	 4000000, 	 0.550, 	 425, 	 0.350, 	 -0.31149234029313466188, 	 0.25628199903940990234, 	 0.21211453610131861258,  	 0.21634961292964402513
50000.00000000000000000000, 	 4000000, 	 0.550, 	 450, 	 0.350, 	 0.09708511148373644151, 	 0.22613451956593938474, 	 0.17307245958155148546,  	 0.17942593981588519925
50000.00000000000000000000, 	 4000000, 	 0.550, 	 475, 	 0.350, 	 0.41537818087588773697, 	 0.19695687060139507873, 	 0.13462753482454695164,  	 0.14428884445902209754
50000.00000000000000000000, 	 4000000, 	 0.600, 	 400, 	 0.350, 	 0.06122114411958101687, 	 0.22633539437160513086, 	 0.17810295639587836458,  	 0.18326363824241320710
50000.00000000000000000000, 	 4000000, 	 0.600, 	 425, 	 0.350, 	 0.43118837953076283309, 	 0.19121075494455541666, 	 0.13490159118602224053,  	 0.14263255698285257078
50000.00000000000000000000, 	 4000000, 	 0.600, 	 450, 	 0.350, 	 0.69295573032495194621, 	 0.15878535048541544961, 	 0.09301702963547324454,  	 0.10479422061260323940
50000.00000000000000000000, 	 4000000, 	 0.600, 	 475, 	 0.350, 	 0.85161642832251227553, 	 0.12671259224338546345, 	 0.06235420084532364293,  	 0.07291213946923263967
50000.00000000000000000000, 	 4000000, 	 0.650, 	 400, 	 0.350, 	 0.69879162371399206055, 	 0.15558268599538041532, 	 0.09360959641578223134,  	 0.10406221383416733306
50000.00000000000000000000, 	 4000000, 	 0.650, 	 425, 	 0.350, 	 0.88061446766267093000, 	 0.11752276082061913209, 	 0.05621853152400676373,  	 0.06562735255870158491
50000.00000000000000000000, 	 4000000, 	 0.650, 	 450, 	 0.350, 	 0.93798725276860484001, 	 0.08177517051847686680, 	 0.03591826400717978984,  	 0.04736558267911485098
50000.00000000000000000000, 	 4000000, 	 0.650, 	 475, 	 0.350, 	 0.87703994314703814794, 	 0.10518087713630770719, 	 0.05654412885959222979,  	 0.06647391530574021934
50000.00000000000000000000, 	 4000000, 	 0.700, 	 400, 	 0.350, 	 0.94784563144782418842, 	 0.07429069999405292501, 	 0.03138401346153189136,  	 0.04318129004428232498
50000.00000000000000000000, 	 4000000, 	 0.700, 	 425, 	 0.350, 	 0.86453445539016282595, 	 0.10405780762211615242, 	 0.06268039448349659037,  	 0.06926342340672746178
50000.00000000000000000000, 	 4000000, 	 0.700, 	 450, 	 0.350, 	 0.63712233222882641570, 	 0.14364689924686499523, 	 0.10720586036261894880,  	 0.11352738011536143981
50000.00000000000000000000, 	 4000000, 	 0.700, 	 475, 	 0.350, 	 0.27299561173492792321, 	 0.18260325037110949897, 	 0.15730491809594424057,  	 0.16085110537628621863
50000.00000000000000000000, 	 4000000, 	 0.750, 	 400, 	 0.350, 	 0.56937630433541697172, 	 0.14356771346286437141, 	 0.11933909550940109690,  	 0.12311805219373254949
50000.00000000000000000000, 	 4000000, 	 0.750, 	 425, 	 0.350, 	 0.11053877389858801639, 	 0.18763867181199064826, 	 0.17668523875341698992,  	 0.17738421633322812299
50000.00000000000000000000, 	 4000000, 	 0.750, 	 450, 	 0.350, 	 -0.51677051336526824699, 	 0.23081376551110288631, 	 0.23298756203182952040,  	 0.23194266441089203545
50000.00000000000000000000, 	 4000000, 	 0.750, 	 475, 	 0.350, 	 -1.30351145009169888667, 	 0.27313304702074353569, 	 0.28829166459027477654,  	 0.28606126073545817823
50000.00000000000000000000, 	 4200000, 	 0.550, 	 400, 	 0.350, 	 -0.52095892377814800867, 	 0.26364323653624605059, 	 0.23060703723709449764,  	 0.23303335934583674360
50000.00000000000000000000, 	 4200000, 	 0.550, 	 425, 	 0.350, 	 -0.05303156459827218505, 	 0.23127338548648709859, 	 0.18970712745282705680,  	 0.19381328323489607768
50000.00000000000000000000, 	 4200000, 	 0.550, 	 450, 	 0.350, 	 0.31537086567141592308, 	 0.20055066820108261028, 	 0.14944044583958157602,  	 0.15618278347104422310
50000.00000000000000000000, 	 4200000, 	 0.550, 	 475, 	 0.350, 	 0.58872790362414795240, 	 0.17011929491764329891, 	 0.10977554804662462140,  	 0.12096346097436755374
50000.00000000000000000000, 	 4200000, 	 0.600, 	 400, 	 0.350, 	 0.28764591738277578425, 	 0.19981146707066085866, 	 0.15462890615213539802,  	 0.15963982899264317350
50000.00000000000000000000, 	 4200000, 	 0.600, 	 425, 	 0.350, 	 0.60832441353392985306, 	 0.16494900807681789345, 	 0.11006735256923805277,  	 0.11836376897850535428
50000.00000000000000000000, 	 4200000, 	 0.600, 	 450, 	 0.350, 	 0.81502939344883873485, 	 0.13119787921584621926, 	 0.07122169958370695719,  	 0.08136937042056537062
50000.00000000000000000000, 	 4200000, 	 0.600, 	 475, 	 0.350, 	 0.91303612821489621432, 	 0.09781351809988823864, 	 0.04634638058937353561,  	 0.05593392537017126409
