3.75219042817302295134,	 0.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00064417635699864917,	 0.00064417635699867020,	 3.14564143665659390336,	 0.42059152854233650132,	 0.13370612544746052208,	 0.25160076923196800225,	 114.17728646245812740290,	 -113.62494775363782650857,	 114.18622512644921584979,	 0.00402774457913262877,	 1.01255312813892039969,	 1.48993769360381445033,	 0.00044899240792932064
3.75219042817302295134,	 0.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00048391132711422813,	 0.00048391132711441786,	 3.14463389379758906372,	 0.06304885478892299777,	 0.02004966457725945728,	 0.21666550476600154873,	 85.77104952404866367033,	 -64.77175378595920562930,	 85.77125051857349546935,	 -0.02479603094842744090,	 -41.56355602652336500569,	 26.50990496822689834744,	 0.00006733325143858056
3.75219042817302295134,	 0.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00046145861302782087,	 0.00046145861302786663,	 3.14449275255050908484,	 0.01442591650991026202,	 0.00458767681948363520,	 0.32432873644292470328,	 81.79140956947851748282,	 -8.78183604747439439109,	 81.79142009286782410982,	 -0.04609939194094566511,	 -337.69938761902318447028,	 1234.87592133088878654235,	 0.00001540707386168452
3.75219042817302295134,	 0.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00045913822500209811,	 0.00045913822500226795,	 3.14447816641167188223,	 0.01227591741680825188,	 0.00390396013810359556,	 0.45056124272185477109,	 81.38013150031146381025,	 -0.87229068569051781967,	 81.38013912076384315242,	 -0.06496009103529352957,	 -559.20125234559191085282,	 3318.29849536201618320774,	 0.00001311092178450053
3.75219042817302295134,	 1.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00045899792643422366,	 0.00045899792643442673,	 3.14447728448509344901,	 0.01519306830015554506,	 0.00483166737286302300,	 0.57815133587559885964,	 81.35526422663326684415,	 -0.02973571967934250659,	 81.35527589913806423283,	 -0.08336571133404065137,	 -579.85212886615659044764,	 3566.11406970400776117458,	 0.00001622650211967918
3.75219042817302295134,	 1.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00045905434208570739,	 0.00045905434208579830,	 3.14447763911779576418,	 0.01854693274855425886,	 0.00589825556964613217,	 0.70520206316536537816,	 81.36526364047179527006,	 0.05015139987170434688,	 81.36528103518118371085,	 -0.10158846675753711863,	 -578.82551641812551679322,	 3556.70060751870596504887,	 0.00001980849392537608
3.75219042817302295134,	 1.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00045913940092145999,	 0.00045913940092148255,	 3.14447817380358252137,	 0.02194152616344051052,	 0.00697779566296047402,	 0.83142468362249299929,	 81.38033992656910697860,	 0.06680416033883786187,	 81.38036427138526107683,	 -0.11962632093133347688,	 -576.14975891580183997576,	 3528.01408069528906708001,	 0.00002343398238589010
3.75219042817302295134,	 1.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00045924279314268901,	 0.00045924279314279694,	 3.14447882373437348491,	 0.02535138552895480415,	 0.00806218993672457723,	 0.95666640759099852431,	 81.39866572064121896801,	 0.08009117068935936445,	 81.39869822009450217593,	 -0.13744968070958146766,	 -572.95120923489594133571,	 3493.75640485938765777973,	 0.00002707577239748584
3.75219042817302295134,	 2.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00045936533394264067,	 0.00045936533394274801,	 3.14447959403456689387,	 0.02877688295231073043,	 0.00915155659044623176,	 1.08078779457030527134,	 81.42038551191379269767,	 0.09423582234093560994,	 81.42042738740781260276,	 -0.15502746480306922594,	 -569.29931212479107216495,	 3454.82993754371545946924,	 0.00003073426080201694
3.75219042817302295134,	 2.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00045950862748944665,	 0.00045950862748961877,	 3.14448049478812485802,	 0.03221981627175085627,	 0.01024646720663529784,	 1.20365504636502529401,	 81.44578363181167901530,	 0.10957915861306306848,	 81.44583612685678986054,	 -0.17232921313712015743,	 -565.21255008659079521749,	 3411.52611517378500138875,	 0.00003441136704594430
3.75219042817302295134,	 2.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00045967445104189153,	 0.00045967445104200407,	 3.14448153716708134198,	 0.03568198328675924874,	 0.01134749333554865673,	 1.32514019450762288166,	 81.47517509122032208779,	 0.12622634810340038758,	 81.47523947402282828989,	 -0.18932530765496555225,	 -560.70683832647489452938,	 3364.10971369879052872420,	 0.00003810901045068119
