3.93979994958167445418,	 0.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.33201783325143030545,	 0.33201783325143036096,	 5.57403833532012615848,	 542.57169732179033871944,	 97.33906813732552620877,	 135.40356514720937752827,	 58848.62871158032066887245,	 261.18443167214218192385,	 63586.07580450177192687988,	 7.86103780202831803336,	 3.61351839076091918557,	 1.23025559314146315515,	 0.28330855844777019792
3.93979994958167445418,	 0.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.33238622709076581785,	 0.33238622709076598438,	 5.57712196571910201470,	 541.65637467773524349468,	 97.12112770836547781528,	 135.44189792951127060405,	 58913.92481949835928389803,	 266.62303369949472653389,	 63630.18154317067819647491,	 7.74990611137428064836,	 3.57141558128794134319,	 1.23334620434632546981,	 0.28263515441025766073
3.93979994958167445418,	 0.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.33276996294316618652,	 0.33276996294316624203,	 5.58033492273600018052,	 540.77753079736828567547,	 96.90771939047499472508,	 135.39208233813826609548,	 58981.94022843006678158417,	 285.89509431221307522719,	 63677.49326716158975614235,	 7.66202351639311096676,	 3.53971122860963660628,	 1.23568373002174736186,	 0.28197350618506883402
3.93979994958167445418,	 0.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.33319272226175766782,	 0.33319272226175777885,	 5.58387568793717026239,	 539.92346293296338899381,	 96.69331717025119132813,	 135.24120722805275818246,	 59056.87236665446107508615,	 318.44510943327168206451,	 63731.67115934785397257656,	 7.60334979237162489341,	 3.52151039848174685076,	 1.23703525371330580462,	 0.28130504564052932759
3.93979994958167445418,	 1.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.33366828001153603367,	 0.33366828001153608918,	 5.58786000156442597131,	 539.09048246230872791784,	 96.47530222864929783100,	 134.98840559138781713955,	 59141.16278314670489635319,	 355.35357932598049046646,	 63794.90475320132100023329,	 7.58277221902908671325,	 3.52117179311522132679,	 1.23708804110220116357,	 0.28062074056445768244
3.93979994958167445418,	 1.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.33419515620141826417,	 0.33419515620141843071,	 5.59227593014035129215,	 538.26906401582664329908,	 96.25223625228333901305,	 134.64067680666883575213,	 59234.54915631745097925887,	 389.55488632387670122625,	 63866.79564810013107489794,	 7.59670418280372938824,	 3.53721351841186093523,	 1.23594921292175552452,	 0.27991661538020490285
3.93979994958167445418,	 1.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.33476719405695654075,	 0.33476719405695654075,	 5.59707234886820614861,	 537.45721893657309919945,	 96.02470460208598979079,	 134.20643517600171890081,	 59335.94022630864492384717,	 419.34505559128672302904,	 63946.31217326757905539125,	 7.64212794353572366646,	 3.56832479852263295683,	 1.23372243276520299204,	 0.27919507141181226784
3.93979994958167445418,	 1.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.33537810676280277455,	 0.33537810676280283007,	 5.60219699551454031194,	 536.65377303127206687350,	 95.79344915235036239665,	 133.69328025700787065944,	 59444.22168411310121882707,	 444.88263723550414852070,	 64032.41413436506991274655,	 7.71641923413552888178,	 3.61336460048096697051,	 1.23050541689593351258,	 0.27845897140441377982
3.93979994958167445418,	 2.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.33602218480610401841,	 0.33602218480610401841,	 5.60760238927499177208,	 535.85768430755661029252,	 95.55914401713452832610,	 133.10751407133912493919,	 59558.38154492639296222478,	 466.65846455315659113694,	 64124.15654757012089248747,	 7.81738211189637155485,	 3.67138804337425339597,	 1.22638645343368524188,	 0.27771091262768871077
3.93979994958167445418,	 2.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.33669452598667914955,	 0.33669452598667920507,	 5.61324776061491892420,	 535.06800195159132726985,	 95.32235610654318236357,	 132.45391334539576178031,	 59677.55091638967860490084,	 485.28873527727529335607,	 64220.72670324099453864619,	 7.94331767013344869355,	 3.74168189136163631403,	 1.22144095956462450658,	 0.27695308889965625232
3.93979994958167445418,	 2.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.33739115905338623591,	 0.33739115905338640244,	 5.61910009694584910989,	 534.28386857312898428063,	 95.08352927607188576076,	 131.73555314184403641775,	 59801.02591256503365002573,	 501.46121314528346601946,	 64321.46468236184591660276,	 8.09308346613768847533,	 3.82379590404637692558,	 1.21572903306682023050,	 0.27618723298455560844
3.93979994958167445418,	 2.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.33810912195172804218,	 0.33810912195172820871,	 5.62513481348982491426,	 533.50452058359360307804,	 94.84297501709265532099,	 130.95361782312002674189,	 59928.28152296231564832851,	 515.91126532609393962048,	 64425.87647800874401582405,	 8.26615295780240444401,	 3.91757509262596803623,	 1.20929365138629574261,	 0.27541458318161698982
3.93979994958167445418,	 3.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.33884651786304620380,	 0.33884651786304625931,	 5.63133624244085417843,	 532.72928866581867168861,	 94.60086660265055513719,	 130.10715499203519129878,	 60058.98154522808181354776,	 529.41086483681260688172,	 64533.64352621432044543326,	 8.46268673149625882957,	 4.02319861263273548246,	 1.20215917507473157855,	 0.27463586259067751527
3.93979994958167445418,	 3.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.33960256242851771802,	 0.33960256242851782904,	 5.63769805198225792964,	 531.95760100695929395442,	 94.35723518749269089767,	 129.19272971912735670230,	 60192.98695538072206545621,	 542.76506679492604234838,	 64644.63087149462808156386,	 8.68362671917365602781,	 4.14123083108722589429,	 1.19432991644315289470,	 0.27385126522494912527
