4.31501899239897568350,	 0.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00871385443826522277,	 0.00871385443826523665,	 3.19658196085119294949,	 0.19498581622989746842,	 0.06099822204401610798,	 0.24250834550656560906,	 1544.49048553332954725192,	 3.07878421077446517984,	 1544.49234592487573536346,	 -0.02561597542500926306,	 -14.22948679148785267046,	 5.15009615690137323440,	 0.00020401434872939321
4.31501899239897568350,	 0.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00871819698321951719,	 0.00871819698321951372,	 3.19660948368273478692,	 0.58026983562161793540,	 0.18152665772395301658,	 0.72569029406170748597,	 1545.26018158602300900384,	 4.55065102589922432230,	 1545.27665754975532763638,	 -0.07716789544204834261,	 -14.40434881764274699378,	 5.21076488611239074800,	 0.00060713184574049317
4.31501899239897568350,	 0.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00872669158780103871,	 0.00872669158780114453,	 3.19666332240197448300,	 0.96455807723404318743,	 0.30173902596325774539,	 1.20743585792177343663,	 1546.76581104627894092118,	 7.49042084734728419448,	 1546.81133426617361692479,	 -0.12846650719883878633,	 -14.42644999700361552186,	 5.21952073222447232581,	 0.00100918841731347029
4.31501899239897568350,	 0.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00873932707031177536,	 0.00873932707031184822,	 3.19674340680306068307,	 1.34704396303499907006,	 0.42138007078338690636,	 1.68674205870635196547,	 1549.00539200969660669216,	 10.39039675129449946667,	 1549.09417259172323610983,	 -0.17935597514480702830,	 -14.42275878457215476658,	 5.21994450005575316709,	 0.00140932788524780208
4.31501899239897568350,	 1.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00875600235588103182,	 0.00875600235588121396,	 3.19684909723937193959,	 1.72701304945005418290,	 0.54022351287754255544,	 2.16263347971537678305,	 1551.96100942192629190686,	 13.20567623298235915286,	 1552.10693014385924470844,	 -0.22967166256809351532,	 -14.40613874493727308845,	 5.21648297685512041255,	 0.00180679111553975189
4.31501899239897568350,	 1.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00877657959518352015,	 0.00877657959518359128,	 3.19697952124610607072,	 2.10376795299873942113,	 0.65804861714558027241,	 2.63413679441851922292,	 1555.60823012618789107364,	 15.91162655163094008515,	 1555.82474411745147335751,	 -0.27924675227500228569,	 -14.37979419761611588058,	 5.21025668295254718032,	 0.00220083769098507707
4.31501899239897568350,	 1.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00880088822566982287,	 0.00880088822566988359,	 3.19713359922882478514,	 2.47662713912781384806,	 0.77463986482303925918,	 3.10027695185054774640,	 1559.91682269774173619226,	 18.48557984215663196892,	 1560.21685615782826062059,	 -0.32791185566938590989,	 -14.34466008167189698952,	 5.20160572942156917975,	 0.00259074485730886091
4.31501899239897568350,	 1.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00882872645314747295,	 0.00882872645314760132,	 3.19731005379281141288,	 2.84492786715705125999,	 0.88978792150052932186,	 3.56007289638849089286,	 1564.85102004726627455966,	 20.90595941994272166653,	 1565.24688131989046269155,	 -0.37549400753360445693,	 -14.30083758603181998126,	 5.19058475004188579760,	 0.00297581079990714981
4.31501899239897568350,	 2.12500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00885986284836381977,	 0.00885986284836385446,	 3.19750741979389019320,	 3.20802924245237175427,	 1.00329063275767471630,	 4.01253130330336738041,	 1570.36980240771322314686,	 23.15241801467584892293,	 1570.87309845460276847007,	 -0.42181539075202251210,	 -14.24800431817678614266,	 5.17710412480653481282,	 0.00335535800795156835
4.31501899239897568350,	 2.37500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00889403821853651522,	 0.00889403821853658114,	 3.19772405612684629261,	 3.56531512658564109230,	 1.11495396851222650092,	 4.45663809284046141812,	 1576.42722905460414040135,	 25.20603614597977681910,	 1577.04879023055468678649,	 -0.46669179874555255516,	 -14.18555450271967366405,	 5.16097805831647704622,	 0.00372873646119298947
4.31501899239897568350,	 2.62500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00893096776354407318,	 0.00893096776354422930,	 3.19795815931562676937,	 3.91619687907201186050,	 1.22459290709109547279,	 4.89134767262872305338,	 1582.97282048070292148623,	 27.04952216811325982349,	 1583.72263437475180580805,	 -0.50993084148874068262,	 -14.11264840739098858080,	 5.14194142478843918553,	 0.00409532660877500593
4.31501899239897568350,	 2.87500000000000000000,	 0.99999999999999988898,	 3.14159265358979311600,	 100000.00000000000000000000,	 1.00897034351177250500,	 0.00897034351177263510,	 3.19820777887641094495,	 4.26011592066441213689,	 1.33203225531552837957,	 5.31557000953109959340,	 1589.95199013866067616618,	 28.66740540542588888684,	 1590.83914510326121671824,	 -0.55132992316709217295,	 -14.02822599414937876361,	 5.11965446709150207028,	 0.00445454212718063292
