#t [s],	 x [cm],	 K [g/cm^2/s^2],	 A0 [cm^2],	 A [cm^2],	 Q [cm^3/s],	 P [g/cm/s^2],	 gradxP [g/cm^2/s^2],	 U0 [cm/s],	 Tw [g/cm/s^2],	 alpha,	 phi 
 0.00000000000000000000 ,	 0.00390625000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.01171875000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.01953125000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.02734375000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.03515625000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.04296875000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.05078125000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.05859375000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.06640625000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.07421875000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.08203125000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.08984375000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.09765625000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.10546875000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.11328125000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.12109375000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.12890625000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.13671875000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.14453125000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.15234375000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.16015625000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.16796875000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.17578125000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.18359375000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.19140625000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.19921875000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.20703125000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
0.00000000000000000000 ,	 0.21484375000000000000,	 100000.00000000000000000000,	 3.14159265358979311600,	 3.14159265358979311600,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 0.00000000000000000000,	 1.00000000000000000000,	 0.00000000000000000000  
